Date,USDINR18DEC69.5PE O,USDINR18DEC69.5PE H,USDINR18DEC69.5PE L,USDINR18DEC69.5PE C,USDINR18DEC69.5PE V
11/30/2018 4:59:00 PM,0.48,0.505,0.48,0.4875,974
11/30/2018 4:58:00 PM,0.4825,0.4825,0.4725,0.48,2154
11/30/2018 4:57:00 PM,0.49,0.49,0.4775,0.48,3497
11/30/2018 4:56:00 PM,0.48,0.4875,0.48,0.4875,622
11/30/2018 4:55:00 PM,0.4725,0.485,0.47,0.48,756
11/30/2018 4:54:00 PM,0.465,0.4725,0.4625,0.4725,461
11/30/2018 4:53:00 PM,0.46,0.465,0.46,0.465,179
11/30/2018 4:52:00 PM,0.46,0.46,0.46,0.46,448
11/30/2018 4:51:00 PM,0.46,0.46,0.46,0.46,100
11/30/2018 4:50:00 PM,0.45,0.4675,0.45,0.46,5123
11/30/2018 4:49:00 PM,0.455,0.455,0.4475,0.4475,482
11/30/2018 4:48:00 PM,0.455,0.455,0.45,0.455,411
11/30/2018 4:47:00 PM,0.4575,0.4575,0.45,0.455,1653
11/30/2018 4:46:00 PM,0.455,0.46,0.455,0.4575,547
11/30/2018 4:45:00 PM,0.46,0.46,0.455,0.455,1346
11/30/2018 4:44:00 PM,0.46,0.46,0.46,0.46,197
11/30/2018 4:43:00 PM,0.4625,0.4625,0.46,0.46,198
11/30/2018 4:42:00 PM,0.465,0.465,0.46,0.4625,325
11/30/2018 4:41:00 PM,0.465,0.465,0.465,0.465,340
11/30/2018 4:40:00 PM,0.4575,0.465,0.4575,0.465,66
11/30/2018 4:39:00 PM,0.4525,0.4575,0.4525,0.4575,2
11/30/2018 4:38:00 PM,0.4525,0.4525,0.4525,0.4525,0
11/30/2018 4:37:00 PM,0.4525,0.455,0.4525,0.4525,795
11/30/2018 4:36:00 PM,0.455,0.455,0.4525,0.4525,26
11/30/2018 4:35:00 PM,0.46,0.46,0.455,0.455,1060
11/30/2018 4:34:00 PM,0.465,0.465,0.46,0.46,101
11/30/2018 4:33:00 PM,0.4675,0.4775,0.465,0.465,1147
11/30/2018 4:32:00 PM,0.455,0.47,0.45,0.4675,1531
