Date,NIFTY18DEC10950CE O,NIFTY18DEC10950CE H,NIFTY18DEC10950CE L,NIFTY18DEC10950CE C,NIFTY18DEC10950CE V
11/30/2018 3:29:00 PM,170.8,171,170,171,3825
11/30/2018 3:28:00 PM,171.05,171.6,170.75,170.8,2175
11/30/2018 3:27:00 PM,170.75,171.05,170.75,171.05,1350
11/30/2018 3:26:00 PM,169.2,170.75,169.2,170.75,3000
11/30/2018 3:25:00 PM,169.4,169.4,169,169.2,1200
11/30/2018 3:24:00 PM,169,169.4,169,169.4,525
11/30/2018 3:23:00 PM,168.55,169.8,168.55,169,3075
11/30/2018 3:22:00 PM,168.85,169.65,168.55,168.55,2475
11/30/2018 3:21:00 PM,168,168.85,167.45,168.85,1200
11/30/2018 3:20:00 PM,167,168,167,168,900
11/30/2018 3:19:00 PM,165.6,166.55,165.3,166.55,1875
11/30/2018 3:18:00 PM,164.4,165.25,164.4,165,1500
11/30/2018 3:17:00 PM,165.6,166.9,165.1,165.1,600
11/30/2018 3:16:00 PM,164.5,166,164.2,165.6,1875
11/30/2018 3:15:00 PM,164.8,165,162.55,164.5,2250
11/30/2018 3:14:00 PM,165.05,165.65,164.75,164.8,375
11/30/2018 3:13:00 PM,164.65,165.05,163.15,165.05,375
11/30/2018 3:12:00 PM,165,165.5,164.65,164.65,525
11/30/2018 3:11:00 PM,163.2,165,163.2,165,900
11/30/2018 3:10:00 PM,162.1,163.2,162.1,163.2,600
11/30/2018 3:09:00 PM,164.25,164.25,162.1,162.1,225
11/30/2018 3:08:00 PM,165.8,167,164.25,164.25,975
11/30/2018 3:07:00 PM,164.05,165.8,164.05,165.8,225
11/30/2018 3:06:00 PM,165,165,164.05,164.05,1500
11/30/2018 3:05:00 PM,162.4,165,162.4,165,1200
11/30/2018 3:04:00 PM,162.6,163.5,161.05,161.95,1350
11/30/2018 3:03:00 PM,162.85,163,161.95,162.6,300
11/30/2018 3:02:00 PM,161,162.85,160.95,162.85,525
11/30/2018 3:01:00 PM,160.35,161,159.85,161,450
11/30/2018 3:00:00 PM,156.5,160.35,156.5,160.35,225
11/30/2018 2:59:00 PM,154.7,156.5,154.7,156.5,300
11/30/2018 2:58:00 PM,155.6,155.6,154.7,154.7,75
11/30/2018 2:57:00 PM,154.3,156,154.3,155.6,375
11/30/2018 2:56:00 PM,156,156,154.3,154.3,975
11/30/2018 2:55:00 PM,155.85,156,155.85,156,225
11/30/2018 2:54:00 PM,153.15,155.85,152.25,155.85,450
11/30/2018 2:53:00 PM,155.8,156.5,152.5,153.15,5925
11/30/2018 2:52:00 PM,159.45,159.45,155.65,155.8,525
11/30/2018 2:51:00 PM,162,162,159.45,159.45,525
11/30/2018 2:50:00 PM,160.8,162.3,160.8,162,1275
11/30/2018 2:49:00 PM,162,162,160.55,160.8,675
11/30/2018 2:48:00 PM,163.85,163.85,162,162,375
11/30/2018 2:47:00 PM,161.75,163.85,161.75,163.85,150
11/30/2018 2:46:00 PM,161.75,161.75,161.75,161.75,75
11/30/2018 2:45:00 PM,163.5,163.5,161.75,161.75,750
11/30/2018 2:44:00 PM,162,164.2,162,163.5,675
11/30/2018 2:43:00 PM,162,162,162,162,0
11/30/2018 2:42:00 PM,164.95,164.95,162,162,2100
11/30/2018 2:41:00 PM,164.45,165.7,164.2,164.95,750
11/30/2018 2:40:00 PM,164.9,168,164.4,164.45,2700
11/30/2018 2:39:00 PM,161.1,164.85,160.1,164.85,600
11/30/2018 2:38:00 PM,161.1,161.1,161.1,161.1,0
11/30/2018 2:37:00 PM,159.75,161.35,159.75,161.1,3075
11/30/2018 2:36:00 PM,161.35,162.1,159.75,159.75,2700
11/30/2018 2:35:00 PM,157,162,157,161.35,3000
11/30/2018 2:34:00 PM,154.75,157,154.75,157,525
11/30/2018 2:33:00 PM,155.6,155.6,154.75,154.75,900
11/30/2018 2:32:00 PM,152.15,155.6,152.15,155.6,450
11/30/2018 2:31:00 PM,150.9,152.15,150.05,152.15,225
11/30/2018 2:30:00 PM,151.3,151.3,150.9,150.9,525
11/30/2018 2:29:00 PM,152.05,153.3,152.05,153.3,75
11/30/2018 2:28:00 PM,153.05,153.05,152.05,152.05,150
11/30/2018 2:27:00 PM,153.9,153.9,153.05,153.05,1200
11/30/2018 2:26:00 PM,153.9,155.3,153.9,153.9,225
11/30/2018 2:25:00 PM,153.9,153.9,153.9,153.9,0
11/30/2018 2:24:00 PM,155.45,155.45,153.9,153.9,1875
11/30/2018 2:23:00 PM,154,155.45,154,155.45,75
11/30/2018 2:22:00 PM,151.35,154,151.35,154,600
11/30/2018 2:21:00 PM,149.1,152.55,149.1,151.35,3000
11/30/2018 2:20:00 PM,151.3,151.8,149.05,149.1,1500
11/30/2018 2:19:00 PM,151.65,152.35,151.3,151.3,450
11/30/2018 2:18:00 PM,157.5,157.5,151.65,151.65,2325
11/30/2018 2:17:00 PM,157.65,157.65,157.5,157.5,375
11/30/2018 2:16:00 PM,157.65,157.65,157.65,157.65,0
11/30/2018 2:15:00 PM,156.8,157.65,156.8,157.65,75
11/30/2018 2:14:00 PM,156.8,156.8,156.8,156.8,0
11/30/2018 2:13:00 PM,157.9,157.9,156.8,156.8,525
11/30/2018 2:12:00 PM,157.7,157.9,157.7,157.9,225
11/30/2018 2:11:00 PM,156.2,157.7,156.2,157.7,75
11/30/2018 2:10:00 PM,156.85,156.85,156.2,156.2,150
11/30/2018 2:09:00 PM,156,156.9,156,156.85,300
11/30/2018 2:08:00 PM,156,156,156,156,0
11/30/2018 2:07:00 PM,154.35,156,154.35,156,150
11/30/2018 2:06:00 PM,155.4,155.4,154.35,154.35,825
11/30/2018 2:05:00 PM,156.3,156.3,155.4,155.4,150
11/30/2018 2:04:00 PM,156.3,156.3,156.3,156.3,0
11/30/2018 2:03:00 PM,157.25,157.25,156.3,156.3,300
11/30/2018 2:02:00 PM,157.45,157.45,157.25,157.25,300
11/30/2018 2:01:00 PM,156.4,157.45,156.3,157.45,225
11/30/2018 2:00:00 PM,156,156.4,155.5,156.4,150
11/30/2018 1:59:00 PM,156,156,156,156,75
11/30/2018 1:58:00 PM,157.95,157.95,156,156,300
11/30/2018 1:57:00 PM,156.7,159,156.7,157.95,675
11/30/2018 1:56:00 PM,156,156.7,156,156.7,75
11/30/2018 1:55:00 PM,157,157,156,156,150
11/30/2018 1:54:00 PM,157,157,157,157,0
11/30/2018 1:53:00 PM,157,157,157,157,600
11/30/2018 1:52:00 PM,158.3,158.3,157,157,225
11/30/2018 1:51:00 PM,160.65,160.65,158.3,158.3,225
11/30/2018 1:50:00 PM,161,161,160.3,160.65,300
11/30/2018 1:49:00 PM,158.25,161,158.25,161,450
11/30/2018 1:48:00 PM,158.25,159.4,158.25,158.25,300
11/30/2018 1:47:00 PM,158,158.25,158,158.25,675
11/30/2018 1:46:00 PM,159.95,160.45,158,158,375
11/30/2018 1:45:00 PM,159.3,159.95,159.3,159.95,75
11/30/2018 1:44:00 PM,161,161,159.3,159.3,150
11/30/2018 1:43:00 PM,162,163,160.8,161,975
11/30/2018 1:42:00 PM,159.05,162,159.05,162,975
11/30/2018 1:41:00 PM,156.25,156.25,156.25,156.25,0
11/30/2018 1:40:00 PM,155.6,156.25,155.6,156.25,450
11/30/2018 1:39:00 PM,158.95,158.95,155.6,155.6,225
11/30/2018 1:38:00 PM,158.95,158.95,158.95,158.95,0
11/30/2018 1:37:00 PM,159,159,158.45,158.95,2325
11/30/2018 1:36:00 PM,157.25,159,157,159,1050
11/30/2018 1:35:00 PM,157.25,157.25,157.25,157.25,0
11/30/2018 1:34:00 PM,155.15,157.25,155.15,157.25,525
11/30/2018 1:33:00 PM,155.4,156.05,155,155.15,2475
11/30/2018 1:32:00 PM,154.4,157.2,154.4,155.4,1800
11/30/2018 1:31:00 PM,161.25,161.25,154.4,154.4,1950
11/30/2018 1:30:00 PM,160.75,161.25,160.75,161.25,150
11/30/2018 1:29:00 PM,159.25,160.75,159.25,160.75,750
11/30/2018 1:28:00 PM,160,160.05,159.25,159.25,300
11/30/2018 1:27:00 PM,160.55,160.55,160,160,75
11/30/2018 1:26:00 PM,160.55,160.55,160.55,160.55,75
11/30/2018 1:25:00 PM,161.35,161.35,160.55,160.55,1125
11/30/2018 1:24:00 PM,157.6,161.35,157.6,161.35,150
11/30/2018 1:23:00 PM,159.8,159.8,157.6,157.6,1125
11/30/2018 1:22:00 PM,158.65,160,158.6,159.8,375
11/30/2018 1:21:00 PM,162.7,162.7,158.65,158.65,525
11/30/2018 1:20:00 PM,162.7,162.7,162.7,162.7,0
11/30/2018 1:19:00 PM,162.25,163.45,162.25,162.7,375
11/30/2018 1:18:00 PM,162.25,162.25,162.25,162.25,0
11/30/2018 1:17:00 PM,164,164,161.95,162.25,1200
11/30/2018 1:16:00 PM,161.75,164,161.75,164,225
11/30/2018 1:15:00 PM,161.75,161.75,161.75,161.75,0
11/30/2018 1:14:00 PM,164,164,161.75,161.75,600
11/30/2018 1:13:00 PM,165.65,165.65,164,164,300
11/30/2018 1:12:00 PM,165.65,165.65,165.65,165.65,75
11/30/2018 1:11:00 PM,163,165.65,163,165.65,1275
11/30/2018 1:10:00 PM,162,163,161.95,163,900
11/30/2018 1:09:00 PM,162.45,163,161.75,162,300
11/30/2018 1:08:00 PM,162.45,162.45,162.45,162.45,75
11/30/2018 1:07:00 PM,160.5,162.45,160.5,162.45,1950
11/30/2018 1:06:00 PM,160.5,160.6,160.15,160.5,300
11/30/2018 1:05:00 PM,160.5,160.5,160.5,160.5,150
11/30/2018 1:04:00 PM,162,162,160.5,160.5,75
11/30/2018 1:03:00 PM,163.15,163.15,162,162,1200
11/30/2018 1:02:00 PM,162.05,163.15,162.05,163.15,300
11/30/2018 1:01:00 PM,160.8,162,160.6,162,975
11/30/2018 1:00:00 PM,163.6,163.7,160.8,160.8,3225
11/30/2018 12:59:00 PM,162.45,163.6,162.45,163.6,225
11/30/2018 12:58:00 PM,159.45,162.45,159.45,162.45,1275
11/30/2018 12:57:00 PM,158.8,159.45,158.15,159.45,1200
11/30/2018 12:56:00 PM,160.6,160.6,158,158.8,2550
11/30/2018 12:55:00 PM,161.15,161.3,160.35,160.6,975
11/30/2018 12:54:00 PM,160,161.3,160,161.15,375
11/30/2018 12:53:00 PM,160.35,160.35,159.85,160,225
11/30/2018 12:52:00 PM,160.15,160.35,158.1,160.35,900
11/30/2018 12:51:00 PM,161,161,159.3,160.15,1050
11/30/2018 12:50:00 PM,164,164,161,161.2,3600
11/30/2018 12:49:00 PM,164.5,164.5,164,164,225
11/30/2018 12:48:00 PM,164.35,165,164.35,164.5,525
11/30/2018 12:47:00 PM,164.35,164.35,164.35,164.35,0
11/30/2018 12:46:00 PM,165.85,165.85,164.35,164.35,975
11/30/2018 12:45:00 PM,168.4,168.4,165.5,165.85,1125
11/30/2018 12:44:00 PM,166,168.45,166,168.4,150
11/30/2018 12:43:00 PM,166,166,166,166,0
11/30/2018 12:42:00 PM,166.35,167.35,166,166,525
11/30/2018 12:41:00 PM,166,166.35,166,166.35,75
11/30/2018 12:40:00 PM,166,166,166,166,0
11/30/2018 12:39:00 PM,166.5,166.5,166,166,225
11/30/2018 12:38:00 PM,166.5,166.5,166.5,166.5,0
11/30/2018 12:37:00 PM,167.2,167.2,166.5,166.5,450
11/30/2018 12:36:00 PM,167.2,167.2,167.2,167.2,0
11/30/2018 12:35:00 PM,167,167.2,167,167.2,1200
11/30/2018 12:34:00 PM,167.25,167.25,167,167,75
11/30/2018 12:33:00 PM,167.25,167.25,167.25,167.25,0
11/30/2018 12:32:00 PM,165.55,167.25,165.55,167.25,75
11/30/2018 12:31:00 PM,165.55,165.55,165.55,165.55,0
11/30/2018 12:30:00 PM,168,168,165.55,165.55,600
11/30/2018 12:29:00 PM,168,168,168,168,0
11/30/2018 12:28:00 PM,169,169.75,168,168,225
11/30/2018 12:27:00 PM,168.3,169,168.3,169,300
11/30/2018 12:26:00 PM,168.3,168.3,168.3,168.3,0
11/30/2018 12:25:00 PM,168.75,168.75,168.3,168.3,75
11/30/2018 12:24:00 PM,168.45,169.6,167.75,168.75,525
11/30/2018 12:23:00 PM,170,170,168.45,168.45,225
11/30/2018 12:22:00 PM,169,170.8,169,170,975
11/30/2018 12:21:00 PM,167.95,169,167.95,169,150
11/30/2018 12:20:00 PM,166.75,167.95,166.55,167.95,225
11/30/2018 12:19:00 PM,167.25,167.25,166.75,166.75,450
11/30/2018 12:18:00 PM,166.25,167.25,165.55,167.25,225
11/30/2018 12:17:00 PM,165.35,166.25,165.35,166.25,375
11/30/2018 12:16:00 PM,165.55,165.55,164.5,165.35,525
11/30/2018 12:15:00 PM,166,166,165.55,165.55,75
11/30/2018 12:14:00 PM,168.65,168.65,166,166,225
