Date,NIFTY18DEC10850PE O,NIFTY18DEC10850PE H,NIFTY18DEC10850PE L,NIFTY18DEC10850PE C,NIFTY18DEC10850PE V
11/30/2018 3:29:00 PM,171.6,172.45,170.15,171.75,2850
11/30/2018 3:28:00 PM,171.65,172.4,171.6,171.6,1425
11/30/2018 3:27:00 PM,172.4,172.9,171.3,171.65,2325
11/30/2018 3:26:00 PM,173.05,174,172,172.75,2400
11/30/2018 3:25:00 PM,173.55,173.55,173,173.05,975
11/30/2018 3:24:00 PM,173.45,174.25,173.3,173.55,750
11/30/2018 3:23:00 PM,174,174,172.3,173.45,1875
11/30/2018 3:22:00 PM,173.9,174.45,172.25,174,2475
11/30/2018 3:21:00 PM,174.95,175.5,174,174,1650
11/30/2018 3:20:00 PM,176.05,176.05,174.95,174.95,1500
11/30/2018 3:19:00 PM,177.3,177.3,176,176.4,2250
11/30/2018 3:18:00 PM,178,178,177,177.3,1500
11/30/2018 3:17:00 PM,177.55,177.55,177.3,177.3,150
11/30/2018 3:16:00 PM,180.85,180.85,177.55,177.55,375
11/30/2018 3:15:00 PM,180.5,181.65,179.05,180.85,3900
11/30/2018 3:14:00 PM,179.5,180.5,178,180.5,825
11/30/2018 3:13:00 PM,180.35,180.35,179.5,179.5,525
11/30/2018 3:12:00 PM,178.25,180.35,178.25,180.35,375
11/30/2018 3:11:00 PM,181.9,182,178.25,178.25,1575
11/30/2018 3:10:00 PM,181,181.9,181,181.9,975
11/30/2018 3:09:00 PM,180.35,181,180.35,181,750
11/30/2018 3:08:00 PM,177.65,179.5,177,179.5,2025
11/30/2018 3:07:00 PM,182.6,182.6,177.65,177.65,1800
11/30/2018 3:06:00 PM,181.2,182.6,181.2,182.6,675
11/30/2018 3:05:00 PM,185,185.45,181.2,181.2,825
11/30/2018 3:04:00 PM,182.2,185.55,182.2,185,1500
11/30/2018 3:03:00 PM,183.2,183.2,181.6,181.6,900
11/30/2018 3:02:00 PM,185,185,183.2,183.2,750
11/30/2018 3:01:00 PM,185.3,187,185,185,1500
11/30/2018 3:00:00 PM,192.2,192.2,185.3,185.3,1050
11/30/2018 2:59:00 PM,194.75,194.8,192,192.2,975
11/30/2018 2:58:00 PM,193.2,194.75,192.9,194.75,2025
11/30/2018 2:57:00 PM,192.5,193.2,191.5,193.2,525
11/30/2018 2:56:00 PM,193.55,193.95,192.5,192.5,750
11/30/2018 2:55:00 PM,192.8,193.55,192,193.55,2100
11/30/2018 2:54:00 PM,193.65,195.1,192.45,192.8,8325
11/30/2018 2:53:00 PM,190,193.7,189.9,193.65,4950
11/30/2018 2:52:00 PM,184.8,189.1,184.75,189.1,1875
11/30/2018 2:51:00 PM,182.7,184.8,182.7,184.8,675
11/30/2018 2:50:00 PM,181.2,182.7,180.1,182.45,1500
11/30/2018 2:49:00 PM,181.2,182,179.7,181.2,1050
11/30/2018 2:48:00 PM,179.3,181.2,179.3,181.2,300
11/30/2018 2:47:00 PM,181,181,179,179.3,1350
11/30/2018 2:46:00 PM,181,182.25,181,181.85,900
11/30/2018 2:45:00 PM,177.85,181,177.85,181,975
11/30/2018 2:44:00 PM,179.45,180.5,177.85,177.85,3975
11/30/2018 2:43:00 PM,179.7,180,179,179.45,600
11/30/2018 2:42:00 PM,178,180,178,179.1,4500
11/30/2018 2:41:00 PM,179.1,179.1,177,178,975
11/30/2018 2:40:00 PM,177.45,178.65,175,178.45,3675
11/30/2018 2:39:00 PM,182.2,184,178.45,178.45,2100
11/30/2018 2:38:00 PM,184.4,184.4,182.2,182.2,300
11/30/2018 2:37:00 PM,184,184.4,182.8,184.4,1425
11/30/2018 2:36:00 PM,180.7,184.3,180.7,184,1800
11/30/2018 2:35:00 PM,188.05,188.05,180.25,180.7,5175
11/30/2018 2:34:00 PM,191.5,191.65,188.05,188.05,1800
11/30/2018 2:33:00 PM,191.5,192,191,191.5,675
11/30/2018 2:32:00 PM,193,193,191,191,750
11/30/2018 2:31:00 PM,196.5,196.5,193,193,525
11/30/2018 2:30:00 PM,197,197.95,196.5,196.5,750
11/30/2018 2:29:00 PM,195,195.7,194.85,195.7,600
11/30/2018 2:28:00 PM,193.65,195,193.65,194.05,1275
11/30/2018 2:27:00 PM,193.4,194,192.95,193.25,2025
11/30/2018 2:26:00 PM,193,193.4,191.7,193.4,1350
11/30/2018 2:25:00 PM,194.05,194.5,193,193,1350
11/30/2018 2:24:00 PM,191.7,194.25,191.7,194.05,1125
11/30/2018 2:23:00 PM,193.3,193.35,191,191.7,675
11/30/2018 2:22:00 PM,195.95,195.95,192.75,193,750
11/30/2018 2:21:00 PM,198,198,195.95,195.95,1725
11/30/2018 2:20:00 PM,196.5,198,196.5,198,1275
11/30/2018 2:19:00 PM,195.55,196.75,194.85,196.5,1275
11/30/2018 2:18:00 PM,192.95,196,192.95,195.55,4800
11/30/2018 2:17:00 PM,190.9,192.95,190.9,192.95,1200
11/30/2018 2:16:00 PM,190.75,190.9,190,190.9,375
11/30/2018 2:15:00 PM,192,192,190,190.75,225
11/30/2018 2:14:00 PM,190,192,190,192,300
11/30/2018 2:13:00 PM,190,191.8,190,190,150
11/30/2018 2:12:00 PM,192.05,192.05,189.8,190,600
11/30/2018 2:11:00 PM,191.65,192.5,191.65,192.05,600
11/30/2018 2:10:00 PM,192.25,192.25,191.65,191.65,75
11/30/2018 2:09:00 PM,191.25,192.8,189.95,192.25,1200
11/30/2018 2:08:00 PM,193.75,193.75,191.25,191.25,1500
11/30/2018 2:07:00 PM,194.55,194.55,193.75,193.75,1275
11/30/2018 2:06:00 PM,194.45,194.8,194.45,194.55,3225
11/30/2018 2:05:00 PM,193,194.45,193,194.45,525
11/30/2018 2:04:00 PM,192.55,193.05,191.8,193,600
11/30/2018 2:03:00 PM,193.6,193.6,192.4,192.55,300
11/30/2018 2:02:00 PM,193.6,193.6,193.6,193.6,0
11/30/2018 2:01:00 PM,193.95,193.95,192,193.6,1350
11/30/2018 2:00:00 PM,193.25,194.75,193.25,193.95,1575
11/30/2018 1:59:00 PM,194,194,193,193.25,675
11/30/2018 1:58:00 PM,192.75,194,192,194,1350
11/30/2018 1:57:00 PM,193,193,190.05,192.75,1350
11/30/2018 1:56:00 PM,194,194,193,193,300
11/30/2018 1:55:00 PM,194,194.55,193.6,194,1275
11/30/2018 1:54:00 PM,193,194,193,194,225
11/30/2018 1:53:00 PM,192.55,194.1,192,193,900
11/30/2018 1:52:00 PM,191.45,193.85,191.45,192.55,825
