Date,BANKNIFTY06DEC1827200PE O,BANKNIFTY06DEC1827200PE H,BANKNIFTY06DEC1827200PE L,BANKNIFTY06DEC1827200PE C,BANKNIFTY06DEC1827200PE V
11/30/2018 3:29:00 PM,423.95,423.95,420.4,420.4,240
11/30/2018 3:28:00 PM,422.6,423.95,418.6,423.95,480
11/30/2018 3:27:00 PM,423.1,423.8,418.2,422.6,260
11/30/2018 3:26:00 PM,425.9,425.9,423.1,423.1,340
11/30/2018 3:25:00 PM,418.25,425.9,417.2,425.9,300
11/30/2018 3:24:00 PM,415.65,421.65,415.65,418.25,1080
11/30/2018 3:23:00 PM,414,417.3,414,415.65,420
11/30/2018 3:22:00 PM,421.7,421.7,411.5,414,340
11/30/2018 3:21:00 PM,427.05,427.05,421.7,421.7,80
11/30/2018 3:20:00 PM,420.15,427.05,414,427.05,1400
11/30/2018 3:19:00 PM,424.3,424.55,420.85,420.85,200
11/30/2018 3:18:00 PM,421.75,423.3,420.25,420.25,120
11/30/2018 3:17:00 PM,421.45,421.75,418,421.75,160
11/30/2018 3:16:00 PM,427.25,427.5,421.45,421.45,120
11/30/2018 3:15:00 PM,421.9,429.85,421.9,427.25,500
11/30/2018 3:14:00 PM,425,425,421.9,421.9,20
11/30/2018 3:13:00 PM,423.4,425,421.95,425,100
11/30/2018 3:12:00 PM,420,426,420,423.4,40
11/30/2018 3:11:00 PM,427.25,427.25,420,420,440
11/30/2018 3:10:00 PM,424.55,427.25,424.55,427.25,20
11/30/2018 3:09:00 PM,412.8,425.4,412.8,424.55,140
11/30/2018 3:08:00 PM,417.25,417.25,410,412.8,380
11/30/2018 3:07:00 PM,420,420,417.25,417.25,40
11/30/2018 3:06:00 PM,412.25,420,412.25,420,180
11/30/2018 3:05:00 PM,412.25,412.25,412.25,412.25,0
11/30/2018 3:04:00 PM,412.25,412.25,412.25,412.25,0
11/30/2018 3:03:00 PM,413,416.5,407.05,412.25,460
11/30/2018 3:02:00 PM,409,413,409,413,20
11/30/2018 3:01:00 PM,408.45,409.85,408.45,409,1300
11/30/2018 3:00:00 PM,429.05,429.05,408.45,408.45,60
11/30/2018 2:59:00 PM,429.8,429.8,429.05,429.05,40
11/30/2018 2:58:00 PM,433.9,433.9,429.8,429.8,20
11/30/2018 2:57:00 PM,435.5,435.5,433.9,433.9,120
11/30/2018 2:56:00 PM,435.5,435.5,435.5,435.5,500
11/30/2018 2:55:00 PM,434.45,435.5,424,435.5,820
11/30/2018 2:54:00 PM,435.9,435.9,434.45,434.45,40
11/30/2018 2:53:00 PM,430,446.5,430,435.9,120
11/30/2018 2:52:00 PM,420,430,420,430,1740
11/30/2018 2:51:00 PM,410.45,416,410.45,416,20
11/30/2018 2:50:00 PM,412,412,408.95,410.45,40
11/30/2018 2:49:00 PM,410,412,405,412,220
11/30/2018 2:48:00 PM,412.35,412.35,407.25,410,520
11/30/2018 2:47:00 PM,416.35,416.35,412.35,412.35,20
11/30/2018 2:46:00 PM,414.45,422.9,414.45,416.35,1080
11/30/2018 2:45:00 PM,400.65,414.45,400.65,414.45,600
11/30/2018 2:44:00 PM,417.45,417.45,400.65,400.65,1720
11/30/2018 2:43:00 PM,404.55,417.45,404.55,417.45,500
11/30/2018 2:42:00 PM,405.2,405.2,404.55,404.55,20
11/30/2018 2:41:00 PM,398.15,405.2,398.15,405.2,200
11/30/2018 2:40:00 PM,430,430,390.5,398.15,680
11/30/2018 2:39:00 PM,428.55,430,428.55,430,80
11/30/2018 2:38:00 PM,428.55,428.55,428.55,428.55,0
11/30/2018 2:37:00 PM,428.55,428.55,428.55,428.55,0
11/30/2018 2:36:00 PM,432.2,432.2,424.85,428.55,240
11/30/2018 2:35:00 PM,455,455,429.8,432.2,120
11/30/2018 2:34:00 PM,452,455,452,455,80
11/30/2018 2:33:00 PM,452,452,452,452,0
11/30/2018 2:32:00 PM,452,452,452,452,0
11/30/2018 2:31:00 PM,452,452,452,452,0
11/30/2018 2:30:00 PM,452,452,452,452,0
11/30/2018 2:29:00 PM,452,452,452,452,0
11/30/2018 2:28:00 PM,452,452,452,452,0
11/30/2018 2:27:00 PM,452,452,452,452,0
11/30/2018 2:26:00 PM,452,452,452,452,0
11/30/2018 2:25:00 PM,452,452,452,452,0
11/30/2018 2:24:00 PM,452,452,452,452,0
11/30/2018 2:23:00 PM,452,452,452,452,0
11/30/2018 2:22:00 PM,452,452,452,452,0
11/30/2018 2:21:00 PM,460.45,460.45,452,452,40
11/30/2018 2:20:00 PM,460.45,460.45,460.45,460.45,20
11/30/2018 2:19:00 PM,460.45,460.45,460.45,460.45,0
11/30/2018 2:18:00 PM,434,460.45,434,460.45,60
11/30/2018 2:17:00 PM,434,434,434,434,0
