Date,YESBANK18DEC160PE O,YESBANK18DEC160PE H,YESBANK18DEC160PE L,YESBANK18DEC160PE C,YESBANK18DEC160PE V
11/30/2018 3:29:00 PM,12.05,12.1,12,12,21000
11/30/2018 3:28:00 PM,12.1,12.2,12.1,12.1,15750
11/30/2018 3:27:00 PM,12.1,12.15,12.1,12.1,24500
11/30/2018 3:26:00 PM,11.9,12.1,11.9,12.1,35000
11/30/2018 3:25:00 PM,11.9,11.9,11.85,11.9,7000
11/30/2018 3:24:00 PM,12,12,11.85,11.9,19250
11/30/2018 3:23:00 PM,11.85,12,11.85,12,50750
11/30/2018 3:22:00 PM,12.1,12.1,11.95,11.95,21000
11/30/2018 3:21:00 PM,12.15,12.15,12.1,12.1,42000
11/30/2018 3:20:00 PM,12.25,12.25,12.1,12.2,22750
11/30/2018 3:19:00 PM,12.35,12.35,12.2,12.25,17500
11/30/2018 3:18:00 PM,12.35,12.35,12.35,12.35,0
11/30/2018 3:17:00 PM,12.35,12.35,12.35,12.35,1750
11/30/2018 3:16:00 PM,12.5,12.5,12.45,12.45,15750
11/30/2018 3:15:00 PM,12.45,12.5,12.4,12.5,5250
11/30/2018 3:14:00 PM,12.5,12.5,12.45,12.45,7000
11/30/2018 3:13:00 PM,12.5,12.5,12.45,12.45,3500
11/30/2018 3:12:00 PM,12.5,12.5,12.5,12.5,5250
11/30/2018 3:11:00 PM,12.55,12.55,12.5,12.55,3500
11/30/2018 3:10:00 PM,12.55,12.55,12.55,12.55,3500
11/30/2018 3:09:00 PM,12.35,12.55,12.35,12.55,12250
11/30/2018 3:08:00 PM,12.4,12.4,12.4,12.4,0
11/30/2018 3:07:00 PM,12.55,12.55,12.4,12.4,3500
11/30/2018 3:06:00 PM,12.5,12.55,12.5,12.55,3500
11/30/2018 3:05:00 PM,12.55,12.55,12.5,12.5,1750
11/30/2018 3:04:00 PM,12.4,12.55,12.4,12.55,1750
11/30/2018 3:03:00 PM,12.4,12.5,12.4,12.4,3500
11/30/2018 3:02:00 PM,12.45,12.45,12.4,12.4,3500
11/30/2018 3:01:00 PM,12.45,12.45,12.45,12.45,5250
11/30/2018 3:00:00 PM,12.7,12.7,12.45,12.45,10500
11/30/2018 2:59:00 PM,12.8,12.8,12.6,12.7,10500
11/30/2018 2:58:00 PM,12.8,12.8,12.8,12.8,0
11/30/2018 2:57:00 PM,12.7,12.8,12.7,12.8,3500
11/30/2018 2:56:00 PM,12.7,12.75,12.7,12.7,10500
11/30/2018 2:55:00 PM,12.8,12.8,12.7,12.75,14000
