Date,USDINR18DEC72.5CE O,USDINR18DEC72.5CE H,USDINR18DEC72.5CE L,USDINR18DEC72.5CE C,USDINR18DEC72.5CE V
11/30/2018 4:59:00 PM,0.05,0.05,0.05,0.05,5
11/30/2018 4:58:00 PM,0.05,0.05,0.05,0.05,1307
11/30/2018 4:57:00 PM,0.05,0.05,0.05,0.05,0
11/30/2018 4:56:00 PM,0.0525,0.0525,0.05,0.05,186
11/30/2018 4:55:00 PM,0.0525,0.0525,0.0525,0.0525,60
11/30/2018 4:54:00 PM,0.0525,0.0525,0.0525,0.0525,0
11/30/2018 4:53:00 PM,0.0525,0.0525,0.0525,0.0525,0
11/30/2018 4:52:00 PM,0.0525,0.0525,0.0525,0.0525,0
11/30/2018 4:51:00 PM,0.0525,0.0525,0.0525,0.0525,0
11/30/2018 4:50:00 PM,0.0525,0.0525,0.0525,0.0525,48
11/30/2018 4:49:00 PM,0.0525,0.0525,0.0525,0.0525,0
11/30/2018 4:48:00 PM,0.0525,0.0525,0.0525,0.0525,0
11/30/2018 4:47:00 PM,0.055,0.055,0.0525,0.0525,390
11/30/2018 4:46:00 PM,0.055,0.055,0.055,0.055,100
11/30/2018 4:45:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:44:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:43:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:42:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:41:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:40:00 PM,0.055,0.055,0.055,0.055,250
11/30/2018 4:39:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:38:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:37:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:36:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:35:00 PM,0.055,0.055,0.055,0.055,10
11/30/2018 4:34:00 PM,0.055,0.055,0.055,0.055,100
11/30/2018 4:33:00 PM,0.0575,0.0575,0.055,0.055,35
11/30/2018 4:32:00 PM,0.0575,0.0575,0.0575,0.0575,250
11/30/2018 4:31:00 PM,0.0575,0.0575,0.0575,0.0575,0
11/30/2018 4:30:00 PM,0.0575,0.0575,0.0575,0.0575,200
11/30/2018 4:29:00 PM,0.055,0.0575,0.055,0.0575,284
11/30/2018 4:28:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:27:00 PM,0.055,0.055,0.055,0.055,23
11/30/2018 4:26:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:25:00 PM,0.055,0.055,0.055,0.055,0
11/30/2018 4:24:00 PM,0.0575,0.0575,0.055,0.055,3
11/30/2018 4:23:00 PM,0.0575,0.0575,0.0575,0.0575,0
11/30/2018 4:22:00 PM,0.0575,0.0575,0.0575,0.0575,0
11/30/2018 4:21:00 PM,0.0575,0.0575,0.055,0.0575,101
11/30/2018 4:20:00 PM,0.0575,0.0575,0.0575,0.0575,80
11/30/2018 4:19:00 PM,0.06,0.06,0.06,0.06,0
11/30/2018 4:18:00 PM,0.06,0.06,0.06,0.06,0
11/30/2018 4:17:00 PM,0.06,0.06,0.06,0.06,100
11/30/2018 4:16:00 PM,0.06,0.06,0.06,0.06,0
11/30/2018 4:15:00 PM,0.06,0.06,0.06,0.06,0
11/30/2018 4:14:00 PM,0.06,0.06,0.06,0.06,0
11/30/2018 4:13:00 PM,0.06,0.06,0.06,0.06,0
11/30/2018 4:12:00 PM,0.06,0.06,0.06,0.06,0
11/30/2018 4:11:00 PM,0.06,0.06,0.06,0.06,271
11/30/2018 4:10:00 PM,0.06,0.06,0.06,0.06,0
11/30/2018 4:09:00 PM,0.0625,0.0625,0.06,0.06,50
11/30/2018 4:08:00 PM,0.0625,0.0625,0.0625,0.0625,140
11/30/2018 4:07:00 PM,0.0625,0.0625,0.0625,0.0625,50
11/30/2018 4:06:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 4:05:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 4:04:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 4:03:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 4:02:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 4:01:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 4:00:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:59:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:58:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:57:00 PM,0.0625,0.0625,0.0625,0.0625,182
11/30/2018 3:56:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:55:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:54:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:53:00 PM,0.0625,0.0625,0.0625,0.0625,125
11/30/2018 3:52:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:51:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:50:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:49:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:48:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:47:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:46:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:45:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:44:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:43:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:42:00 PM,0.0625,0.0625,0.0625,0.0625,50
11/30/2018 3:41:00 PM,0.0625,0.0625,0.0625,0.0625,590
11/30/2018 3:40:00 PM,0.06,0.06,0.06,0.06,0
11/30/2018 3:39:00 PM,0.065,0.065,0.06,0.06,145
11/30/2018 3:38:00 PM,0.065,0.065,0.065,0.065,0
11/30/2018 3:37:00 PM,0.065,0.065,0.065,0.065,0
11/30/2018 3:36:00 PM,0.0625,0.065,0.0625,0.065,100
11/30/2018 3:35:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:34:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:33:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:32:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:31:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:30:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:29:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:28:00 PM,0.0625,0.0625,0.0625,0.0625,35
11/30/2018 3:27:00 PM,0.0625,0.0625,0.0625,0.0625,5
11/30/2018 3:26:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:25:00 PM,0.0625,0.0625,0.0625,0.0625,240
11/30/2018 3:24:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:23:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:22:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:21:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:20:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:19:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:18:00 PM,0.0625,0.0625,0.0625,0.0625,0
11/30/2018 3:17:00 PM,0.065,0.065,0.0625,0.0625,14
11/30/2018 3:16:00 PM,0.065,0.065,0.065,0.065,0
11/30/2018 3:15:00 PM,0.065,0.065,0.065,0.065,0
11/30/2018 3:14:00 PM,0.0675,0.0675,0.065,0.065,110
11/30/2018 3:13:00 PM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 3:12:00 PM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 3:11:00 PM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 3:10:00 PM,0.0675,0.0675,0.0675,0.0675,40
11/30/2018 3:09:00 PM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 3:08:00 PM,0.0675,0.0675,0.0675,0.0675,0
11/30/2018 3:07:00 PM,0.0675,0.0675,0.0675,0.0675,0
