Date,BANKNIFTY06DEC1826600CE O,BANKNIFTY06DEC1826600CE H,BANKNIFTY06DEC1826600CE L,BANKNIFTY06DEC1826600CE C,BANKNIFTY06DEC1826600CE V
11/30/2018 3:29:00 PM,341.1,341.6,339.35,339.5,3500
11/30/2018 3:28:00 PM,343.4,353.25,341.3,341.55,1380
11/30/2018 3:27:00 PM,342.5,343.4,341.15,343.4,1620
11/30/2018 3:26:00 PM,341.85,343.8,341.3,342.25,1680
11/30/2018 3:25:00 PM,347.1,347.65,341.85,341.85,2120
11/30/2018 3:24:00 PM,347.7,348.2,340.1,347.65,3340
11/30/2018 3:23:00 PM,353.45,353.45,347.6,347.7,420
11/30/2018 3:22:00 PM,350.4,353.6,350.4,353.45,560
11/30/2018 3:21:00 PM,352,353.25,350.2,350.4,620
11/30/2018 3:20:00 PM,350.65,352,347.55,352,1040
11/30/2018 3:19:00 PM,346.45,351.1,346.45,350.75,2280
11/30/2018 3:18:00 PM,347.9,350.5,345.6,346.4,620
11/30/2018 3:17:00 PM,347.45,351.15,345.55,347.9,260
11/30/2018 3:16:00 PM,341.6,348.15,341.25,347.45,960
11/30/2018 3:15:00 PM,343.8,344.7,337.25,341.6,2600
11/30/2018 3:14:00 PM,348.2,348.55,347.15,348.35,120
11/30/2018 3:13:00 PM,346.5,350,344.6,348.2,340
11/30/2018 3:12:00 PM,349.15,349.15,341.6,346.5,740
11/30/2018 3:11:00 PM,346.5,352.15,346,349.15,1220
11/30/2018 3:10:00 PM,345.35,346.5,338.35,346.5,520
11/30/2018 3:09:00 PM,357,357,344.5,345.35,480
11/30/2018 3:08:00 PM,358.1,363.65,356.05,357,400
11/30/2018 3:07:00 PM,350.05,358.75,350.05,358.65,460
11/30/2018 3:06:00 PM,354.55,354.55,350.05,350.05,40
11/30/2018 3:05:00 PM,352.25,354.55,348.5,354.55,240
11/30/2018 3:04:00 PM,360.65,360.65,349.95,349.95,340
11/30/2018 3:03:00 PM,358.25,364.25,357.7,360.65,720
11/30/2018 3:02:00 PM,360,360,355.85,358.25,2220
11/30/2018 3:01:00 PM,357.05,360.5,355.8,359.15,400
11/30/2018 3:00:00 PM,349.4,360.2,348.4,357.05,1000
11/30/2018 2:59:00 PM,341,349.4,337.95,349.4,440
11/30/2018 2:58:00 PM,341.9,343.6,341,341,440
11/30/2018 2:57:00 PM,341.35,343.9,341.35,341.9,260
11/30/2018 2:56:00 PM,342.45,342.45,337,342.2,440
11/30/2018 2:55:00 PM,337.95,345.25,337.55,342.45,720
11/30/2018 2:54:00 PM,336.6,342.05,335,337.95,1000
11/30/2018 2:53:00 PM,346.75,348.9,333.85,338.35,3000
11/30/2018 2:52:00 PM,352.25,353.75,345.15,346.75,2480
11/30/2018 2:51:00 PM,365.1,365.1,352.25,352.25,2740
11/30/2018 2:50:00 PM,359.7,366.95,358.15,365.1,400
11/30/2018 2:49:00 PM,361.95,361.95,359.55,359.55,480
11/30/2018 2:48:00 PM,365.75,365.75,361,361,40
11/30/2018 2:47:00 PM,358.2,371.95,358.2,365.75,1840
11/30/2018 2:46:00 PM,351.55,358.2,348.75,358.2,2020
11/30/2018 2:45:00 PM,368.9,370.55,352.8,353,1280
11/30/2018 2:44:00 PM,363.65,373.55,362.2,368.9,720
11/30/2018 2:43:00 PM,363.45,363.65,359.5,363.65,740
11/30/2018 2:42:00 PM,374.45,374.7,360.55,363.45,1840
11/30/2018 2:41:00 PM,372.05,376.8,370.5,374.45,1080
11/30/2018 2:40:00 PM,369.85,386.15,369.85,372.05,3440
11/30/2018 2:39:00 PM,345.6,369.9,345,369.9,1640
11/30/2018 2:38:00 PM,345.85,348.65,342.8,345.35,1040
11/30/2018 2:37:00 PM,346,347.85,343.3,345.85,380
11/30/2018 2:36:00 PM,350,350.3,343.9,344.1,2180
11/30/2018 2:35:00 PM,332.75,352.3,332.25,348.6,2580
11/30/2018 2:34:00 PM,328.35,332.75,328.3,332.75,560
11/30/2018 2:33:00 PM,332.45,332.45,326.2,328.35,260
11/30/2018 2:32:00 PM,325.05,335,325.05,331.3,780
11/30/2018 2:31:00 PM,316.15,327.4,312.8,325.05,1060
11/30/2018 2:30:00 PM,313,318.2,312.7,318.2,1140
11/30/2018 2:29:00 PM,321.7,326.2,313,313,2240
11/30/2018 2:28:00 PM,325.65,325.65,321.2,321.7,1280
11/30/2018 2:27:00 PM,320,329.8,320,325.65,680
11/30/2018 2:26:00 PM,326.9,330.2,320,320,1140
11/30/2018 2:25:00 PM,325,326.95,324.35,326.9,460
11/30/2018 2:24:00 PM,335,335,325,325,1320
11/30/2018 2:23:00 PM,333,337.45,333,335,1500
11/30/2018 2:22:00 PM,337.4,337.4,333,333,580
11/30/2018 2:21:00 PM,326.45,343.8,326.45,337.4,1440
11/30/2018 2:20:00 PM,330.2,333.95,324.35,326.45,2380
11/30/2018 2:19:00 PM,328.55,334.45,328.55,332.7,920
11/30/2018 2:18:00 PM,340,340,328.05,328.55,3220
11/30/2018 2:17:00 PM,348,348,340,340,1280
11/30/2018 2:16:00 PM,349.05,350.35,348,348,280
11/30/2018 2:15:00 PM,346.9,350,346.55,349.05,480
11/30/2018 2:14:00 PM,350.1,350.1,346.9,346.9,240
11/30/2018 2:13:00 PM,347.65,351.95,344.25,350.1,380
11/30/2018 2:12:00 PM,354.05,355.45,347.65,347.65,340
11/30/2018 2:11:00 PM,347.95,357.2,347.1,354.05,500
11/30/2018 2:10:00 PM,351.1,352,345.2,347.95,320
11/30/2018 2:09:00 PM,350.95,356.45,350.25,351.1,380
11/30/2018 2:08:00 PM,342.35,353.4,342.3,350.95,1920
11/30/2018 2:07:00 PM,336,342.35,336,342.35,280
11/30/2018 2:06:00 PM,336.85,337.15,333,336,2300
11/30/2018 2:05:00 PM,346.4,346.4,337.65,338.6,1040
11/30/2018 2:04:00 PM,345,346.4,345,346.4,60
11/30/2018 2:03:00 PM,348.6,348.6,345,345,1280
11/30/2018 2:02:00 PM,346.15,347.75,344.45,347.5,200
11/30/2018 2:01:00 PM,344.75,349.3,344.3,346.15,260
11/30/2018 2:00:00 PM,347.25,347.25,344.55,344.75,60
11/30/2018 1:59:00 PM,344.75,347.25,344.75,347.25,20
11/30/2018 1:58:00 PM,348.35,349.45,342.65,344.75,880
11/30/2018 1:57:00 PM,352,353.6,348.25,348.35,180
11/30/2018 1:56:00 PM,343.75,353.6,343.75,352,780
11/30/2018 1:55:00 PM,349.2,349.2,343.75,343.75,420
11/30/2018 1:54:00 PM,346.25,349.2,346.25,349.2,40
11/30/2018 1:53:00 PM,344.55,346.25,344.55,346.25,40
