Date,YESBANK18DEC155PE O,YESBANK18DEC155PE H,YESBANK18DEC155PE L,YESBANK18DEC155PE C,YESBANK18DEC155PE V
11/30/2018 3:29:00 PM,10.2,10.2,10.15,10.15,7000
11/30/2018 3:28:00 PM,10.2,10.2,10.2,10.2,5250
11/30/2018 3:27:00 PM,10.2,10.2,10.2,10.2,1750
11/30/2018 3:26:00 PM,9.9,10.2,9.9,10.2,8750
11/30/2018 3:25:00 PM,10.05,10.05,9.9,9.9,1750
11/30/2018 3:24:00 PM,10.05,10.05,10.05,10.05,7000
11/30/2018 3:23:00 PM,10.05,10.05,9.95,10,3500
11/30/2018 3:22:00 PM,10.2,10.2,10.05,10.05,10500
11/30/2018 3:21:00 PM,10.25,10.25,10.15,10.2,8750
11/30/2018 3:20:00 PM,10.3,10.3,10.15,10.25,19250
11/30/2018 3:19:00 PM,10.4,10.4,10.25,10.3,7000
11/30/2018 3:18:00 PM,10.4,10.4,10.4,10.4,0
11/30/2018 3:17:00 PM,10.4,10.4,10.4,10.4,0
11/30/2018 3:16:00 PM,10.45,10.45,10.4,10.4,1750
11/30/2018 3:15:00 PM,10.4,10.45,10.4,10.45,3500
11/30/2018 3:14:00 PM,10.5,10.5,10.4,10.4,7000
11/30/2018 3:13:00 PM,10.5,10.5,10.4,10.4,1750
11/30/2018 3:12:00 PM,10.5,10.5,10.5,10.5,0
11/30/2018 3:11:00 PM,10.45,10.5,10.45,10.5,3500
11/30/2018 3:10:00 PM,10.45,10.45,10.45,10.45,0
11/30/2018 3:09:00 PM,10.4,10.45,10.4,10.45,1750
11/30/2018 3:08:00 PM,10.4,10.4,10.4,10.4,0
11/30/2018 3:07:00 PM,10.4,10.4,10.4,10.4,0
11/30/2018 3:06:00 PM,10.45,10.45,10.4,10.4,3500
11/30/2018 3:05:00 PM,10.4,10.45,10.4,10.4,8750
11/30/2018 3:04:00 PM,10.4,10.4,10.4,10.4,0
11/30/2018 3:03:00 PM,10.45,10.45,10.4,10.4,1750
11/30/2018 3:02:00 PM,10.45,10.45,10.4,10.45,3500
11/30/2018 3:01:00 PM,10.45,10.45,10.45,10.45,0
11/30/2018 3:00:00 PM,10.55,10.6,10.45,10.45,5250
11/30/2018 2:59:00 PM,10.65,10.65,10.55,10.55,1750
11/30/2018 2:58:00 PM,10.65,10.65,10.65,10.65,1750
11/30/2018 2:57:00 PM,10.7,10.7,10.65,10.65,5250
11/30/2018 2:56:00 PM,10.7,10.7,10.7,10.7,0
11/30/2018 2:55:00 PM,10.75,10.75,10.65,10.7,5250
11/30/2018 2:54:00 PM,10.9,10.9,10.75,10.75,3500
11/30/2018 2:53:00 PM,10.95,11.05,10.9,10.9,24500
11/30/2018 2:52:00 PM,10.8,10.9,10.8,10.9,1750
11/30/2018 2:51:00 PM,10.8,10.8,10.8,10.8,0
11/30/2018 2:50:00 PM,10.8,10.8,10.8,10.8,0
11/30/2018 2:49:00 PM,10.75,10.8,10.75,10.8,1750
11/30/2018 2:48:00 PM,10.55,10.75,10.55,10.75,12250
11/30/2018 2:47:00 PM,10.6,10.6,10.5,10.55,5250
11/30/2018 2:46:00 PM,10.65,10.65,10.6,10.6,7000
11/30/2018 2:45:00 PM,10.5,10.65,10.5,10.65,7000
11/30/2018 2:44:00 PM,10.6,10.6,10.5,10.5,3500
11/30/2018 2:43:00 PM,10.45,10.55,10.4,10.55,10500
11/30/2018 2:42:00 PM,10.5,10.5,10.3,10.45,10500
11/30/2018 2:41:00 PM,10.6,10.6,10.5,10.5,3500
11/30/2018 2:40:00 PM,10.55,10.65,10.55,10.6,14000
11/30/2018 2:39:00 PM,10.8,10.8,10.65,10.65,12250
11/30/2018 2:38:00 PM,10.9,10.9,10.75,10.8,19250
11/30/2018 2:37:00 PM,10.85,10.9,10.8,10.9,8750
11/30/2018 2:36:00 PM,10.9,10.9,10.85,10.85,1750
11/30/2018 2:35:00 PM,10.95,10.95,10.9,10.9,3500
11/30/2018 2:34:00 PM,10.95,10.95,10.95,10.95,0
11/30/2018 2:33:00 PM,10.95,10.95,10.95,10.95,0
11/30/2018 2:32:00 PM,11,11,10.95,10.95,5250
11/30/2018 2:31:00 PM,11,11,11,11,0
11/30/2018 2:30:00 PM,11.05,11.05,11,11,1750
11/30/2018 2:29:00 PM,10.9,11.05,10.9,11.05,5250
11/30/2018 2:28:00 PM,10.9,10.9,10.9,10.9,0
11/30/2018 2:27:00 PM,11,11,10.9,10.9,3500
11/30/2018 2:26:00 PM,11,11,11,11,1750
11/30/2018 2:25:00 PM,11.05,11.05,10.95,11,5250
11/30/2018 2:24:00 PM,11.1,11.1,11.05,11.05,3500
11/30/2018 2:23:00 PM,11.1,11.1,11.1,11.1,0
11/30/2018 2:22:00 PM,11.1,11.1,11.1,11.1,0
11/30/2018 2:21:00 PM,10.95,11.1,10.95,11.1,1750
11/30/2018 2:20:00 PM,10.95,10.95,10.95,10.95,0
11/30/2018 2:19:00 PM,10.95,10.95,10.95,10.95,0
11/30/2018 2:18:00 PM,10.95,10.95,10.95,10.95,0
11/30/2018 2:17:00 PM,10.95,10.95,10.95,10.95,1750
11/30/2018 2:16:00 PM,11,11,10.95,10.95,3500
11/30/2018 2:15:00 PM,11.1,11.1,11,11,1750
11/30/2018 2:14:00 PM,11.1,11.1,11.1,11.1,0
11/30/2018 2:13:00 PM,11.1,11.1,11.1,11.1,0
11/30/2018 2:12:00 PM,11.2,11.2,11.1,11.1,5250
11/30/2018 2:11:00 PM,11.2,11.2,11.2,11.2,0
11/30/2018 2:10:00 PM,11.2,11.2,11.2,11.2,1750
11/30/2018 2:09:00 PM,11.2,11.2,11.2,11.2,0
11/30/2018 2:08:00 PM,11.3,11.3,11.15,11.2,5250
11/30/2018 2:07:00 PM,11.25,11.3,11.2,11.3,5250
11/30/2018 2:06:00 PM,11.25,11.25,11.25,11.25,0
11/30/2018 2:05:00 PM,11.15,11.25,11.15,11.25,3500
11/30/2018 2:04:00 PM,11.15,11.15,11.15,11.15,0
11/30/2018 2:03:00 PM,11.05,11.15,11.05,11.15,3500
11/30/2018 2:02:00 PM,11.2,11.2,11.05,11.05,5250
11/30/2018 2:01:00 PM,11.3,11.3,11.2,11.2,8750
11/30/2018 2:00:00 PM,11.15,11.4,11.15,11.3,24500
11/30/2018 1:59:00 PM,11.15,11.15,11.15,11.15,0
11/30/2018 1:58:00 PM,11.05,11.2,11,11.15,7000
11/30/2018 1:57:00 PM,11.2,11.2,11.05,11.05,1750
11/30/2018 1:56:00 PM,11.2,11.2,11.2,11.2,0
11/30/2018 1:55:00 PM,11.15,11.2,11.15,11.2,1750
