Date,YESBANK18DEC190PE O,YESBANK18DEC190PE H,YESBANK18DEC190PE L,YESBANK18DEC190PE C,YESBANK18DEC190PE V
11/30/2018 3:29:00 PM,28.5,28.5,28.5,28.5,0
11/30/2018 3:28:00 PM,28.5,28.5,28.5,28.5,0
11/30/2018 3:27:00 PM,28.25,28.5,28.25,28.5,5250
11/30/2018 3:26:00 PM,28.35,28.35,28.25,28.25,1750
11/30/2018 3:25:00 PM,28.35,28.35,28.35,28.35,0
11/30/2018 3:24:00 PM,28.35,28.35,28.35,28.35,0
11/30/2018 3:23:00 PM,28.6,28.6,27.95,28.35,12250
11/30/2018 3:22:00 PM,28.6,28.6,28.6,28.6,0
11/30/2018 3:21:00 PM,28.6,28.6,28.6,28.6,1750
11/30/2018 3:20:00 PM,29.45,29.45,29.45,29.45,0
11/30/2018 3:19:00 PM,29.45,29.45,29.45,29.45,0
11/30/2018 3:18:00 PM,29.45,29.45,29.45,29.45,0
11/30/2018 3:17:00 PM,29.45,29.45,29.45,29.45,0
11/30/2018 3:16:00 PM,29.45,29.45,29.45,29.45,0
11/30/2018 3:15:00 PM,29.45,29.45,29.45,29.45,0
11/30/2018 3:14:00 PM,29.45,29.45,29.45,29.45,0
11/30/2018 3:13:00 PM,29.45,29.45,29.45,29.45,0
11/30/2018 3:12:00 PM,29.45,29.45,29.45,29.45,0
11/30/2018 3:11:00 PM,29.45,29.45,29.45,29.45,0
11/30/2018 3:10:00 PM,28.85,29.45,28.85,29.45,1750
11/30/2018 3:09:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 3:08:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 3:07:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 3:06:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 3:05:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 3:04:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 3:03:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 3:02:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 3:01:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 3:00:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:59:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:58:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:57:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:56:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:55:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:54:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:53:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:52:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:51:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:50:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:49:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:48:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:47:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:46:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:45:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:44:00 PM,28.85,28.85,28.85,28.85,0
11/30/2018 2:43:00 PM,29.05,29.05,28.85,28.85,1750
11/30/2018 2:42:00 PM,29.05,29.05,29.05,29.05,0
11/30/2018 2:41:00 PM,29.05,29.05,29.05,29.05,0
11/30/2018 2:40:00 PM,29.5,29.5,28.8,29.05,3500
11/30/2018 2:39:00 PM,29.5,29.5,29.5,29.5,0
11/30/2018 2:38:00 PM,29.5,29.5,29.5,29.5,1750
11/30/2018 2:37:00 PM,30.35,30.35,29.5,29.5,1750
11/30/2018 2:36:00 PM,30.35,30.35,30.35,30.35,0
11/30/2018 2:35:00 PM,30.35,30.35,30.35,30.35,0
11/30/2018 2:34:00 PM,30.35,30.35,30.35,30.35,0
11/30/2018 2:33:00 PM,30.35,30.35,30.35,30.35,0
11/30/2018 2:32:00 PM,30.35,30.35,30.35,30.35,0
11/30/2018 2:31:00 PM,30.35,30.35,30.35,30.35,0
11/30/2018 2:30:00 PM,30.35,30.35,30.35,30.35,0
