Date,BANKNIFTY06DEC1827100CE O,BANKNIFTY06DEC1827100CE H,BANKNIFTY06DEC1827100CE L,BANKNIFTY06DEC1827100CE C,BANKNIFTY06DEC1827100CE V
11/30/2018 3:29:00 PM,106.75,108,105,107,19120
11/30/2018 3:28:00 PM,109.55,110,107,107.65,14700
11/30/2018 3:27:00 PM,109.8,109.95,108.5,109.55,15160
11/30/2018 3:26:00 PM,108.65,109.95,108.35,109.3,16260
11/30/2018 3:25:00 PM,111.6,112.2,108.5,108.5,15680
11/30/2018 3:24:00 PM,111.55,112.4,110.4,112.15,8380
11/30/2018 3:23:00 PM,115.2,115.2,111.15,111.4,19100
11/30/2018 3:22:00 PM,115,115.9,114.05,115.45,11360
11/30/2018 3:21:00 PM,114.75,115.85,114.1,115,16540
11/30/2018 3:20:00 PM,114.5,115.7,113,114.95,19660
11/30/2018 3:19:00 PM,112.5,114.85,112.5,114.65,9940
11/30/2018 3:18:00 PM,112.9,114.25,112.25,112.85,6660
11/30/2018 3:17:00 PM,114,115.3,112.1,112.9,13020
11/30/2018 3:16:00 PM,110.65,114.35,110.45,114.05,12660
11/30/2018 3:15:00 PM,109.9,111.25,108.6,110.15,18100
11/30/2018 3:14:00 PM,112.85,113,110.05,110.05,6620
11/30/2018 3:13:00 PM,111.9,113.15,110.25,112.85,5840
11/30/2018 3:12:00 PM,112.75,113.3,109,111.9,17400
11/30/2018 3:11:00 PM,112.4,114.5,111.3,112.75,6160
11/30/2018 3:10:00 PM,109.2,113.55,108.95,112.4,13700
11/30/2018 3:09:00 PM,117.1,117.35,109.4,109.5,20060
11/30/2018 3:08:00 PM,118.8,121.25,117.1,117.1,13720
11/30/2018 3:07:00 PM,116.25,119.45,116.25,118.7,12720
11/30/2018 3:06:00 PM,117.15,117.4,114.55,116.25,11840
11/30/2018 3:05:00 PM,116.7,118,115.45,117.15,6560
11/30/2018 3:04:00 PM,121.3,121.3,115,116.7,15320
11/30/2018 3:03:00 PM,119.15,122.7,117.65,121,15820
11/30/2018 3:02:00 PM,118.75,119.65,117,119.35,6020
11/30/2018 3:01:00 PM,119.1,120.6,117.5,120,13860
11/30/2018 3:00:00 PM,116.3,121.2,114.45,119.5,26520
11/30/2018 2:59:00 PM,111.35,116.25,111.35,116.2,10120
11/30/2018 2:58:00 PM,114.45,115,110.25,110.65,8120
11/30/2018 2:57:00 PM,113.85,115.25,112.55,114.5,12060
11/30/2018 2:56:00 PM,113.2,114.15,110.55,113,11600
11/30/2018 2:55:00 PM,115,117,112.65,113.2,17760
11/30/2018 2:54:00 PM,112.25,114.8,111.15,114.8,8580
11/30/2018 2:53:00 PM,117.05,117.05,110.05,112.05,28840
11/30/2018 2:52:00 PM,118.5,118.5,114.45,116.35,19420
11/30/2018 2:51:00 PM,123.7,123.7,118.5,118.7,11560
11/30/2018 2:50:00 PM,120.5,124.65,119.25,123.7,9300
11/30/2018 2:49:00 PM,122.3,124.65,120.35,120.5,6660
11/30/2018 2:48:00 PM,124,124,121.1,121.85,8200
11/30/2018 2:47:00 PM,120.9,126.5,120.9,124,20780
11/30/2018 2:46:00 PM,117.25,122,116.3,120.55,13340
11/30/2018 2:45:00 PM,126.8,126.8,117.8,117.8,24240
11/30/2018 2:44:00 PM,123.8,128,122.7,126.8,13200
11/30/2018 2:43:00 PM,122.45,124.4,121.7,123.8,17200
11/30/2018 2:42:00 PM,128,128.5,122.8,122.8,25580
11/30/2018 2:41:00 PM,126.6,129.4,126.25,127.7,29000
11/30/2018 2:40:00 PM,127.75,133.35,126.1,127,77580
11/30/2018 2:39:00 PM,117,126.4,116.1,126.4,37640
11/30/2018 2:38:00 PM,116.25,118.1,115.2,117.3,8720
11/30/2018 2:37:00 PM,116.95,117.5,114.75,116.25,9700
11/30/2018 2:36:00 PM,117.2,118.4,114.7,116,16600
11/30/2018 2:35:00 PM,111,117.95,110.6,116.8,28200
11/30/2018 2:34:00 PM,110,111,108.9,111,3660
11/30/2018 2:33:00 PM,109.95,110.35,107.95,109.7,11380
11/30/2018 2:32:00 PM,107.45,111.6,107.45,109.95,21060
11/30/2018 2:31:00 PM,102.45,108,102.1,107.45,11220
11/30/2018 2:30:00 PM,101.05,104.05,101.05,103.6,17240
11/30/2018 2:29:00 PM,106.4,107.9,101.1,101.1,21700
11/30/2018 2:28:00 PM,107.2,107.2,105.25,106.4,11380
11/30/2018 2:27:00 PM,104.5,107.75,104.5,107.2,8440
11/30/2018 2:26:00 PM,107,109.45,103.5,104.05,14240
11/30/2018 2:25:00 PM,105.65,107.8,105.45,107,8220
11/30/2018 2:24:00 PM,110,110.95,105.5,105.65,7860
11/30/2018 2:23:00 PM,111.25,112.8,110,110,4300
11/30/2018 2:22:00 PM,112.45,112.6,111.05,111.25,4040
11/30/2018 2:21:00 PM,108,114,108,112.45,11180
11/30/2018 2:20:00 PM,108.4,109.6,105.7,108,13080
11/30/2018 2:19:00 PM,108.05,109.9,107.9,109,8360
11/30/2018 2:18:00 PM,112,112.95,107.15,107.8,13760
11/30/2018 2:17:00 PM,116.9,117.35,113.55,113.55,11720
11/30/2018 2:16:00 PM,117.15,117.95,116.5,116.9,1000
11/30/2018 2:15:00 PM,116.35,117.4,115.6,117.15,3040
11/30/2018 2:14:00 PM,117,118.55,115,116.35,2240
11/30/2018 2:13:00 PM,117,118,114.4,117.2,6400
11/30/2018 2:12:00 PM,120.95,121,116.7,116.7,10400
