Date,NIFTY18DEC10850CE O,NIFTY18DEC10850CE H,NIFTY18DEC10850CE L,NIFTY18DEC10850CE C,NIFTY18DEC10850CE V
11/30/2018 3:29:00 PM,228.8,230,228.1,230,1200
11/30/2018 3:28:00 PM,229.6,230,228.8,228.8,1575
11/30/2018 3:27:00 PM,229.85,229.95,228.5,228.6,900
11/30/2018 3:26:00 PM,227.05,229.15,227.05,229.15,3675
11/30/2018 3:25:00 PM,228.7,228.7,227.45,227.45,675
11/30/2018 3:24:00 PM,226.9,228.7,226.9,228.7,600
11/30/2018 3:23:00 PM,227.55,228.05,226.9,226.9,825
11/30/2018 3:22:00 PM,227,228,227,227.55,1650
11/30/2018 3:21:00 PM,226,227,226,227,750
11/30/2018 3:20:00 PM,225,225.85,225,225.2,600
11/30/2018 3:19:00 PM,224,225,223.7,225,900
11/30/2018 3:18:00 PM,223.05,224,223.05,224,675
11/30/2018 3:17:00 PM,224.3,224.3,224.15,224.15,450
11/30/2018 3:16:00 PM,220.95,223.7,220.95,223.05,900
11/30/2018 3:15:00 PM,220,222,220,220.95,2250
11/30/2018 3:14:00 PM,221.15,222,220,220,750
11/30/2018 3:13:00 PM,221.25,222,221,221.15,300
11/30/2018 3:12:00 PM,222.55,222.55,221.25,221.25,75
11/30/2018 3:11:00 PM,220.95,222.55,220.6,222.55,750
11/30/2018 3:10:00 PM,220.65,220.95,219.45,220.95,1050
11/30/2018 3:09:00 PM,222.5,222.5,219.8,220.65,2400
11/30/2018 3:08:00 PM,222.5,225,222.5,222.5,675
11/30/2018 3:07:00 PM,220.25,223,220.25,222.5,1050
11/30/2018 3:06:00 PM,222.4,222.4,220.25,220.25,225
11/30/2018 3:05:00 PM,219.05,222.4,219.05,222.4,975
11/30/2018 3:04:00 PM,220,220.5,218,218.75,1875
11/30/2018 3:03:00 PM,219,220,219,220,300
11/30/2018 3:02:00 PM,217,219,217,219,375
11/30/2018 3:01:00 PM,217.1,217.2,215.55,217,1725
11/30/2018 3:00:00 PM,212.15,217.1,212.15,217.1,675
11/30/2018 2:59:00 PM,208.35,212.15,208.35,212.15,975
11/30/2018 2:58:00 PM,211.1,211.1,208.35,208.35,2175
11/30/2018 2:57:00 PM,208.1,209.75,208.1,209.7,225
11/30/2018 2:56:00 PM,210,210.55,208.1,208.1,225
11/30/2018 2:55:00 PM,209.6,211.2,209.6,209.7,1200
11/30/2018 2:54:00 PM,207.35,210,207.35,209.6,450
11/30/2018 2:53:00 PM,211.6,212,207.35,207.35,1275
11/30/2018 2:52:00 PM,216.95,216.95,211.35,211.6,975
11/30/2018 2:51:00 PM,216.95,216.95,216.95,216.95,0
11/30/2018 2:50:00 PM,216.5,219,216.5,216.95,525
11/30/2018 2:49:00 PM,218.7,218.7,216,216.5,675
11/30/2018 2:48:00 PM,219.75,219.75,218.7,218.7,225
11/30/2018 2:47:00 PM,218,220,218,219.75,525
11/30/2018 2:46:00 PM,218,218,215.15,218,375
11/30/2018 2:45:00 PM,219.8,219.8,218,218,600
11/30/2018 2:44:00 PM,218,220,218,219.8,225
11/30/2018 2:43:00 PM,218.05,219,218,218,675
11/30/2018 2:42:00 PM,221.25,221.25,218.05,218.05,300
11/30/2018 2:41:00 PM,221.05,221.95,221,221.25,375
11/30/2018 2:40:00 PM,220.35,224.1,220.35,221.05,2700
11/30/2018 2:39:00 PM,217.55,219.65,217.55,219.65,525
11/30/2018 2:38:00 PM,217.75,217.75,216.4,217.55,375
11/30/2018 2:37:00 PM,215.9,217.75,215.9,217.75,450
11/30/2018 2:36:00 PM,217.35,218,215.9,215.9,1050
11/30/2018 2:35:00 PM,212.8,219,212.8,217.35,2850
11/30/2018 2:34:00 PM,210.55,212.8,210.55,212.8,225
