Date,USDINR18DEC69PE O,USDINR18DEC69PE H,USDINR18DEC69PE L,USDINR18DEC69PE C,USDINR18DEC69PE V
11/30/2018 4:59:00 PM,0.3,0.305,0.3,0.305,2677
11/30/2018 4:58:00 PM,0.3075,0.3075,0.29,0.305,1149
11/30/2018 4:57:00 PM,0.3075,0.3075,0.2975,0.3075,1081
11/30/2018 4:56:00 PM,0.3025,0.3075,0.3,0.305,779
11/30/2018 4:55:00 PM,0.295,0.3025,0.2925,0.3025,1253
11/30/2018 4:54:00 PM,0.2975,0.2975,0.2925,0.295,355
11/30/2018 4:53:00 PM,0.2925,0.2975,0.29,0.2975,850
11/30/2018 4:52:00 PM,0.29,0.2925,0.29,0.2925,401
11/30/2018 4:51:00 PM,0.29,0.2925,0.29,0.29,332
11/30/2018 4:50:00 PM,0.2825,0.2925,0.2825,0.29,820
11/30/2018 4:49:00 PM,0.2825,0.285,0.2825,0.2825,415
11/30/2018 4:48:00 PM,0.28,0.285,0.28,0.2825,433
11/30/2018 4:47:00 PM,0.285,0.2875,0.28,0.28,352
11/30/2018 4:46:00 PM,0.2875,0.2875,0.285,0.285,336
11/30/2018 4:45:00 PM,0.2875,0.2875,0.285,0.2875,602
11/30/2018 4:44:00 PM,0.2875,0.2875,0.2875,0.2875,422
11/30/2018 4:43:00 PM,0.2875,0.2875,0.2875,0.2875,157
11/30/2018 4:42:00 PM,0.2875,0.2925,0.2875,0.2875,477
11/30/2018 4:41:00 PM,0.29,0.29,0.2875,0.2875,964
11/30/2018 4:40:00 PM,0.285,0.29,0.285,0.29,738
11/30/2018 4:39:00 PM,0.2875,0.2875,0.285,0.285,104
11/30/2018 4:38:00 PM,0.2825,0.2875,0.2825,0.2875,20
11/30/2018 4:37:00 PM,0.2825,0.2825,0.2825,0.2825,0
11/30/2018 4:36:00 PM,0.285,0.285,0.2825,0.2825,146
11/30/2018 4:35:00 PM,0.29,0.29,0.285,0.285,201
11/30/2018 4:34:00 PM,0.2925,0.2925,0.29,0.29,302
11/30/2018 4:33:00 PM,0.295,0.3025,0.2925,0.2925,1354
11/30/2018 4:32:00 PM,0.2875,0.295,0.285,0.295,2183
11/30/2018 4:31:00 PM,0.2875,0.2875,0.285,0.2875,254
11/30/2018 4:30:00 PM,0.2875,0.2875,0.2875,0.2875,1
11/30/2018 4:29:00 PM,0.29,0.29,0.2875,0.2875,63
11/30/2018 4:28:00 PM,0.29,0.2925,0.2875,0.29,132
11/30/2018 4:27:00 PM,0.2975,0.2975,0.29,0.29,40
11/30/2018 4:26:00 PM,0.29,0.2975,0.29,0.2975,212
11/30/2018 4:25:00 PM,0.2925,0.2925,0.29,0.29,470
11/30/2018 4:24:00 PM,0.29,0.2925,0.2875,0.2925,204
11/30/2018 4:23:00 PM,0.2875,0.2925,0.285,0.29,1062
11/30/2018 4:22:00 PM,0.2925,0.2925,0.2875,0.2875,455
11/30/2018 4:21:00 PM,0.2975,0.3,0.2925,0.2925,3780
11/30/2018 4:20:00 PM,0.29,0.2975,0.29,0.2975,1228
11/30/2018 4:19:00 PM,0.285,0.29,0.285,0.29,3880
11/30/2018 4:18:00 PM,0.2825,0.2825,0.2825,0.2825,8
11/30/2018 4:17:00 PM,0.285,0.285,0.28,0.2825,142
11/30/2018 4:16:00 PM,0.2825,0.285,0.2825,0.285,2
11/30/2018 4:15:00 PM,0.2825,0.2825,0.2825,0.2825,50
11/30/2018 4:14:00 PM,0.28,0.285,0.28,0.2825,340
11/30/2018 4:13:00 PM,0.2775,0.28,0.2775,0.28,2761
11/30/2018 4:12:00 PM,0.28,0.28,0.275,0.2775,484
11/30/2018 4:11:00 PM,0.2725,0.28,0.2725,0.28,907
11/30/2018 4:10:00 PM,0.2725,0.2725,0.2725,0.2725,2
11/30/2018 4:09:00 PM,0.2675,0.2725,0.2675,0.2725,524
11/30/2018 4:08:00 PM,0.2675,0.2675,0.2675,0.2675,0
11/30/2018 4:07:00 PM,0.265,0.2675,0.265,0.2675,100
11/30/2018 4:06:00 PM,0.2675,0.2675,0.265,0.265,10
11/30/2018 4:05:00 PM,0.265,0.2675,0.265,0.2675,3020
11/30/2018 4:04:00 PM,0.265,0.265,0.265,0.265,300
11/30/2018 4:03:00 PM,0.265,0.265,0.265,0.265,0
11/30/2018 4:02:00 PM,0.265,0.265,0.265,0.265,0
11/30/2018 4:01:00 PM,0.26,0.265,0.26,0.265,10
11/30/2018 4:00:00 PM,0.26,0.26,0.26,0.26,0
11/30/2018 3:59:00 PM,0.26,0.26,0.26,0.26,0
11/30/2018 3:58:00 PM,0.26,0.26,0.26,0.26,65
11/30/2018 3:57:00 PM,0.26,0.26,0.26,0.26,5
11/30/2018 3:56:00 PM,0.2575,0.2575,0.2575,0.2575,866
11/30/2018 3:55:00 PM,0.2575,0.2575,0.2575,0.2575,139
11/30/2018 3:54:00 PM,0.26,0.26,0.255,0.2575,252
11/30/2018 3:53:00 PM,0.255,0.26,0.255,0.26,346
11/30/2018 3:52:00 PM,0.255,0.255,0.255,0.255,462
11/30/2018 3:51:00 PM,0.255,0.255,0.255,0.255,17
11/30/2018 3:50:00 PM,0.26,0.26,0.255,0.255,177
11/30/2018 3:49:00 PM,0.255,0.26,0.255,0.26,212
11/30/2018 3:48:00 PM,0.255,0.255,0.255,0.255,2858
11/30/2018 3:47:00 PM,0.2525,0.255,0.2525,0.255,300
11/30/2018 3:46:00 PM,0.255,0.255,0.2525,0.2525,8
11/30/2018 3:45:00 PM,0.2575,0.2575,0.255,0.255,5
11/30/2018 3:44:00 PM,0.2575,0.2575,0.2575,0.2575,100
11/30/2018 3:43:00 PM,0.2575,0.2575,0.2575,0.2575,0
11/30/2018 3:42:00 PM,0.2625,0.2625,0.2575,0.2575,125
11/30/2018 3:41:00 PM,0.2625,0.2625,0.2625,0.2625,564
11/30/2018 3:40:00 PM,0.2625,0.2625,0.2625,0.2625,0
11/30/2018 3:39:00 PM,0.2525,0.2625,0.2525,0.2625,463
11/30/2018 3:38:00 PM,0.25,0.2525,0.25,0.2525,600
11/30/2018 3:37:00 PM,0.25,0.25,0.25,0.25,451
11/30/2018 3:36:00 PM,0.25,0.2525,0.2475,0.25,1571
11/30/2018 3:35:00 PM,0.2525,0.2525,0.2525,0.2525,0
11/30/2018 3:34:00 PM,0.2525,0.2525,0.2525,0.2525,100
11/30/2018 3:33:00 PM,0.2475,0.2525,0.2475,0.2525,160
11/30/2018 3:32:00 PM,0.245,0.2475,0.245,0.2475,12
11/30/2018 3:31:00 PM,0.2475,0.2475,0.245,0.245,289
11/30/2018 3:30:00 PM,0.2475,0.2475,0.2475,0.2475,10
11/30/2018 3:29:00 PM,0.25,0.25,0.2475,0.2475,1953
11/30/2018 3:28:00 PM,0.25,0.25,0.25,0.25,1107
11/30/2018 3:27:00 PM,0.2475,0.25,0.2475,0.25,8
11/30/2018 3:26:00 PM,0.25,0.25,0.2475,0.2475,2
11/30/2018 3:25:00 PM,0.25,0.25,0.25,0.25,6
11/30/2018 3:24:00 PM,0.2475,0.25,0.2475,0.25,2314
11/30/2018 3:23:00 PM,0.245,0.2475,0.245,0.2475,64
11/30/2018 3:22:00 PM,0.245,0.245,0.245,0.245,19
11/30/2018 3:21:00 PM,0.245,0.245,0.245,0.245,30
11/30/2018 3:20:00 PM,0.2475,0.2475,0.245,0.245,51
11/30/2018 3:19:00 PM,0.2475,0.2475,0.2475,0.2475,170
11/30/2018 3:18:00 PM,0.245,0.25,0.245,0.25,236
11/30/2018 3:17:00 PM,0.245,0.245,0.245,0.245,0
11/30/2018 3:16:00 PM,0.2425,0.245,0.2425,0.245,7
11/30/2018 3:15:00 PM,0.2425,0.2425,0.2425,0.2425,341
11/30/2018 3:14:00 PM,0.24,0.2425,0.24,0.2425,7
11/30/2018 3:13:00 PM,0.235,0.2425,0.235,0.24,134
11/30/2018 3:12:00 PM,0.24,0.24,0.235,0.235,2
11/30/2018 3:11:00 PM,0.2375,0.24,0.2375,0.24,34
11/30/2018 3:10:00 PM,0.235,0.2375,0.235,0.2375,2
11/30/2018 3:09:00 PM,0.235,0.235,0.2325,0.235,396
11/30/2018 3:08:00 PM,0.235,0.235,0.2325,0.235,199
11/30/2018 3:07:00 PM,0.2325,0.235,0.2325,0.235,51
11/30/2018 3:06:00 PM,0.235,0.235,0.2325,0.2325,1062
11/30/2018 3:05:00 PM,0.235,0.235,0.235,0.235,10
11/30/2018 3:04:00 PM,0.2325,0.235,0.2325,0.235,25
11/30/2018 3:03:00 PM,0.235,0.235,0.2325,0.2325,4
11/30/2018 3:02:00 PM,0.235,0.235,0.235,0.235,20
11/30/2018 3:01:00 PM,0.235,0.235,0.235,0.235,355
11/30/2018 3:00:00 PM,0.235,0.235,0.235,0.235,0
11/30/2018 2:59:00 PM,0.235,0.235,0.235,0.235,191
11/30/2018 2:58:00 PM,0.23,0.235,0.23,0.235,8
11/30/2018 2:57:00 PM,0.2275,0.23,0.2275,0.23,128
11/30/2018 2:56:00 PM,0.23,0.23,0.2275,0.2275,258
11/30/2018 2:55:00 PM,0.2325,0.2325,0.23,0.23,105
11/30/2018 2:54:00 PM,0.2275,0.2325,0.2275,0.2325,103
11/30/2018 2:53:00 PM,0.2325,0.2375,0.2275,0.2275,2681
11/30/2018 2:52:00 PM,0.2375,0.2375,0.2325,0.2325,349
11/30/2018 2:51:00 PM,0.2325,0.2375,0.2325,0.2375,1076
11/30/2018 2:50:00 PM,0.2325,0.2325,0.2325,0.2325,0
11/30/2018 2:49:00 PM,0.2325,0.2325,0.2325,0.2325,427
11/30/2018 2:48:00 PM,0.2375,0.2375,0.2325,0.2325,319
11/30/2018 2:47:00 PM,0.25,0.25,0.2375,0.2375,333
11/30/2018 2:46:00 PM,0.2525,0.2525,0.25,0.25,50
11/30/2018 2:45:00 PM,0.2525,0.2525,0.2525,0.2525,0
11/30/2018 2:44:00 PM,0.2525,0.2525,0.2525,0.2525,43
11/30/2018 2:43:00 PM,0.25,0.255,0.25,0.2525,152
11/30/2018 2:42:00 PM,0.25,0.25,0.25,0.25,0
11/30/2018 2:41:00 PM,0.255,0.255,0.25,0.25,6
11/30/2018 2:40:00 PM,0.255,0.255,0.255,0.255,32
11/30/2018 2:39:00 PM,0.26,0.26,0.255,0.255,50
11/30/2018 2:38:00 PM,0.26,0.26,0.26,0.26,25
11/30/2018 2:37:00 PM,0.26,0.26,0.26,0.26,0
11/30/2018 2:36:00 PM,0.26,0.26,0.26,0.26,0
11/30/2018 2:35:00 PM,0.2625,0.2625,0.26,0.26,2
11/30/2018 2:34:00 PM,0.2625,0.2625,0.26,0.2625,87
11/30/2018 2:33:00 PM,0.2625,0.2625,0.2625,0.2625,0
11/30/2018 2:32:00 PM,0.26,0.2625,0.26,0.2625,51
11/30/2018 2:31:00 PM,0.26,0.26,0.26,0.26,19
11/30/2018 2:30:00 PM,0.26,0.26,0.26,0.26,68
11/30/2018 2:29:00 PM,0.26,0.26,0.26,0.26,0
11/30/2018 2:28:00 PM,0.26,0.26,0.26,0.26,0
11/30/2018 2:27:00 PM,0.26,0.26,0.26,0.26,107
11/30/2018 2:26:00 PM,0.26,0.26,0.26,0.26,67
11/30/2018 2:25:00 PM,0.26,0.26,0.26,0.26,0
11/30/2018 2:24:00 PM,0.26,0.26,0.26,0.26,0
11/30/2018 2:23:00 PM,0.2575,0.2625,0.2575,0.26,1738
11/30/2018 2:22:00 PM,0.26,0.26,0.2575,0.2575,60
11/30/2018 2:21:00 PM,0.2575,0.26,0.2575,0.26,146
11/30/2018 2:20:00 PM,0.2625,0.2625,0.2575,0.2575,500
11/30/2018 2:19:00 PM,0.2625,0.2625,0.2625,0.2625,0
11/30/2018 2:18:00 PM,0.2625,0.2625,0.2625,0.2625,10
11/30/2018 2:17:00 PM,0.27,0.27,0.2625,0.2625,125
11/30/2018 2:16:00 PM,0.27,0.27,0.27,0.27,301
11/30/2018 2:15:00 PM,0.27,0.27,0.27,0.27,0
11/30/2018 2:14:00 PM,0.2675,0.27,0.265,0.27,173
11/30/2018 2:13:00 PM,0.2675,0.2675,0.2675,0.2675,0
11/30/2018 2:12:00 PM,0.27,0.27,0.2675,0.2675,550
11/30/2018 2:11:00 PM,0.27,0.27,0.27,0.27,100
11/30/2018 2:10:00 PM,0.265,0.27,0.265,0.27,336
11/30/2018 2:09:00 PM,0.265,0.265,0.2625,0.265,331
11/30/2018 2:08:00 PM,0.2625,0.265,0.2625,0.265,140
11/30/2018 2:07:00 PM,0.2625,0.2625,0.2625,0.2625,0
11/30/2018 2:06:00 PM,0.2625,0.2625,0.2625,0.2625,0
11/30/2018 2:05:00 PM,0.2625,0.2625,0.2625,0.2625,5
11/30/2018 2:04:00 PM,0.26,0.265,0.26,0.2625,565
11/30/2018 2:03:00 PM,0.2625,0.2625,0.26,0.26,500
11/30/2018 2:02:00 PM,0.2625,0.2625,0.2625,0.2625,0
11/30/2018 2:01:00 PM,0.2625,0.2625,0.2625,0.2625,0
11/30/2018 2:00:00 PM,0.2625,0.2625,0.2625,0.2625,146
11/30/2018 1:59:00 PM,0.2675,0.2675,0.2625,0.2625,50
11/30/2018 1:58:00 PM,0.265,0.2675,0.265,0.2675,100
11/30/2018 1:57:00 PM,0.27,0.27,0.265,0.265,170
11/30/2018 1:56:00 PM,0.2675,0.27,0.265,0.27,19
11/30/2018 1:55:00 PM,0.265,0.2675,0.2625,0.2675,497
11/30/2018 1:54:00 PM,0.2625,0.265,0.2625,0.265,100
11/30/2018 1:53:00 PM,0.265,0.265,0.26,0.2625,158
11/30/2018 1:52:00 PM,0.265,0.265,0.265,0.265,0
11/30/2018 1:51:00 PM,0.265,0.265,0.265,0.265,0
11/30/2018 1:50:00 PM,0.265,0.265,0.2625,0.265,125
11/30/2018 1:49:00 PM,0.265,0.265,0.265,0.265,8
11/30/2018 1:48:00 PM,0.2625,0.265,0.2625,0.265,14
11/30/2018 1:47:00 PM,0.26,0.2625,0.26,0.2625,71
11/30/2018 1:46:00 PM,0.2625,0.2625,0.26,0.26,136
11/30/2018 1:45:00 PM,0.2575,0.2625,0.2575,0.2625,10
11/30/2018 1:44:00 PM,0.255,0.2575,0.255,0.2575,10
11/30/2018 1:43:00 PM,0.255,0.255,0.255,0.255,0
11/30/2018 1:42:00 PM,0.255,0.255,0.255,0.255,0
11/30/2018 1:41:00 PM,0.2525,0.255,0.2525,0.255,81
11/30/2018 1:40:00 PM,0.2525,0.2525,0.2525,0.2525,0
11/30/2018 1:39:00 PM,0.2525,0.2525,0.2525,0.2525,0
11/30/2018 1:38:00 PM,0.2525,0.2525,0.2525,0.2525,0
11/30/2018 1:37:00 PM,0.255,0.255,0.2525,0.2525,1
11/30/2018 1:36:00 PM,0.255,0.255,0.255,0.255,381
11/30/2018 1:35:00 PM,0.26,0.26,0.255,0.255,435
11/30/2018 1:34:00 PM,0.2575,0.26,0.2575,0.26,122
11/30/2018 1:33:00 PM,0.255,0.2575,0.255,0.2575,90
11/30/2018 1:32:00 PM,0.25,0.255,0.25,0.255,237
11/30/2018 1:31:00 PM,0.25,0.25,0.2475,0.25,242
11/30/2018 1:30:00 PM,0.25,0.25,0.25,0.25,10
11/30/2018 1:29:00 PM,0.25,0.25,0.25,0.25,0
11/30/2018 1:28:00 PM,0.25,0.25,0.25,0.25,1
11/30/2018 1:27:00 PM,0.25,0.25,0.2475,0.25,23
11/30/2018 1:26:00 PM,0.2475,0.25,0.2475,0.25,100
11/30/2018 1:25:00 PM,0.2475,0.2475,0.2475,0.2475,37
11/30/2018 1:24:00 PM,0.2475,0.2475,0.2475,0.2475,156
11/30/2018 1:23:00 PM,0.2525,0.2525,0.2475,0.2475,8
11/30/2018 1:22:00 PM,0.2525,0.2525,0.2525,0.2525,0
11/30/2018 1:21:00 PM,0.25,0.2525,0.25,0.2525,150
11/30/2018 1:20:00 PM,0.245,0.25,0.245,0.25,127
11/30/2018 1:19:00 PM,0.2475,0.2475,0.245,0.245,10
11/30/2018 1:18:00 PM,0.25,0.25,0.245,0.2475,116
11/30/2018 1:17:00 PM,0.25,0.25,0.25,0.25,0
11/30/2018 1:16:00 PM,0.25,0.25,0.25,0.25,24
11/30/2018 1:15:00 PM,0.25,0.25,0.25,0.25,0
11/30/2018 1:14:00 PM,0.245,0.25,0.245,0.25,30
11/30/2018 1:13:00 PM,0.2425,0.245,0.2425,0.245,28
11/30/2018 1:12:00 PM,0.2475,0.2475,0.2425,0.2425,9
11/30/2018 1:11:00 PM,0.2475,0.2475,0.245,0.2475,29
11/30/2018 1:10:00 PM,0.2475,0.25,0.2475,0.2475,101
11/30/2018 1:09:00 PM,0.25,0.25,0.2475,0.2475,16
11/30/2018 1:08:00 PM,0.2475,0.25,0.245,0.25,9
11/30/2018 1:07:00 PM,0.2475,0.2475,0.2475,0.2475,958
11/30/2018 1:06:00 PM,0.25,0.25,0.2475,0.2475,365
11/30/2018 1:05:00 PM,0.2525,0.2525,0.25,0.25,200
11/30/2018 1:04:00 PM,0.2525,0.2525,0.2525,0.2525,101
11/30/2018 1:03:00 PM,0.255,0.255,0.2525,0.2525,171
11/30/2018 1:02:00 PM,0.25,0.2575,0.25,0.255,105
11/30/2018 1:01:00 PM,0.25,0.25,0.25,0.25,80
11/30/2018 1:00:00 PM,0.25,0.25,0.25,0.25,17
11/30/2018 12:59:00 PM,0.25,0.25,0.25,0.25,328
11/30/2018 12:58:00 PM,0.25,0.25,0.2475,0.25,50
11/30/2018 12:57:00 PM,0.2475,0.25,0.2475,0.25,1948
11/30/2018 12:56:00 PM,0.245,0.2475,0.245,0.2475,484
11/30/2018 12:55:00 PM,0.2425,0.245,0.2425,0.245,2819
11/30/2018 12:54:00 PM,0.25,0.25,0.2425,0.2425,81
11/30/2018 12:53:00 PM,0.25,0.25,0.245,0.25,1911
11/30/2018 12:52:00 PM,0.2575,0.2575,0.2525,0.2525,581
11/30/2018 12:51:00 PM,0.26,0.26,0.2575,0.2575,3840
11/30/2018 12:50:00 PM,0.2575,0.26,0.2575,0.26,2361
11/30/2018 12:49:00 PM,0.26,0.26,0.2575,0.2575,400
11/30/2018 12:48:00 PM,0.26,0.26,0.26,0.26,150
11/30/2018 12:47:00 PM,0.26,0.26,0.26,0.26,100
11/30/2018 12:46:00 PM,0.2625,0.2625,0.26,0.26,13
11/30/2018 12:45:00 PM,0.26,0.2625,0.2575,0.2625,528
11/30/2018 12:44:00 PM,0.2575,0.26,0.2575,0.26,897
11/30/2018 12:43:00 PM,0.26,0.26,0.2575,0.2575,369
11/30/2018 12:42:00 PM,0.2625,0.2625,0.26,0.26,340
11/30/2018 12:41:00 PM,0.265,0.265,0.26,0.2625,594
11/30/2018 12:40:00 PM,0.265,0.265,0.265,0.265,105
11/30/2018 12:39:00 PM,0.27,0.27,0.265,0.265,311
11/30/2018 12:38:00 PM,0.2725,0.2725,0.27,0.27,1769
11/30/2018 12:37:00 PM,0.2775,0.2775,0.2725,0.2725,930
11/30/2018 12:36:00 PM,0.2775,0.2775,0.2775,0.2775,0
11/30/2018 12:35:00 PM,0.28,0.28,0.275,0.2775,637
11/30/2018 12:34:00 PM,0.28,0.28,0.28,0.28,15
11/30/2018 12:33:00 PM,0.2825,0.2825,0.2825,0.2825,0
11/30/2018 12:32:00 PM,0.2825,0.2825,0.2825,0.2825,58
11/30/2018 12:31:00 PM,0.2825,0.2825,0.2825,0.2825,21
11/30/2018 12:30:00 PM,0.2825,0.2825,0.2825,0.2825,140
11/30/2018 12:29:00 PM,0.285,0.285,0.2825,0.2825,25
11/30/2018 12:28:00 PM,0.2875,0.2875,0.285,0.285,1
11/30/2018 12:27:00 PM,0.2875,0.2875,0.2875,0.2875,0
11/30/2018 12:26:00 PM,0.2875,0.2875,0.2875,0.2875,2
11/30/2018 12:25:00 PM,0.2875,0.2875,0.2875,0.2875,20
11/30/2018 12:24:00 PM,0.285,0.2875,0.285,0.2875,181
11/30/2018 12:23:00 PM,0.2875,0.2875,0.285,0.285,100
11/30/2018 12:22:00 PM,0.2875,0.2875,0.2875,0.2875,167
11/30/2018 12:21:00 PM,0.2875,0.2875,0.2875,0.2875,0
11/30/2018 12:20:00 PM,0.29,0.29,0.2875,0.2875,100
11/30/2018 12:19:00 PM,0.29,0.29,0.29,0.29,0
11/30/2018 12:18:00 PM,0.285,0.29,0.285,0.29,16
11/30/2018 12:17:00 PM,0.285,0.285,0.285,0.285,0
11/30/2018 12:16:00 PM,0.2825,0.285,0.2825,0.285,100
11/30/2018 12:15:00 PM,0.2825,0.2825,0.2825,0.2825,0
11/30/2018 12:14:00 PM,0.2825,0.2825,0.2825,0.2825,0
11/30/2018 12:13:00 PM,0.2825,0.2825,0.2825,0.2825,0
11/30/2018 12:12:00 PM,0.2825,0.2825,0.2825,0.2825,4
11/30/2018 12:11:00 PM,0.2825,0.2825,0.2825,0.2825,100
11/30/2018 12:10:00 PM,0.2825,0.2825,0.28,0.2825,347
11/30/2018 12:09:00 PM,0.2825,0.2825,0.2825,0.2825,0
11/30/2018 12:08:00 PM,0.2825,0.2825,0.2825,0.2825,0
11/30/2018 12:07:00 PM,0.2825,0.2825,0.2825,0.2825,0
11/30/2018 12:06:00 PM,0.285,0.285,0.2825,0.2825,10
11/30/2018 12:05:00 PM,0.2825,0.285,0.2825,0.285,20
11/30/2018 12:04:00 PM,0.2825,0.2825,0.2825,0.2825,0
11/30/2018 12:03:00 PM,0.285,0.285,0.2825,0.2825,1
11/30/2018 12:02:00 PM,0.285,0.285,0.285,0.285,0
11/30/2018 12:01:00 PM,0.2875,0.2875,0.285,0.285,184
11/30/2018 12:00:00 PM,0.2875,0.2875,0.2875,0.2875,0
11/30/2018 11:59:00 AM,0.2875,0.2875,0.2875,0.2875,50
11/30/2018 11:58:00 AM,0.2875,0.2875,0.2875,0.2875,0
11/30/2018 11:57:00 AM,0.2875,0.2875,0.2875,0.2875,22
11/30/2018 11:56:00 AM,0.29,0.29,0.29,0.29,0
11/30/2018 11:55:00 AM,0.2925,0.2925,0.29,0.29,36
11/30/2018 11:54:00 AM,0.295,0.295,0.2925,0.2925,398
11/30/2018 11:53:00 AM,0.2925,0.295,0.2925,0.295,60
11/30/2018 11:52:00 AM,0.29,0.2925,0.29,0.2925,30
11/30/2018 11:51:00 AM,0.2875,0.29,0.2875,0.29,275
11/30/2018 11:50:00 AM,0.29,0.29,0.2875,0.2875,116
11/30/2018 11:49:00 AM,0.29,0.29,0.29,0.29,0
11/30/2018 11:48:00 AM,0.29,0.29,0.29,0.29,0
11/30/2018 11:47:00 AM,0.29,0.29,0.29,0.29,0
11/30/2018 11:46:00 AM,0.2875,0.29,0.2875,0.29,125
11/30/2018 11:45:00 AM,0.295,0.295,0.29,0.29,115
11/30/2018 11:44:00 AM,0.295,0.295,0.2925,0.295,525
11/30/2018 11:43:00 AM,0.29,0.295,0.29,0.295,200
11/30/2018 11:42:00 AM,0.2875,0.29,0.2875,0.29,351
11/30/2018 11:41:00 AM,0.2875,0.2875,0.285,0.285,625
11/30/2018 11:40:00 AM,0.2875,0.2875,0.285,0.2875,533
11/30/2018 11:39:00 AM,0.29,0.29,0.29,0.29,0
11/30/2018 11:38:00 AM,0.2925,0.2925,0.29,0.29,143
11/30/2018 11:37:00 AM,0.2925,0.2925,0.2925,0.2925,180
11/30/2018 11:36:00 AM,0.29,0.2925,0.29,0.2925,100
11/30/2018 11:35:00 AM,0.29,0.29,0.29,0.29,26
11/30/2018 11:34:00 AM,0.29,0.29,0.29,0.29,50
11/30/2018 11:33:00 AM,0.29,0.29,0.29,0.29,291
11/30/2018 11:32:00 AM,0.2875,0.29,0.2875,0.29,63
11/30/2018 11:31:00 AM,0.2875,0.2875,0.2875,0.2875,0
11/30/2018 11:30:00 AM,0.29,0.29,0.2875,0.2875,8
11/30/2018 11:29:00 AM,0.2925,0.2925,0.29,0.29,12
11/30/2018 11:28:00 AM,0.2925,0.2925,0.29,0.2925,363
11/30/2018 11:27:00 AM,0.2925,0.2925,0.2925,0.2925,70
11/30/2018 11:26:00 AM,0.2925,0.2925,0.2925,0.2925,60
11/30/2018 11:25:00 AM,0.295,0.295,0.295,0.295,55
11/30/2018 11:24:00 AM,0.295,0.295,0.295,0.295,185
11/30/2018 11:23:00 AM,0.295,0.295,0.2925,0.295,85
11/30/2018 11:22:00 AM,0.295,0.295,0.295,0.295,162
11/30/2018 11:21:00 AM,0.295,0.295,0.295,0.295,200
11/30/2018 11:20:00 AM,0.295,0.295,0.2925,0.295,601
11/30/2018 11:19:00 AM,0.2925,0.2975,0.2925,0.295,72
11/30/2018 11:18:00 AM,0.2975,0.2975,0.2925,0.2925,983
11/30/2018 11:17:00 AM,0.2975,0.2975,0.2975,0.2975,920
11/30/2018 11:16:00 AM,0.3,0.3,0.2975,0.2975,709
11/30/2018 11:15:00 AM,0.3,0.3025,0.3,0.3,414
11/30/2018 11:14:00 AM,0.295,0.3,0.295,0.3,1252
11/30/2018 11:13:00 AM,0.2925,0.295,0.2925,0.295,666
11/30/2018 11:12:00 AM,0.285,0.2925,0.285,0.2925,911
11/30/2018 11:11:00 AM,0.285,0.285,0.285,0.285,682
11/30/2018 11:10:00 AM,0.2825,0.285,0.2825,0.285,276
11/30/2018 11:09:00 AM,0.28,0.2875,0.28,0.2825,64
11/30/2018 11:08:00 AM,0.2825,0.2825,0.28,0.28,208
11/30/2018 11:07:00 AM,0.28,0.2825,0.28,0.2825,165
11/30/2018 11:06:00 AM,0.2825,0.2825,0.28,0.28,103
11/30/2018 11:05:00 AM,0.28,0.2825,0.28,0.2825,263
11/30/2018 11:04:00 AM,0.28,0.28,0.28,0.28,630
11/30/2018 11:03:00 AM,0.2775,0.28,0.2775,0.28,91
11/30/2018 11:02:00 AM,0.275,0.28,0.275,0.2775,531
11/30/2018 11:01:00 AM,0.2775,0.2775,0.275,0.275,503
11/30/2018 11:00:00 AM,0.2775,0.2775,0.2775,0.2775,0
11/30/2018 10:59:00 AM,0.2775,0.28,0.2775,0.2775,263
11/30/2018 10:58:00 AM,0.275,0.28,0.275,0.2775,214
11/30/2018 10:57:00 AM,0.275,0.275,0.275,0.275,0
