Date,BANKNIFTY06DEC1826800PE O,BANKNIFTY06DEC1826800PE H,BANKNIFTY06DEC1826800PE L,BANKNIFTY06DEC1826800PE C,BANKNIFTY06DEC1826800PE V
11/30/2018 3:29:00 PM,182,182,178,180.35,11960
11/30/2018 3:28:00 PM,182.2,182.95,181.1,181.5,12900
11/30/2018 3:27:00 PM,182.1,183.75,181.7,182.25,9840
11/30/2018 3:26:00 PM,182.35,183,182,182.3,10600
11/30/2018 3:25:00 PM,180.2,183,180.2,182.35,14040
11/30/2018 3:24:00 PM,182.65,182.65,179.3,181.15,11360
11/30/2018 3:23:00 PM,179.85,182,178,181.95,11500
11/30/2018 3:22:00 PM,180.25,181,178.6,179.35,10100
11/30/2018 3:21:00 PM,180.25,181.9,179.1,180.25,10220
11/30/2018 3:20:00 PM,181,184.65,179.7,181.15,39160
11/30/2018 3:19:00 PM,183.75,184.3,181,181.25,12080
11/30/2018 3:18:00 PM,182.15,183.8,180.3,183.15,17160
11/30/2018 3:17:00 PM,181,182.85,178.55,182.2,14480
11/30/2018 3:16:00 PM,184.3,185.35,180.45,180.45,19080
11/30/2018 3:15:00 PM,185,186.85,183.05,184.3,26720
11/30/2018 3:14:00 PM,179.9,184.85,179.9,184.15,14000
11/30/2018 3:13:00 PM,182,183.9,179.25,179.5,11640
11/30/2018 3:12:00 PM,181.25,183.95,180.3,180.85,8020
11/30/2018 3:11:00 PM,181.55,182.05,178.75,181.25,14580
11/30/2018 3:10:00 PM,184.5,184.65,180.15,180.8,7120
11/30/2018 3:09:00 PM,177.5,185.05,177.1,185.05,17140
11/30/2018 3:08:00 PM,175,178,171,177.5,8520
11/30/2018 3:07:00 PM,180,180,174.3,175,8440
11/30/2018 3:06:00 PM,177.6,182,177.6,180,9140
11/30/2018 3:05:00 PM,179.6,181.45,178.05,179.5,10380
11/30/2018 3:04:00 PM,173.4,180.9,173.4,180.2,10520
11/30/2018 3:03:00 PM,176.75,177.85,172.25,173,10600
11/30/2018 3:02:00 PM,175.85,179,175.55,176.45,8540
11/30/2018 3:01:00 PM,176.45,177.7,174,175.3,5640
11/30/2018 3:00:00 PM,180,183.15,173.35,174.15,22080
11/30/2018 2:59:00 PM,188.25,188.25,180.3,180.3,13740
11/30/2018 2:58:00 PM,182.95,189,182.3,188.65,7200
11/30/2018 2:57:00 PM,184.25,186.55,181.05,182.95,14160
11/30/2018 2:56:00 PM,187.15,189.65,185.9,186.45,6160
11/30/2018 2:55:00 PM,186.55,189,183,188.2,16180
11/30/2018 2:54:00 PM,190.25,192.3,186.15,186.15,15140
11/30/2018 2:53:00 PM,183.95,192.3,182.85,189.85,21360
