Date,USDINR18DEC69.75PE O,USDINR18DEC69.75PE H,USDINR18DEC69.75PE L,USDINR18DEC69.75PE C,USDINR18DEC69.75PE V
11/30/2018 4:59:00 PM,0.6025,0.61,0.6025,0.61,205
11/30/2018 4:58:00 PM,0.6025,0.6025,0.6025,0.6025,11
11/30/2018 4:57:00 PM,0.61,0.61,0.6,0.6025,75
11/30/2018 4:56:00 PM,0.5975,0.6075,0.595,0.6075,127
11/30/2018 4:55:00 PM,0.5925,0.5975,0.585,0.5975,111
11/30/2018 4:54:00 PM,0.58,0.5925,0.58,0.5925,201
11/30/2018 4:53:00 PM,0.5775,0.58,0.54,0.58,167
11/30/2018 4:52:00 PM,0.575,0.5775,0.575,0.5775,275
11/30/2018 4:51:00 PM,0.575,0.575,0.575,0.575,50
11/30/2018 4:50:00 PM,0.57,0.58,0.57,0.575,800
11/30/2018 4:49:00 PM,0.565,0.57,0.565,0.57,35
11/30/2018 4:48:00 PM,0.5625,0.565,0.56,0.565,277
11/30/2018 4:47:00 PM,0.575,0.575,0.56,0.5625,2666
11/30/2018 4:46:00 PM,0.5675,0.575,0.5675,0.575,408
11/30/2018 4:45:00 PM,0.5725,0.5725,0.55,0.5675,486
11/30/2018 4:44:00 PM,0.5725,0.575,0.5725,0.5725,313
11/30/2018 4:43:00 PM,0.575,0.575,0.5725,0.5725,2
11/30/2018 4:42:00 PM,0.575,0.575,0.575,0.575,0
11/30/2018 4:41:00 PM,0.58,0.58,0.575,0.575,54
11/30/2018 4:40:00 PM,0.5675,0.58,0.5675,0.58,228
11/30/2018 4:39:00 PM,0.5675,0.5675,0.5675,0.5675,0
11/30/2018 4:38:00 PM,0.5675,0.5675,0.5675,0.5675,50
11/30/2018 4:37:00 PM,0.5775,0.5775,0.5775,0.5775,0
11/30/2018 4:36:00 PM,0.5775,0.5775,0.5775,0.5775,0
11/30/2018 4:35:00 PM,0.5775,0.5775,0.5775,0.5775,0
11/30/2018 4:34:00 PM,0.5875,0.5875,0.5775,0.5775,111
11/30/2018 4:33:00 PM,0.585,0.5875,0.585,0.5875,90
11/30/2018 4:32:00 PM,0.5725,0.585,0.5725,0.585,158
11/30/2018 4:31:00 PM,0.575,0.575,0.5725,0.5725,26
11/30/2018 4:30:00 PM,0.575,0.575,0.575,0.575,0
11/30/2018 4:29:00 PM,0.5775,0.5775,0.575,0.575,70
11/30/2018 4:28:00 PM,0.5775,0.5775,0.5775,0.5775,0
11/30/2018 4:27:00 PM,0.5825,0.5825,0.5775,0.5775,54
11/30/2018 4:26:00 PM,0.58,0.5825,0.58,0.5825,102
11/30/2018 4:25:00 PM,0.585,0.585,0.58,0.58,6
11/30/2018 4:24:00 PM,0.5675,0.585,0.5675,0.585,160
11/30/2018 4:23:00 PM,0.5775,0.58,0.5675,0.5675,231
11/30/2018 4:22:00 PM,0.5825,0.5825,0.5775,0.5775,1010
11/30/2018 4:21:00 PM,0.575,0.59,0.575,0.5825,210
11/30/2018 4:20:00 PM,0.5725,0.575,0.5725,0.575,51
11/30/2018 4:19:00 PM,0.5575,0.5725,0.5575,0.5725,64
11/30/2018 4:18:00 PM,0.5575,0.5575,0.5575,0.5575,70
11/30/2018 4:17:00 PM,0.555,0.5575,0.555,0.5575,50
11/30/2018 4:16:00 PM,0.555,0.555,0.5525,0.555,110
11/30/2018 4:15:00 PM,0.5625,0.5625,0.555,0.555,120
11/30/2018 4:14:00 PM,0.5475,0.565,0.5475,0.5625,237
11/30/2018 4:13:00 PM,0.5475,0.5475,0.5475,0.5475,0
11/30/2018 4:12:00 PM,0.5525,0.5525,0.5475,0.5475,40
11/30/2018 4:11:00 PM,0.5425,0.5525,0.5425,0.5525,100
11/30/2018 4:10:00 PM,0.54,0.545,0.54,0.5425,543
11/30/2018 4:09:00 PM,0.5325,0.54,0.5325,0.54,48
11/30/2018 4:08:00 PM,0.5325,0.5325,0.5325,0.5325,0
11/30/2018 4:07:00 PM,0.53,0.5325,0.53,0.5325,111
11/30/2018 4:06:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 4:05:00 PM,0.53,0.53,0.53,0.53,100
11/30/2018 4:04:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 4:03:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 4:02:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 4:01:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 4:00:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 3:59:00 PM,0.5275,0.53,0.5275,0.53,111
11/30/2018 3:58:00 PM,0.525,0.5275,0.5225,0.5275,110
11/30/2018 3:57:00 PM,0.52,0.525,0.52,0.525,275
11/30/2018 3:56:00 PM,0.515,0.515,0.515,0.515,0
11/30/2018 3:55:00 PM,0.515,0.515,0.515,0.515,0
11/30/2018 3:54:00 PM,0.515,0.515,0.515,0.515,0
11/30/2018 3:53:00 PM,0.515,0.515,0.515,0.515,10
11/30/2018 3:52:00 PM,0.51,0.515,0.51,0.515,155
11/30/2018 3:51:00 PM,0.51,0.51,0.51,0.51,5
11/30/2018 3:50:00 PM,0.51,0.51,0.51,0.51,0
11/30/2018 3:49:00 PM,0.51,0.51,0.51,0.51,0
11/30/2018 3:48:00 PM,0.52,0.52,0.5075,0.51,151
11/30/2018 3:47:00 PM,0.52,0.52,0.52,0.52,0
11/30/2018 3:46:00 PM,0.52,0.52,0.52,0.52,0
11/30/2018 3:45:00 PM,0.52,0.52,0.52,0.52,100
11/30/2018 3:44:00 PM,0.52,0.52,0.52,0.52,0
11/30/2018 3:43:00 PM,0.52,0.52,0.52,0.52,0
11/30/2018 3:42:00 PM,0.5275,0.5275,0.52,0.52,1
11/30/2018 3:41:00 PM,0.5275,0.5275,0.5275,0.5275,0
11/30/2018 3:40:00 PM,0.5275,0.5275,0.5275,0.5275,0
11/30/2018 3:39:00 PM,0.5075,0.5275,0.5075,0.5275,370
11/30/2018 3:38:00 PM,0.5075,0.5075,0.5075,0.5075,0
11/30/2018 3:37:00 PM,0.5075,0.5075,0.5075,0.5075,0
11/30/2018 3:36:00 PM,0.5075,0.5075,0.5075,0.5075,0
11/30/2018 3:35:00 PM,0.51,0.51,0.5075,0.5075,10
11/30/2018 3:34:00 PM,0.5025,0.5125,0.5025,0.51,265
11/30/2018 3:33:00 PM,0.5025,0.5025,0.5025,0.5025,0
11/30/2018 3:32:00 PM,0.4975,0.5025,0.4975,0.5025,10
11/30/2018 3:31:00 PM,0.5,0.5,0.4975,0.4975,86
11/30/2018 3:30:00 PM,0.5025,0.5025,0.5,0.5,10
11/30/2018 3:29:00 PM,0.51,0.51,0.5025,0.5025,47
11/30/2018 3:28:00 PM,0.51,0.51,0.51,0.51,260
11/30/2018 3:27:00 PM,0.51,0.51,0.51,0.51,0
11/30/2018 3:26:00 PM,0.5,0.51,0.5,0.51,200
11/30/2018 3:25:00 PM,0.5,0.5,0.5,0.5,0
11/30/2018 3:24:00 PM,0.5,0.5,0.5,0.5,0
11/30/2018 3:23:00 PM,0.5,0.5,0.5,0.5,0
11/30/2018 3:22:00 PM,0.5,0.5,0.5,0.5,0
11/30/2018 3:21:00 PM,0.5,0.5,0.5,0.5,7
11/30/2018 3:20:00 PM,0.4975,0.5,0.4975,0.5,10
11/30/2018 3:19:00 PM,0.4975,0.4975,0.4975,0.4975,0
11/30/2018 3:18:00 PM,0.4975,0.4975,0.4975,0.4975,0
11/30/2018 3:17:00 PM,0.4975,0.4975,0.4975,0.4975,0
11/30/2018 3:16:00 PM,0.4975,0.4975,0.4975,0.4975,0
11/30/2018 3:15:00 PM,0.4975,0.4975,0.4975,0.4975,0
11/30/2018 3:14:00 PM,0.4925,0.4975,0.4925,0.4975,39
11/30/2018 3:13:00 PM,0.485,0.4925,0.485,0.4925,7
11/30/2018 3:12:00 PM,0.4875,0.4875,0.485,0.485,10
11/30/2018 3:11:00 PM,0.4825,0.4875,0.4825,0.4875,45
11/30/2018 3:10:00 PM,0.4825,0.4825,0.4825,0.4825,0
11/30/2018 3:09:00 PM,0.485,0.485,0.4825,0.4825,15
11/30/2018 3:08:00 PM,0.485,0.485,0.485,0.485,0
11/30/2018 3:07:00 PM,0.485,0.485,0.485,0.485,0
11/30/2018 3:06:00 PM,0.485,0.485,0.485,0.485,0
11/30/2018 3:05:00 PM,0.485,0.485,0.485,0.485,0
11/30/2018 3:04:00 PM,0.485,0.485,0.485,0.485,0
11/30/2018 3:03:00 PM,0.485,0.485,0.485,0.485,0
11/30/2018 3:02:00 PM,0.485,0.485,0.485,0.485,40
11/30/2018 3:01:00 PM,0.485,0.485,0.485,0.485,0
11/30/2018 3:00:00 PM,0.485,0.485,0.485,0.485,0
11/30/2018 2:59:00 PM,0.48,0.485,0.48,0.485,180
11/30/2018 2:58:00 PM,0.475,0.48,0.475,0.48,132
11/30/2018 2:57:00 PM,0.47,0.475,0.47,0.475,22
11/30/2018 2:56:00 PM,0.4725,0.4725,0.47,0.47,193
11/30/2018 2:55:00 PM,0.48,0.48,0.4725,0.4725,106
11/30/2018 2:54:00 PM,0.48,0.48,0.48,0.48,0
11/30/2018 2:53:00 PM,0.485,0.485,0.48,0.48,36
11/30/2018 2:52:00 PM,0.485,0.485,0.485,0.485,55
11/30/2018 2:51:00 PM,0.4825,0.485,0.4825,0.485,34
11/30/2018 2:50:00 PM,0.4825,0.4825,0.4825,0.4825,0
11/30/2018 2:49:00 PM,0.4825,0.4825,0.48,0.4825,52
11/30/2018 2:48:00 PM,0.49,0.49,0.48,0.4825,369
11/30/2018 2:47:00 PM,0.5025,0.5025,0.49,0.49,117
11/30/2018 2:46:00 PM,0.52,0.52,0.5025,0.5025,25
11/30/2018 2:45:00 PM,0.52,0.52,0.52,0.52,0
11/30/2018 2:44:00 PM,0.52,0.52,0.52,0.52,0
11/30/2018 2:43:00 PM,0.52,0.52,0.52,0.52,0
11/30/2018 2:42:00 PM,0.52,0.52,0.52,0.52,0
11/30/2018 2:41:00 PM,0.5175,0.52,0.5175,0.52,50
11/30/2018 2:40:00 PM,0.5175,0.5175,0.5175,0.5175,0
11/30/2018 2:39:00 PM,0.53,0.53,0.515,0.5175,71
11/30/2018 2:38:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 2:37:00 PM,0.53,0.53,0.53,0.53,10
11/30/2018 2:36:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 2:35:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 2:34:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 2:33:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 2:32:00 PM,0.53,0.53,0.53,0.53,0
11/30/2018 2:31:00 PM,0.5275,0.53,0.525,0.53,13
11/30/2018 2:30:00 PM,0.5425,0.5425,0.5275,0.5275,9
11/30/2018 2:29:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:28:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:27:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:26:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:25:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:24:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:23:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:22:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:21:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:20:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:19:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:18:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:17:00 PM,0.5425,0.5425,0.5425,0.5425,0
11/30/2018 2:16:00 PM,0.5375,0.5425,0.5375,0.5425,300
11/30/2018 2:15:00 PM,0.5375,0.5375,0.5375,0.5375,0
11/30/2018 2:14:00 PM,0.5375,0.5375,0.5375,0.5375,0
11/30/2018 2:13:00 PM,0.545,0.545,0.5375,0.5375,25
11/30/2018 2:12:00 PM,0.545,0.545,0.545,0.545,3
11/30/2018 2:11:00 PM,0.5325,0.545,0.5325,0.545,208
11/30/2018 2:10:00 PM,0.5325,0.5325,0.5325,0.5325,0
11/30/2018 2:09:00 PM,0.5325,0.5325,0.5325,0.5325,0
11/30/2018 2:08:00 PM,0.5325,0.5325,0.5325,0.5325,0
11/30/2018 2:07:00 PM,0.5325,0.5325,0.5325,0.5325,0
11/30/2018 2:06:00 PM,0.53,0.5325,0.53,0.5325,19
11/30/2018 2:05:00 PM,0.5325,0.5325,0.53,0.53,1
11/30/2018 2:04:00 PM,0.5325,0.5325,0.5325,0.5325,291
11/30/2018 2:03:00 PM,0.5325,0.5325,0.5325,0.5325,0
