Date,BANKNIFTY06DEC1827000PE O,BANKNIFTY06DEC1827000PE H,BANKNIFTY06DEC1827000PE L,BANKNIFTY06DEC1827000PE C,BANKNIFTY06DEC1827000PE V
11/30/2018 3:29:00 PM,288.5,289.7,286.2,287,5620
11/30/2018 3:28:00 PM,290,290.25,285,288.5,6300
11/30/2018 3:27:00 PM,291.15,291.45,288.6,289.25,5700
11/30/2018 3:26:00 PM,289.5,290.5,288.6,289.7,15060
11/30/2018 3:25:00 PM,288,290,286.1,289.15,5060
11/30/2018 3:24:00 PM,289.95,289.95,285.85,288,1800
11/30/2018 3:23:00 PM,284.4,289.95,282.9,289.95,3760
11/30/2018 3:22:00 PM,285.3,287.7,283.8,284.4,2720
11/30/2018 3:21:00 PM,287.3,287.85,283.75,285.3,2000
11/30/2018 3:20:00 PM,288.15,290.05,285.05,287.3,4240
11/30/2018 3:19:00 PM,290,291,286.25,288.15,2320
11/30/2018 3:18:00 PM,289.15,290.15,287,290,2020
11/30/2018 3:17:00 PM,286.95,289.85,283.9,288.35,2760
11/30/2018 3:16:00 PM,292.8,293.65,286.95,286.95,6100
11/30/2018 3:15:00 PM,292,295,289.75,292.8,5960
11/30/2018 3:14:00 PM,286.85,291.5,286,291.5,3700
11/30/2018 3:13:00 PM,289.5,291,286.5,286.85,2040
11/30/2018 3:12:00 PM,287.15,291.2,287.15,289.5,680
11/30/2018 3:11:00 PM,290.9,290.9,284.15,287.15,820
11/30/2018 3:10:00 PM,294.25,294.35,289.25,290.9,2860
11/30/2018 3:09:00 PM,283.3,292.6,283.2,292.6,3320
11/30/2018 3:08:00 PM,280.8,283.75,277,283.75,3640
11/30/2018 3:07:00 PM,288.8,288.8,280.65,280.8,920
11/30/2018 3:06:00 PM,285,290,285,288.8,980
11/30/2018 3:05:00 PM,288.1,290.55,285,285,2200
11/30/2018 3:04:00 PM,278.5,288,278.5,287.95,4080
11/30/2018 3:03:00 PM,282.05,284.5,276.15,277.6,2020
11/30/2018 3:02:00 PM,280,285,280,282.05,2140
11/30/2018 3:01:00 PM,280.9,283.2,278.75,280,4020
11/30/2018 3:00:00 PM,288,289.35,277.55,279.65,6980
11/30/2018 2:59:00 PM,298.95,298.95,288,288,2940
11/30/2018 2:58:00 PM,295,298.95,291.05,298.95,5740
11/30/2018 2:57:00 PM,294.45,296.5,291.65,295,2820
11/30/2018 2:56:00 PM,299.05,300,296.5,296.5,1780
11/30/2018 2:55:00 PM,297,299.05,292,299.05,2760
11/30/2018 2:54:00 PM,301.75,303.6,297,297,1980
11/30/2018 2:53:00 PM,291.4,303.9,291.4,302.5,6360
11/30/2018 2:52:00 PM,287.95,293,287.15,291.4,4600
11/30/2018 2:51:00 PM,276.6,287.4,276.6,287.4,2360
11/30/2018 2:50:00 PM,282,283.15,275.2,276.6,4440
11/30/2018 2:49:00 PM,280.5,282,275.2,282,2860
11/30/2018 2:48:00 PM,275.5,281.45,275.5,280.5,1800
11/30/2018 2:47:00 PM,283.3,283.3,273.4,277.2,2260
11/30/2018 2:46:00 PM,285.85,291.65,283.3,283.3,2120
11/30/2018 2:45:00 PM,276.55,285.85,276.5,285.85,1900
11/30/2018 2:44:00 PM,281.55,283.75,273.15,276.55,4560
11/30/2018 2:43:00 PM,282.8,285.35,281.55,281.55,1820
11/30/2018 2:42:00 PM,275.05,284.85,275,282.8,5160
11/30/2018 2:41:00 PM,275,277.25,273,275.05,3540
11/30/2018 2:40:00 PM,276.65,277.25,262.85,275,9300
11/30/2018 2:39:00 PM,299.05,300.25,277.3,278.9,13620
11/30/2018 2:38:00 PM,300.7,303,298.65,302.45,360
11/30/2018 2:37:00 PM,301.4,302.5,298.25,300.15,620
11/30/2018 2:36:00 PM,295.15,302.1,294.7,301.4,6260
11/30/2018 2:35:00 PM,313,313.2,292.8,295.7,10400
11/30/2018 2:34:00 PM,317.6,317.6,313,313,3120
11/30/2018 2:33:00 PM,313,319.95,313,317.6,1140
11/30/2018 2:32:00 PM,318.2,318.4,310.15,313,1640
11/30/2018 2:31:00 PM,327.3,329.6,318.2,318.2,1360
