Date,BANKNIFTY06DEC1827000CE O,BANKNIFTY06DEC1827000CE H,BANKNIFTY06DEC1827000CE L,BANKNIFTY06DEC1827000CE C,BANKNIFTY06DEC1827000CE V
11/30/2018 3:29:00 PM,141,142,140,140,33300
11/30/2018 3:28:00 PM,144.05,144.7,140.95,140.95,22900
11/30/2018 3:27:00 PM,143.3,144.8,143.05,143.75,26740
11/30/2018 3:26:00 PM,142.55,144.3,141.75,143.85,31040
11/30/2018 3:25:00 PM,146.25,146.9,142.2,142.2,31620
11/30/2018 3:24:00 PM,145.65,146.85,144.85,146.5,17160
11/30/2018 3:23:00 PM,149.35,149.85,145.6,145.65,34020
11/30/2018 3:22:00 PM,149.2,151,149.15,149.4,18100
11/30/2018 3:21:00 PM,149.45,151.2,149.1,149.75,14260
11/30/2018 3:20:00 PM,149.05,150.2,146.45,150,34540
11/30/2018 3:19:00 PM,146.55,149.5,146.55,149.1,18920
11/30/2018 3:18:00 PM,147.25,148.8,146.3,146.9,18500
11/30/2018 3:17:00 PM,148.35,150,146.6,147.2,22960
11/30/2018 3:16:00 PM,144.25,148.95,143.6,148,27360
11/30/2018 3:15:00 PM,143.2,145,141.2,144.1,29160
11/30/2018 3:14:00 PM,147,147.6,143.5,144.1,16380
11/30/2018 3:13:00 PM,146.5,147.45,144.2,147,13000
11/30/2018 3:12:00 PM,147,147.25,142.35,146.45,19340
11/30/2018 3:11:00 PM,146.95,148.5,145.15,147.5,17220
11/30/2018 3:10:00 PM,142.8,147.45,142.45,146.5,24100
11/30/2018 3:09:00 PM,152.05,152.5,143,143,27160
11/30/2018 3:08:00 PM,153.3,156.55,151.95,151.95,33560
11/30/2018 3:07:00 PM,150.6,154.75,150.6,154,14980
11/30/2018 3:06:00 PM,152.4,152.4,148.4,150.9,13160
11/30/2018 3:05:00 PM,150.7,152.3,150,152,14400
11/30/2018 3:04:00 PM,156.8,157.15,150,150.5,23980
11/30/2018 3:03:00 PM,153.95,158.1,152.65,156.8,21240
11/30/2018 3:02:00 PM,153.3,155.15,151.55,154.1,16420
11/30/2018 3:01:00 PM,153,156.3,151.8,155,21580
11/30/2018 3:00:00 PM,150.7,156.6,148,153.55,31940
