Date,YESBANK18DEC160CE O,YESBANK18DEC160CE H,YESBANK18DEC160CE L,YESBANK18DEC160CE C,YESBANK18DEC160CE V
11/30/2018 3:29:00 PM,22.8,22.9,22.8,22.9,19250
11/30/2018 3:28:00 PM,22.65,22.85,22.65,22.8,3500
11/30/2018 3:27:00 PM,22.8,22.8,22.65,22.65,1750
11/30/2018 3:26:00 PM,23,23,22.8,22.8,3500
11/30/2018 3:25:00 PM,23.15,23.15,23,23,1750
11/30/2018 3:24:00 PM,23.05,23.15,23,23.15,3500
11/30/2018 3:23:00 PM,23,23.2,23,23.05,21000
11/30/2018 3:22:00 PM,22.95,23.1,22.9,23,12250
11/30/2018 3:21:00 PM,23,23,22.95,22.95,3500
11/30/2018 3:20:00 PM,22.9,23,22.9,23,8750
11/30/2018 3:19:00 PM,22.4,22.9,22.4,22.9,3500
11/30/2018 3:18:00 PM,22.6,22.6,22.4,22.4,1750
11/30/2018 3:17:00 PM,22.6,22.6,22.6,22.6,0
11/30/2018 3:16:00 PM,22.4,22.6,22.4,22.6,10500
11/30/2018 3:15:00 PM,22.45,22.45,22.4,22.4,1750
11/30/2018 3:14:00 PM,22.45,22.45,22.45,22.45,0
11/30/2018 3:13:00 PM,22.25,22.5,22.25,22.45,3500
11/30/2018 3:12:00 PM,22.25,22.25,22.25,22.25,0
11/30/2018 3:11:00 PM,22.2,22.25,22.2,22.25,1750
11/30/2018 3:10:00 PM,22.25,22.25,22.2,22.2,5250
11/30/2018 3:09:00 PM,22.4,22.6,22.25,22.25,14000
11/30/2018 3:08:00 PM,22.4,22.4,22.4,22.4,0
11/30/2018 3:07:00 PM,22.3,22.4,22.3,22.4,12250
11/30/2018 3:06:00 PM,22.25,22.3,22.25,22.3,7000
11/30/2018 3:05:00 PM,22.2,22.2,22.2,22.2,0
11/30/2018 3:04:00 PM,22.3,22.3,22.2,22.2,1750
11/30/2018 3:03:00 PM,22.3,22.3,22.3,22.3,0
11/30/2018 3:02:00 PM,22.45,22.45,22.3,22.3,1750
