Date,YESBANK18DEC165CE O,YESBANK18DEC165CE H,YESBANK18DEC165CE L,YESBANK18DEC165CE C,YESBANK18DEC165CE V
11/30/2018 3:29:00 PM,20,20.1,20,20.05,10500
11/30/2018 3:28:00 PM,20,20,20,20,1750
11/30/2018 3:27:00 PM,20.1,20.1,20,20,3500
11/30/2018 3:26:00 PM,20.15,20.15,20.1,20.1,3500
11/30/2018 3:25:00 PM,20.25,20.25,20.15,20.15,5250
11/30/2018 3:24:00 PM,20.25,20.3,20.25,20.3,5250
11/30/2018 3:23:00 PM,20.25,20.4,20.25,20.25,17500
11/30/2018 3:22:00 PM,20,20.1,20,20.1,3500
11/30/2018 3:21:00 PM,20,20,20,20,0
11/30/2018 3:20:00 PM,20,20,20,20,0
11/30/2018 3:19:00 PM,19.9,20,19.9,20,14000
11/30/2018 3:18:00 PM,19.8,19.9,19.7,19.9,3500
11/30/2018 3:17:00 PM,19.9,19.9,19.8,19.8,1750
11/30/2018 3:16:00 PM,19.65,19.9,19.65,19.9,1750
11/30/2018 3:15:00 PM,19.65,19.65,19.65,19.65,0
11/30/2018 3:14:00 PM,19.65,19.65,19.65,19.65,0
11/30/2018 3:13:00 PM,19.65,19.65,19.65,19.65,0
11/30/2018 3:12:00 PM,19.55,19.65,19.55,19.65,1750
11/30/2018 3:11:00 PM,19.55,19.55,19.55,19.55,0
11/30/2018 3:10:00 PM,19.55,19.55,19.55,19.55,0
11/30/2018 3:09:00 PM,19.95,19.95,19.55,19.55,7000
11/30/2018 3:08:00 PM,19.9,19.95,19.9,19.95,7000
11/30/2018 3:07:00 PM,19.45,19.9,19.45,19.9,3500
11/30/2018 3:06:00 PM,19.45,19.45,19.45,19.45,0
11/30/2018 3:05:00 PM,19.45,19.45,19.45,19.45,0
11/30/2018 3:04:00 PM,19.6,19.6,19.45,19.45,12250
11/30/2018 3:03:00 PM,19.6,19.6,19.6,19.6,0
11/30/2018 3:02:00 PM,19.8,19.8,19.6,19.6,1750
11/30/2018 3:01:00 PM,19.8,19.8,19.8,19.8,1750
11/30/2018 3:00:00 PM,19.5,19.8,19.5,19.8,1750
11/30/2018 2:59:00 PM,19.55,19.55,19.5,19.5,1750
11/30/2018 2:58:00 PM,19.55,19.55,19.55,19.55,0
11/30/2018 2:57:00 PM,19.65,19.65,19.55,19.55,1750
11/30/2018 2:56:00 PM,19.65,19.65,19.65,19.65,0
11/30/2018 2:55:00 PM,19,19.65,19,19.65,3500
11/30/2018 2:54:00 PM,19,19,19,19,0
11/30/2018 2:53:00 PM,19.4,19.4,19,19,1750
11/30/2018 2:52:00 PM,19.5,19.5,19.35,19.4,5250
11/30/2018 2:51:00 PM,19.5,19.5,19.5,19.5,1750
11/30/2018 2:50:00 PM,19.5,19.5,19.5,19.5,0
11/30/2018 2:49:00 PM,19.7,19.7,19.5,19.5,1750
11/30/2018 2:48:00 PM,20.05,20.05,19.55,19.7,10500
11/30/2018 2:47:00 PM,20.05,20.05,20.05,20.05,1750
11/30/2018 2:46:00 PM,19.75,20.05,19.75,20.05,5250
11/30/2018 2:45:00 PM,20.05,20.05,19.75,19.75,3500
11/30/2018 2:44:00 PM,20.05,20.05,20.05,20.05,0
11/30/2018 2:43:00 PM,20.25,20.3,20.05,20.05,19250
11/30/2018 2:42:00 PM,20.25,20.55,20.25,20.25,10500
11/30/2018 2:41:00 PM,20.15,20.25,20.15,20.25,1750
11/30/2018 2:40:00 PM,20,20.2,19.95,20.15,10500
11/30/2018 2:39:00 PM,19.75,20,19.75,20,1750
11/30/2018 2:38:00 PM,19.5,19.75,19.45,19.75,3500
11/30/2018 2:37:00 PM,19.35,19.5,19.35,19.5,1750
11/30/2018 2:36:00 PM,19.1,19.5,19.1,19.35,7000
11/30/2018 2:35:00 PM,18.75,19.1,18.75,19.1,1750
11/30/2018 2:34:00 PM,18.75,18.75,18.75,18.75,0
11/30/2018 2:33:00 PM,18.75,18.75,18.75,18.75,0
11/30/2018 2:32:00 PM,18.75,18.75,18.75,18.75,5250
11/30/2018 2:31:00 PM,18.75,18.75,18.75,18.75,0
11/30/2018 2:30:00 PM,18.75,18.75,18.75,18.75,0
11/30/2018 2:29:00 PM,18.8,18.8,18.75,18.75,1750
11/30/2018 2:28:00 PM,18.8,18.8,18.8,18.8,0
11/30/2018 2:27:00 PM,18.8,18.8,18.8,18.8,0
11/30/2018 2:26:00 PM,18.8,18.8,18.8,18.8,0
11/30/2018 2:25:00 PM,18.6,18.8,18.6,18.8,3500
11/30/2018 2:24:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:23:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:22:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:21:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:20:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:19:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:18:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:17:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:16:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:15:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:14:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:13:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:12:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:11:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:10:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:09:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:08:00 PM,18.6,18.6,18.6,18.6,0
11/30/2018 2:07:00 PM,18.7,18.7,18.6,18.6,3500
11/30/2018 2:06:00 PM,18.7,18.7,18.7,18.7,0
11/30/2018 2:05:00 PM,18.7,18.7,18.7,18.7,3500
11/30/2018 2:04:00 PM,18.95,18.95,18.95,18.95,0
11/30/2018 2:03:00 PM,18.95,18.95,18.95,18.95,0
11/30/2018 2:02:00 PM,18.5,18.95,18.5,18.95,7000
11/30/2018 2:01:00 PM,18.5,18.5,18.5,18.5,0
11/30/2018 2:00:00 PM,18.75,18.75,18.3,18.5,21000
11/30/2018 1:59:00 PM,18.85,18.85,18.75,18.75,1750
11/30/2018 1:58:00 PM,18.95,18.95,18.85,18.85,1750
11/30/2018 1:57:00 PM,18.95,18.95,18.95,18.95,0
11/30/2018 1:56:00 PM,18.95,18.95,18.95,18.95,0
11/30/2018 1:55:00 PM,18.95,18.95,18.95,18.95,0
11/30/2018 1:54:00 PM,18.95,18.95,18.95,18.95,0
11/30/2018 1:53:00 PM,18.95,18.95,18.95,18.95,0
11/30/2018 1:52:00 PM,19.15,19.15,18.95,18.95,3500
11/30/2018 1:51:00 PM,19.3,19.3,19.15,19.15,1750
11/30/2018 1:50:00 PM,19.3,19.3,19.3,19.3,0
11/30/2018 1:49:00 PM,19.4,19.4,19.3,19.3,1750
11/30/2018 1:48:00 PM,19.35,19.4,19.35,19.4,5250
11/30/2018 1:47:00 PM,19.15,19.15,19.15,19.15,0
11/30/2018 1:46:00 PM,18.75,19.2,18.75,19.15,5250
11/30/2018 1:45:00 PM,18.75,18.75,18.75,18.75,0
11/30/2018 1:44:00 PM,18.75,18.75,18.75,18.75,0
11/30/2018 1:43:00 PM,18.75,18.75,18.75,18.75,0
11/30/2018 1:42:00 PM,18.75,18.75,18.75,18.75,0
11/30/2018 1:41:00 PM,18.7,18.75,18.7,18.75,1750
11/30/2018 1:40:00 PM,18.7,18.7,18.7,18.7,0
11/30/2018 1:39:00 PM,18.9,18.9,18.7,18.7,5250
11/30/2018 1:38:00 PM,19.05,19.2,19,19,3500
11/30/2018 1:37:00 PM,19.05,19.05,19.05,19.05,0
11/30/2018 1:36:00 PM,19.05,19.05,19.05,19.05,0
11/30/2018 1:35:00 PM,19.05,19.05,19.05,19.05,0
11/30/2018 1:34:00 PM,19,19.05,19,19.05,3500
11/30/2018 1:33:00 PM,19,19,19,19,0
11/30/2018 1:32:00 PM,19,19,19,19,0
11/30/2018 1:31:00 PM,19.35,19.35,19,19,3500
11/30/2018 1:30:00 PM,19.35,19.35,19.35,19.35,0
11/30/2018 1:29:00 PM,19.35,19.35,19.35,19.35,0
11/30/2018 1:28:00 PM,19.25,19.4,19.25,19.35,3500
11/30/2018 1:27:00 PM,19.6,19.6,19.25,19.25,1750
11/30/2018 1:26:00 PM,19.6,19.6,19.6,19.6,0
11/30/2018 1:25:00 PM,19.6,19.6,19.6,19.6,0
11/30/2018 1:24:00 PM,19.55,19.6,19.55,19.6,1750
11/30/2018 1:23:00 PM,19.55,19.55,19.55,19.55,0
11/30/2018 1:22:00 PM,19.5,19.55,19.5,19.55,3500
11/30/2018 1:21:00 PM,19.5,19.5,19.5,19.5,0
11/30/2018 1:20:00 PM,19.5,19.5,19.5,19.5,0
11/30/2018 1:19:00 PM,19.45,19.5,19.45,19.5,1750
11/30/2018 1:18:00 PM,19.45,19.45,19.45,19.45,0
11/30/2018 1:17:00 PM,19.45,19.45,19.45,19.45,0
11/30/2018 1:16:00 PM,19.45,19.45,19.45,19.45,1750
11/30/2018 1:15:00 PM,19.25,19.5,19.25,19.45,3500
11/30/2018 1:14:00 PM,19.6,19.6,19.15,19.25,24500
11/30/2018 1:13:00 PM,19.6,19.6,19.55,19.6,3500
11/30/2018 1:12:00 PM,19.6,19.6,19.6,19.6,0
11/30/2018 1:11:00 PM,19.7,19.7,19.6,19.6,1750
11/30/2018 1:10:00 PM,19.7,19.7,19.7,19.7,0
11/30/2018 1:09:00 PM,19.55,19.7,19.5,19.7,3500
11/30/2018 1:08:00 PM,19.4,19.55,19.4,19.55,1750
11/30/2018 1:07:00 PM,19.4,19.4,19.4,19.4,0
11/30/2018 1:06:00 PM,19.35,19.4,19.35,19.4,1750
11/30/2018 1:05:00 PM,19.35,19.5,19.35,19.35,5250
11/30/2018 1:04:00 PM,19.4,19.4,19.35,19.35,10500
11/30/2018 1:03:00 PM,19.45,19.45,19.4,19.4,1750
11/30/2018 1:02:00 PM,19.7,19.7,19.4,19.45,3500
11/30/2018 1:01:00 PM,19.7,19.7,19.7,19.7,0
11/30/2018 1:00:00 PM,19.7,19.7,19.7,19.7,0
11/30/2018 12:59:00 PM,19.35,19.7,19.35,19.7,1750
11/30/2018 12:58:00 PM,19.35,19.35,19.35,19.35,0
11/30/2018 12:57:00 PM,19.35,19.35,19.35,19.35,0
11/30/2018 12:56:00 PM,19.55,19.55,19.35,19.35,1750
11/30/2018 12:55:00 PM,19.55,19.6,19.55,19.55,3500
11/30/2018 12:54:00 PM,19.25,19.55,19.25,19.55,1750
11/30/2018 12:53:00 PM,19.5,19.5,19.25,19.25,1750
11/30/2018 12:52:00 PM,19.55,19.55,19.5,19.5,1750
11/30/2018 12:51:00 PM,19.9,19.9,19.55,19.55,3500
11/30/2018 12:50:00 PM,19.9,19.9,19.9,19.9,0
11/30/2018 12:49:00 PM,19.65,19.9,19.65,19.9,1750
11/30/2018 12:48:00 PM,19.65,19.65,19.65,19.65,0
11/30/2018 12:47:00 PM,19.65,19.65,19.65,19.65,0
11/30/2018 12:46:00 PM,19.8,19.8,19.65,19.65,7000
11/30/2018 12:45:00 PM,20.1,20.1,19.8,19.8,3500
11/30/2018 12:44:00 PM,20.1,20.1,20.1,20.1,0
11/30/2018 12:43:00 PM,20.25,20.25,20.1,20.1,1750
11/30/2018 12:42:00 PM,20.25,20.25,20.25,20.25,1750
11/30/2018 12:41:00 PM,20,20.25,20,20.25,5250
11/30/2018 12:40:00 PM,19.95,20,19.95,20,1750
11/30/2018 12:39:00 PM,19.65,20,19.65,19.95,22750
11/30/2018 12:38:00 PM,19.9,19.9,19.55,19.65,8750
11/30/2018 12:37:00 PM,20,20,19.9,19.9,1750
11/30/2018 12:36:00 PM,20.1,20.1,20,20,3500
11/30/2018 12:35:00 PM,20.1,20.1,20.1,20.1,0
11/30/2018 12:34:00 PM,19.45,20.55,19.45,20.1,42000
11/30/2018 12:33:00 PM,19.35,19.55,19.35,19.45,3500
11/30/2018 12:32:00 PM,19.35,19.35,19.35,19.35,0
11/30/2018 12:31:00 PM,19.4,19.4,19.35,19.35,1750
11/30/2018 12:30:00 PM,19.4,19.4,19.4,19.4,0
11/30/2018 12:29:00 PM,19.4,19.4,19.4,19.4,0
11/30/2018 12:28:00 PM,19.55,19.55,19.4,19.4,1750
11/30/2018 12:27:00 PM,19.35,19.55,19.35,19.55,1750
11/30/2018 12:26:00 PM,19.35,19.35,19.35,19.35,0
11/30/2018 12:25:00 PM,19.35,19.35,19.35,19.35,0
11/30/2018 12:24:00 PM,19.35,19.35,19.35,19.35,0
11/30/2018 12:23:00 PM,19.35,19.35,19.35,19.35,0
11/30/2018 12:22:00 PM,19.35,19.35,19.35,19.35,0
11/30/2018 12:21:00 PM,19.05,19.35,19.05,19.35,1750
11/30/2018 12:20:00 PM,19.05,19.05,19.05,19.05,0
11/30/2018 12:19:00 PM,19.05,19.05,19.05,19.05,0
11/30/2018 12:18:00 PM,19.15,19.15,19.05,19.05,1750
11/30/2018 12:17:00 PM,19.15,19.15,19.15,19.15,0
11/30/2018 12:16:00 PM,19.35,19.35,19.15,19.15,1750
11/30/2018 12:15:00 PM,19.35,19.35,19.35,19.35,0
11/30/2018 12:14:00 PM,19.35,19.35,19.35,19.35,0
