Date,BANKNIFTY06DEC1827300CE O,BANKNIFTY06DEC1827300CE H,BANKNIFTY06DEC1827300CE L,BANKNIFTY06DEC1827300CE C,BANKNIFTY06DEC1827300CE V
11/30/2018 3:29:00 PM,57.85,58,56.95,57.95,24080
11/30/2018 3:28:00 PM,58.75,59.45,57.4,57.8,24180
11/30/2018 3:27:00 PM,58.8,59,58.2,59,21660
11/30/2018 3:26:00 PM,58.35,59.15,58,58.8,18000
11/30/2018 3:25:00 PM,59.9,60.4,58.35,58.5,14400
11/30/2018 3:24:00 PM,60,60.75,59.35,60.2,13680
11/30/2018 3:23:00 PM,62.5,62.55,60,60,20020
11/30/2018 3:22:00 PM,62.4,63,62.15,62.4,10060
11/30/2018 3:21:00 PM,62.15,62.95,61.9,62.4,15500
11/30/2018 3:20:00 PM,62.25,62.55,61.1,62.25,19700
11/30/2018 3:19:00 PM,60.95,62.75,60.65,62.6,14560
11/30/2018 3:18:00 PM,61.1,61.75,60.75,61.1,11880
11/30/2018 3:17:00 PM,61.5,62.45,60.5,61.1,16600
11/30/2018 3:16:00 PM,59.3,61.85,59.3,61.65,21640
11/30/2018 3:15:00 PM,59.2,60,58.45,59.25,23520
11/30/2018 3:14:00 PM,61,61.05,59.35,59.35,6860
11/30/2018 3:13:00 PM,60.55,61,59.65,61,9420
11/30/2018 3:12:00 PM,61.15,61.3,58.6,60.65,18920
11/30/2018 3:11:00 PM,60.55,62.25,60.4,61.25,14520
11/30/2018 3:10:00 PM,58.85,61.5,58.8,61.15,16320
11/30/2018 3:09:00 PM,64.45,64.6,58.95,58.95,18580
11/30/2018 3:08:00 PM,65.45,66.9,64.65,64.85,13560
11/30/2018 3:07:00 PM,63.95,65.9,63.95,65.4,10380
11/30/2018 3:06:00 PM,64.55,64.55,62.75,63.65,9780
11/30/2018 3:05:00 PM,64.05,64.95,63.5,64.45,5960
11/30/2018 3:04:00 PM,66.9,66.9,63.4,64.2,11800
11/30/2018 3:03:00 PM,65.95,67.75,65.15,66.9,8940
11/30/2018 3:02:00 PM,66,66.15,64.7,66,15080
11/30/2018 3:01:00 PM,65.65,67.3,65.15,66.7,16080
11/30/2018 3:00:00 PM,64.15,67,62.75,65.9,19620
11/30/2018 2:59:00 PM,61.15,64.15,61.15,64.15,9060
11/30/2018 2:58:00 PM,63.5,63.5,60.55,60.55,9720
11/30/2018 2:57:00 PM,63.5,64.25,62.15,63.5,18080
11/30/2018 2:56:00 PM,62.8,63.25,61.4,62.3,6840
11/30/2018 2:55:00 PM,63,64.7,61.95,62.5,16820
11/30/2018 2:54:00 PM,61.55,63.35,60.9,63.35,12600
11/30/2018 2:53:00 PM,64.3,64.75,60.25,61.5,22980
11/30/2018 2:52:00 PM,65.3,65.3,62.9,64.3,20660
11/30/2018 2:51:00 PM,67.75,68.2,65,65.3,12960
11/30/2018 2:50:00 PM,66.6,69.3,65.95,67.75,14220
11/30/2018 2:49:00 PM,67,68.95,66.4,66.6,6900
11/30/2018 2:48:00 PM,68.2,68.7,66.5,67,10140
11/30/2018 2:47:00 PM,66.35,70.1,66.35,68.75,21880
11/30/2018 2:46:00 PM,64.45,66.9,63.4,66.35,13240
11/30/2018 2:45:00 PM,70.4,70.4,64.4,64.4,17260
11/30/2018 2:44:00 PM,69.05,71.5,68.1,70.4,15000
11/30/2018 2:43:00 PM,68.1,69.05,67.6,69.05,9340
11/30/2018 2:42:00 PM,71.5,71.9,68.1,68.1,23000
11/30/2018 2:41:00 PM,70.75,72.55,70.5,71.5,18700
11/30/2018 2:40:00 PM,71.45,74.7,70.5,71,52720
11/30/2018 2:39:00 PM,64.6,70.55,64.15,69.85,26460
11/30/2018 2:38:00 PM,63.9,65.25,63.55,64.8,9340
11/30/2018 2:37:00 PM,64.15,64.6,63.55,63.9,7880
11/30/2018 2:36:00 PM,65.65,65.65,63.2,64.2,21520
11/30/2018 2:35:00 PM,60.7,65.1,60.25,65.1,35820
11/30/2018 2:34:00 PM,60,61.2,59.5,60.75,6120
11/30/2018 2:33:00 PM,60,60.3,58.85,60,8380
11/30/2018 2:32:00 PM,58.2,61.1,58.2,59.75,11320
11/30/2018 2:31:00 PM,55.5,58.9,55.25,58.05,9520
11/30/2018 2:30:00 PM,54.85,56.35,54.85,56.35,10460
11/30/2018 2:29:00 PM,57.65,58.5,54.6,54.6,11580
11/30/2018 2:28:00 PM,58.1,58.1,56.95,57.65,2400
11/30/2018 2:27:00 PM,56.8,58.5,56.35,58.1,7420
11/30/2018 2:26:00 PM,58.6,59.8,56.05,56.1,14820
11/30/2018 2:25:00 PM,57.05,58.9,57,58.8,10820
11/30/2018 2:24:00 PM,59.75,60.6,57.05,57.05,8920
11/30/2018 2:23:00 PM,60.65,61.75,59.95,59.95,6660
11/30/2018 2:22:00 PM,61.85,61.85,60.6,60.65,2860
11/30/2018 2:21:00 PM,58.75,63,58.6,61.85,15340
11/30/2018 2:20:00 PM,59.15,59.65,57.35,58.55,13760
11/30/2018 2:19:00 PM,58.5,60,58.5,59.3,5900
11/30/2018 2:18:00 PM,61.25,61.6,57.85,58.15,20920
11/30/2018 2:17:00 PM,64.95,64.95,61.95,61.95,6320
11/30/2018 2:16:00 PM,64.15,64.95,64.05,64.95,1480
11/30/2018 2:15:00 PM,64,64.75,63.65,64.15,4100
11/30/2018 2:14:00 PM,64.9,65.25,63.45,64,4860
11/30/2018 2:13:00 PM,64.5,64.95,63,64.9,7480
11/30/2018 2:12:00 PM,66.8,66.95,64.25,64.5,8140
11/30/2018 2:11:00 PM,65,67.05,64.9,66.8,8220
11/30/2018 2:10:00 PM,65.15,65.3,64.15,65,3280
11/30/2018 2:09:00 PM,66.55,67.5,65.2,65.3,17600
11/30/2018 2:08:00 PM,62.85,66.5,62.85,66.5,9700
11/30/2018 2:07:00 PM,61,62.9,60.7,62.85,7680
11/30/2018 2:06:00 PM,62,62.25,59.15,61,14360
11/30/2018 2:05:00 PM,65,65,62.25,62.35,16180
11/30/2018 2:04:00 PM,66,66.4,65,65.1,6700
11/30/2018 2:03:00 PM,65.45,66,64.45,66,4820
11/30/2018 2:02:00 PM,65.3,65.8,64.6,65.45,4900
11/30/2018 2:01:00 PM,64.7,66,64.35,65.3,5280
11/30/2018 2:00:00 PM,66.15,66.15,64.5,64.7,6180
11/30/2018 1:59:00 PM,64.5,66.75,64.5,66.5,4120
11/30/2018 1:58:00 PM,66,66.05,63.5,64.5,10980
11/30/2018 1:57:00 PM,66.25,68,65.3,66,10260
11/30/2018 1:56:00 PM,64.45,67.4,64.45,66.65,10400
11/30/2018 1:55:00 PM,65,65.55,63.95,64.45,7480
11/30/2018 1:54:00 PM,66.45,66.7,64.55,65.4,9460
