Date,BANKNIFTY18DECFUT O,BANKNIFTY18DECFUT H,BANKNIFTY18DECFUT L,BANKNIFTY18DECFUT C,BANKNIFTY18DECFUT V
11/30/2018 3:29:00 PM,26914,26916.95,26911.6,26914,14060
11/30/2018 3:28:00 PM,26914.7,26917.75,26913.8,26915.05,13420
11/30/2018 3:27:00 PM,26909.25,26915,26909.25,26914,13460
11/30/2018 3:26:00 PM,26911.5,26915.05,26909,26915,15060
11/30/2018 3:25:00 PM,26917.05,26919.9,26911.3,26913.5,15100
11/30/2018 3:24:00 PM,26915.95,26919,26911.2,26917.35,7540
11/30/2018 3:23:00 PM,26925.8,26928.8,26915,26915,12780
11/30/2018 3:22:00 PM,26925,26929.25,26922.1,26925.8,6120
11/30/2018 3:21:00 PM,26924,26929,26920.05,26925,10160
11/30/2018 3:20:00 PM,26921.5,26926.7,26915.05,26921.2,14440
11/30/2018 3:19:00 PM,26912.25,26920,26910.8,26920,8960
11/30/2018 3:18:00 PM,26916.5,26918,26912,26914.55,8280
11/30/2018 3:17:00 PM,26919.9,26924.85,26912.9,26915.15,6960
11/30/2018 3:16:00 PM,26912,26920,26905.65,26920,9520
11/30/2018 3:15:00 PM,26911,26912.1,26902.3,26911.75,14360
11/30/2018 3:14:00 PM,26919.7,26920,26911,26911,4800
11/30/2018 3:13:00 PM,26914.65,26919.9,26911,26917.1,2940
11/30/2018 3:12:00 PM,26919.85,26919.85,26910,26915.65,5860
11/30/2018 3:11:00 PM,26915.7,26923.9,26912.75,26919.85,4080
11/30/2018 3:10:00 PM,26905.5,26919.75,26905.3,26915.7,6640
11/30/2018 3:09:00 PM,26928.9,26931.35,26907,26907,9180
11/30/2018 3:08:00 PM,26933.85,26939.45,26925.45,26928.9,6960
11/30/2018 3:07:00 PM,26919.85,26933.85,26919.85,26933.85,6240
11/30/2018 3:06:00 PM,26921.15,26922.5,26915,26920,2120
11/30/2018 3:05:00 PM,26920,26923.3,26915.95,26921.15,3940
11/30/2018 3:04:00 PM,26935,26936.85,26916,26920,5300
11/30/2018 3:03:00 PM,26931.5,26940,26926,26937,6920
11/30/2018 3:02:00 PM,26927,26935,26924.95,26927.35,5100
11/30/2018 3:01:00 PM,26928.85,26936,26925,26930.85,4720
11/30/2018 3:00:00 PM,26918.4,26935.05,26911.4,26930.75,9760
11/30/2018 2:59:00 PM,26901.1,26918,26901.05,26918,4280
11/30/2018 2:58:00 PM,26911.3,26913.65,26900,26901.05,3660
11/30/2018 2:57:00 PM,26907.95,26916,26905,26911.3,4460
11/30/2018 2:56:00 PM,26905.4,26907.9,26900,26907.9,2860
11/30/2018 2:55:00 PM,26907.25,26918.1,26901.95,26905.4,5700
11/30/2018 2:54:00 PM,26896.6,26907.7,26895,26907.7,6860
11/30/2018 2:53:00 PM,26915.1,26915.9,26895.9,26899.9,14940
11/30/2018 2:52:00 PM,26925.8,26925.8,26911.9,26912.65,11660
11/30/2018 2:51:00 PM,26939.7,26939.7,26925.4,26925.4,4280
11/30/2018 2:50:00 PM,26933.55,26944.95,26931.8,26939.7,3560
11/30/2018 2:49:00 PM,26936.75,26946,26933,26933.55,1840
11/30/2018 2:48:00 PM,26941.45,26945.85,26932.55,26936.75,1960
11/30/2018 2:47:00 PM,26930.1,26949.9,26930.1,26941.45,5700
11/30/2018 2:46:00 PM,26926,26934.7,26918,26930.1,6280
11/30/2018 2:45:00 PM,26945.1,26945.1,26926,26926.6,8480
11/30/2018 2:44:00 PM,26933.05,26949.9,26932.5,26945.1,5580
11/30/2018 2:43:00 PM,26935.55,26936.9,26931.15,26935,3540
11/30/2018 2:42:00 PM,26952.55,26952.55,26931.15,26931.15,7600
11/30/2018 2:41:00 PM,26947,26955,26946.95,26952.55,12120
11/30/2018 2:40:00 PM,26945,26970.9,26944.15,26950.05,37820
11/30/2018 2:39:00 PM,26907,26944.45,26905.75,26944.45,21580
11/30/2018 2:38:00 PM,26906.55,26912,26901.55,26907,5660
11/30/2018 2:37:00 PM,26905.5,26910,26902,26906.55,3440
11/30/2018 2:36:00 PM,26919,26919,26900.5,26905.15,6500
11/30/2018 2:35:00 PM,26887.65,26918,26885,26917.05,20080
11/30/2018 2:34:00 PM,26880.75,26890,26879.6,26886.05,2780
11/30/2018 2:33:00 PM,26885.85,26885.85,26875,26880.75,1920
11/30/2018 2:32:00 PM,26873.45,26890,26873.45,26883.95,6680
11/30/2018 2:31:00 PM,26861.15,26876.7,26857.85,26876.7,3680
11/30/2018 2:30:00 PM,26858.9,26864.65,26856,26863,7820
11/30/2018 2:29:00 PM,26869.95,26873.8,26854.05,26854.05,8300
11/30/2018 2:28:00 PM,26875.9,26875.9,26866.05,26870,6940
11/30/2018 2:27:00 PM,26869.9,26877.15,26865.15,26875.9,3740
11/30/2018 2:26:00 PM,26875,26882.85,26863,26869.55,8900
11/30/2018 2:25:00 PM,26870,26875.8,26868.1,26875,6240
11/30/2018 2:24:00 PM,26880,26880.9,26870,26870,3440
11/30/2018 2:23:00 PM,26884.95,26890,26880,26880,3780
