Date,BANKNIFTY06DEC1826700CE O,BANKNIFTY06DEC1826700CE H,BANKNIFTY06DEC1826700CE L,BANKNIFTY06DEC1826700CE C,BANKNIFTY06DEC1826700CE V
11/30/2018 3:29:00 PM,275,281,274.65,281,7540
11/30/2018 3:28:00 PM,282.15,282.3,276.95,276.95,2240
11/30/2018 3:27:00 PM,281.6,282.05,279.05,282.05,2520
11/30/2018 3:26:00 PM,279.35,281.4,277.85,281,4340
11/30/2018 3:25:00 PM,283.65,284.85,279,279.2,4580
11/30/2018 3:24:00 PM,283.65,285.75,282.4,283.65,1960
11/30/2018 3:23:00 PM,289.35,289.75,283.65,283.65,2380
11/30/2018 3:22:00 PM,288.8,290.55,287.4,289.35,1080
11/30/2018 3:21:00 PM,289.15,290.3,287,288.8,1540
11/30/2018 3:20:00 PM,287.55,289.6,284.55,289.15,2520
11/30/2018 3:19:00 PM,282.9,288,282.9,288,1140
11/30/2018 3:18:00 PM,286.4,287.3,283.85,284.45,860
11/30/2018 3:17:00 PM,284.7,289,283.55,286.4,1220
11/30/2018 3:16:00 PM,280.65,286.1,280.05,284.7,2320
11/30/2018 3:15:00 PM,280.5,282.25,277.8,279.8,3280
11/30/2018 3:14:00 PM,283.4,285,280.5,280.5,520
11/30/2018 3:13:00 PM,284.3,284.3,281.3,283.4,300
11/30/2018 3:12:00 PM,285.75,285.75,279.45,284.3,980
11/30/2018 3:11:00 PM,284.15,287.65,282.05,285.75,1120
11/30/2018 3:10:00 PM,277.75,284.15,277,284.15,2860
11/30/2018 3:09:00 PM,291.35,291.55,279.25,279.25,2620
11/30/2018 3:08:00 PM,294.15,298.9,291.35,291.35,840
11/30/2018 3:07:00 PM,287.05,294.55,287.05,294.55,960
11/30/2018 3:06:00 PM,289.45,289.45,285.9,287.05,1040
11/30/2018 3:05:00 PM,286.6,290.25,286.6,289.45,1200
11/30/2018 3:04:00 PM,297.5,297.5,286.6,286.6,2040
11/30/2018 3:03:00 PM,294.75,300,291.65,297.5,780
11/30/2018 3:02:00 PM,296.45,296.45,293.1,294.75,560
11/30/2018 3:01:00 PM,294.65,298,291.75,296.45,3180
11/30/2018 3:00:00 PM,287.55,298,283.85,295.45,2200
11/30/2018 2:59:00 PM,279.1,287.55,277.8,287.55,1000
11/30/2018 2:58:00 PM,283.8,284.1,278.9,279.1,680
11/30/2018 2:57:00 PM,279.75,285.2,277.95,283.8,1380
11/30/2018 2:56:00 PM,278.85,280.25,275,278.55,740
11/30/2018 2:55:00 PM,277.55,285,277.55,278.85,1800
11/30/2018 2:54:00 PM,275.6,279.6,274.8,277.55,2140
11/30/2018 2:53:00 PM,286.9,287.55,273.5,276.7,3220
11/30/2018 2:52:00 PM,291.25,291.25,285,286.9,2780
11/30/2018 2:51:00 PM,301,301.65,290.5,290.5,2420
11/30/2018 2:50:00 PM,297.65,304.6,295.15,301,1040
11/30/2018 2:49:00 PM,298.65,304.05,296,297.65,1220
11/30/2018 2:48:00 PM,304.05,304.05,298.35,298.65,1760
11/30/2018 2:47:00 PM,296.85,307.5,296.85,304.05,2100
11/30/2018 2:46:00 PM,291.75,296.85,287.3,296.85,980
11/30/2018 2:45:00 PM,306.5,306.5,291.75,291.75,2100
11/30/2018 2:44:00 PM,302.05,309.5,298.95,306.5,2160
11/30/2018 2:43:00 PM,300.05,302.05,298.2,302.05,780
11/30/2018 2:42:00 PM,308.55,310.55,300,300.05,1720
11/30/2018 2:41:00 PM,308.3,313.05,306.85,308.55,2000
11/30/2018 2:40:00 PM,305.2,321.4,305.2,308.8,8280
11/30/2018 2:39:00 PM,286.65,305.25,286.25,305.2,5300
11/30/2018 2:38:00 PM,285.5,287.45,284,286.65,740
11/30/2018 2:37:00 PM,283.35,288.05,283.35,285.5,1160
11/30/2018 2:36:00 PM,289,289.8,283.35,283.35,1800
11/30/2018 2:35:00 PM,275,290.3,274.95,287.55,3460
11/30/2018 2:34:00 PM,271.25,275,270.1,275,60
11/30/2018 2:33:00 PM,272.65,274.9,268.65,271.25,780
11/30/2018 2:32:00 PM,266.95,275.6,266.95,272.65,4260
11/30/2018 2:31:00 PM,259.35,268,256.55,266.95,4060
11/30/2018 2:30:00 PM,255.7,261.4,255.7,256.7,7140
11/30/2018 2:29:00 PM,264,267.55,255.7,255.7,3280
11/30/2018 2:28:00 PM,265.95,266.55,263.7,264,2980
11/30/2018 2:27:00 PM,261.95,268.15,261.95,266.9,2620
11/30/2018 2:26:00 PM,266.4,273.55,261.95,261.95,3280
11/30/2018 2:25:00 PM,266.1,269.65,265.35,266.4,1580
11/30/2018 2:24:00 PM,273.4,273.4,266.1,266.1,1000
11/30/2018 2:23:00 PM,275.05,277.75,273.4,273.4,520
11/30/2018 2:22:00 PM,276.15,278,274.55,275.05,2220
11/30/2018 2:21:00 PM,268.45,282.55,268.45,276.15,1760
11/30/2018 2:20:00 PM,271.6,273.05,265.65,268.45,1840
