Date,USDINR18DEC69CE O,USDINR18DEC69CE H,USDINR18DEC69CE L,USDINR18DEC69CE C,USDINR18DEC69CE V
11/30/2018 4:59:00 PM,1.095,1.095,1.095,1.095,0
11/30/2018 4:58:00 PM,1.095,1.095,1.095,1.095,0
11/30/2018 4:57:00 PM,1.095,1.0975,1.08,1.095,211
11/30/2018 4:56:00 PM,1.1025,1.1025,1.09,1.09,611
11/30/2018 4:55:00 PM,1.1175,1.1175,1.1025,1.1025,81
11/30/2018 4:54:00 PM,1.1375,1.1375,1.1175,1.1175,2
11/30/2018 4:53:00 PM,1.1375,1.1375,1.1375,1.1375,0
11/30/2018 4:52:00 PM,1.1375,1.1375,1.1375,1.1375,0
11/30/2018 4:51:00 PM,1.1375,1.1375,1.1375,1.1375,0
11/30/2018 4:50:00 PM,1.145,1.145,1.1375,1.1375,55
11/30/2018 4:49:00 PM,1.145,1.145,1.145,1.145,0
11/30/2018 4:48:00 PM,1.145,1.145,1.145,1.145,0
11/30/2018 4:47:00 PM,1.145,1.145,1.145,1.145,0
11/30/2018 4:46:00 PM,1.145,1.145,1.1425,1.145,147
11/30/2018 4:45:00 PM,1.1525,1.1525,1.145,1.145,102
11/30/2018 4:44:00 PM,1.1525,1.1525,1.1525,1.1525,0
11/30/2018 4:43:00 PM,1.1475,1.1525,1.145,1.1525,3
11/30/2018 4:42:00 PM,1.16,1.16,1.1475,1.1475,100
11/30/2018 4:41:00 PM,1.16,1.16,1.16,1.16,0
11/30/2018 4:40:00 PM,1.16,1.16,1.16,1.16,0
11/30/2018 4:39:00 PM,1.1675,1.1675,1.16,1.16,30
11/30/2018 4:38:00 PM,1.1675,1.1675,1.1675,1.1675,0
11/30/2018 4:37:00 PM,1.1625,1.1675,1.1625,1.1675,1
11/30/2018 4:36:00 PM,1.15,1.1625,1.15,1.1625,1
11/30/2018 4:35:00 PM,1.15,1.15,1.15,1.15,0
11/30/2018 4:34:00 PM,1.15,1.15,1.15,1.15,0
11/30/2018 4:33:00 PM,1.1625,1.1625,1.15,1.15,2
11/30/2018 4:32:00 PM,1.1775,1.1775,1.1625,1.1625,101
11/30/2018 4:31:00 PM,1.1825,1.1825,1.1775,1.1775,6
11/30/2018 4:30:00 PM,1.1775,1.1825,1.165,1.1825,5
11/30/2018 4:29:00 PM,1.17,1.1775,1.17,1.1775,13
11/30/2018 4:28:00 PM,1.165,1.17,1.165,1.17,6
11/30/2018 4:27:00 PM,1.16,1.165,1.16,1.165,4
11/30/2018 4:26:00 PM,1.1675,1.1675,1.16,1.16,1
11/30/2018 4:25:00 PM,1.21,1.21,1.165,1.1675,2
11/30/2018 4:24:00 PM,1.21,1.21,1.21,1.21,0
11/30/2018 4:23:00 PM,1.21,1.21,1.21,1.21,0
11/30/2018 4:22:00 PM,1.21,1.21,1.21,1.21,0
11/30/2018 4:21:00 PM,1.21,1.21,1.21,1.21,0
11/30/2018 4:20:00 PM,1.21,1.21,1.21,1.21,0
11/30/2018 4:19:00 PM,1.21,1.21,1.21,1.21,0
