Date,USDINR18DEC71CE O,USDINR18DEC71CE H,USDINR18DEC71CE L,USDINR18DEC71CE C,USDINR18DEC71CE V
11/30/2018 4:59:00 PM,0.2225,0.225,0.21,0.2125,1720
11/30/2018 4:58:00 PM,0.2275,0.2275,0.22,0.2225,122
11/30/2018 4:57:00 PM,0.2275,0.23,0.225,0.2275,212
11/30/2018 4:56:00 PM,0.235,0.235,0.2275,0.2275,1150
11/30/2018 4:55:00 PM,0.235,0.2375,0.23,0.2325,392
11/30/2018 4:54:00 PM,0.2375,0.2375,0.235,0.235,1198
11/30/2018 4:53:00 PM,0.24,0.24,0.2325,0.2375,370
11/30/2018 4:52:00 PM,0.24,0.2425,0.24,0.24,261
11/30/2018 4:51:00 PM,0.235,0.24,0.235,0.24,1143
11/30/2018 4:50:00 PM,0.24,0.24,0.235,0.24,254
11/30/2018 4:49:00 PM,0.24,0.24,0.24,0.24,25
11/30/2018 4:48:00 PM,0.2425,0.2425,0.24,0.24,450
11/30/2018 4:47:00 PM,0.2425,0.245,0.2425,0.2425,1481
11/30/2018 4:46:00 PM,0.245,0.245,0.2425,0.2425,1586
11/30/2018 4:45:00 PM,0.245,0.245,0.2425,0.245,93
11/30/2018 4:44:00 PM,0.2475,0.2475,0.245,0.245,200
11/30/2018 4:43:00 PM,0.2475,0.2475,0.245,0.2475,320
11/30/2018 4:42:00 PM,0.2475,0.2475,0.245,0.2475,213
11/30/2018 4:41:00 PM,0.2425,0.2475,0.2425,0.2475,440
11/30/2018 4:40:00 PM,0.25,0.25,0.2425,0.245,537
11/30/2018 4:39:00 PM,0.25,0.25,0.25,0.25,20
11/30/2018 4:38:00 PM,0.2525,0.255,0.25,0.25,22
11/30/2018 4:37:00 PM,0.25,0.2525,0.25,0.2525,11
11/30/2018 4:36:00 PM,0.25,0.25,0.25,0.25,0
11/30/2018 4:35:00 PM,0.25,0.25,0.25,0.25,16
11/30/2018 4:34:00 PM,0.2475,0.25,0.2475,0.25,20
11/30/2018 4:33:00 PM,0.25,0.25,0.245,0.2475,30
11/30/2018 4:32:00 PM,0.26,0.26,0.25,0.25,310
11/30/2018 4:31:00 PM,0.2575,0.26,0.2575,0.26,57
11/30/2018 4:30:00 PM,0.2575,0.2575,0.2575,0.2575,0
11/30/2018 4:29:00 PM,0.2575,0.2575,0.2575,0.2575,10
11/30/2018 4:28:00 PM,0.255,0.2575,0.255,0.2575,21
