Date,BANKNIFTY06DEC1827100PE O,BANKNIFTY06DEC1827100PE H,BANKNIFTY06DEC1827100PE L,BANKNIFTY06DEC1827100PE C,BANKNIFTY06DEC1827100PE V
11/30/2018 3:29:00 PM,354,354.4,350.9,352.7,720
11/30/2018 3:28:00 PM,353.35,355.3,351.8,354,1060
11/30/2018 3:27:00 PM,353.9,355.8,353.35,353.35,240
11/30/2018 3:26:00 PM,355.2,356.2,353.9,353.9,1380
11/30/2018 3:25:00 PM,351,355.2,351,355.2,1380
11/30/2018 3:24:00 PM,346.1,354.95,346.1,351,1140
11/30/2018 3:23:00 PM,348.6,350,346.1,346.1,140
11/30/2018 3:22:00 PM,348.9,349.65,347.65,348.6,320
11/30/2018 3:21:00 PM,348,350.65,348,348.9,120
11/30/2018 3:20:00 PM,351.95,353.55,348,348,520
11/30/2018 3:19:00 PM,354.3,354.3,351.4,353.55,1440
11/30/2018 3:18:00 PM,354.3,354.3,351,352.75,400
11/30/2018 3:17:00 PM,352.6,353.4,349.5,353.4,180
11/30/2018 3:16:00 PM,357.6,357.6,351.55,352.6,860
11/30/2018 3:15:00 PM,355.05,362.55,355.05,357.6,1340
11/30/2018 3:14:00 PM,353,355.05,350,355.05,100
11/30/2018 3:13:00 PM,353.15,354.6,353,353,320
11/30/2018 3:12:00 PM,350.95,354.8,350.95,353.15,560
11/30/2018 3:11:00 PM,351.9,353.6,350.2,350.95,180
11/30/2018 3:10:00 PM,359,359,351.9,351.9,40
11/30/2018 3:09:00 PM,343.5,356.2,343.5,356.2,100
11/30/2018 3:08:00 PM,344.4,344.4,340,343.5,180
11/30/2018 3:07:00 PM,351.45,351.45,344.4,344.4,60
11/30/2018 3:06:00 PM,349.5,351.7,349.5,351.45,100
11/30/2018 3:05:00 PM,349.8,354.4,349.5,349.5,340
11/30/2018 3:04:00 PM,344,349.8,342.3,349.8,340
11/30/2018 3:03:00 PM,346.6,346.6,344,344,60
11/30/2018 3:02:00 PM,343,346.6,343,346.6,60
11/30/2018 3:01:00 PM,343.95,345.3,343,343,800
11/30/2018 3:00:00 PM,357.55,357.55,343.1,343.95,800
11/30/2018 2:59:00 PM,367.35,367.35,357.55,357.55,20
11/30/2018 2:58:00 PM,361.4,367.35,357.05,367.35,480
11/30/2018 2:57:00 PM,365.95,365.95,358.2,361.4,840
11/30/2018 2:56:00 PM,360.35,365.95,360.35,365.95,120
11/30/2018 2:55:00 PM,364.4,364.4,357.2,360.35,160
11/30/2018 2:54:00 PM,363,366.1,363,364.4,80
11/30/2018 2:53:00 PM,355.85,367.75,355.85,363,860
11/30/2018 2:52:00 PM,348.9,355.85,348.9,355.85,160
11/30/2018 2:51:00 PM,342.5,348.9,341.1,348.9,80
11/30/2018 2:50:00 PM,345,345.3,342.5,342.5,540
11/30/2018 2:49:00 PM,345,345,337.75,345,120
11/30/2018 2:48:00 PM,335.75,345,335.75,345,120
11/30/2018 2:47:00 PM,348,348,335.75,335.75,800
11/30/2018 2:46:00 PM,343.1,353.2,343.1,348,140
11/30/2018 2:45:00 PM,338.8,345,338.8,343.1,40
11/30/2018 2:44:00 PM,344.9,345,337.05,338.8,640
11/30/2018 2:43:00 PM,345.1,345.1,344.9,344.9,320
11/30/2018 2:42:00 PM,336,345.1,336,345.1,440
11/30/2018 2:41:00 PM,330.55,336.85,330.55,336,360
11/30/2018 2:40:00 PM,340.05,340.05,323.65,330.55,760
11/30/2018 2:39:00 PM,364.4,364.4,339.6,340.05,880
11/30/2018 2:38:00 PM,364.4,364.4,364.4,364.4,0
11/30/2018 2:37:00 PM,367,367,364.05,364.4,40
11/30/2018 2:36:00 PM,360,367,360,367,100
11/30/2018 2:35:00 PM,376.5,376.5,356.5,358.8,640
11/30/2018 2:34:00 PM,382.35,382.85,376.5,376.5,140
11/30/2018 2:33:00 PM,378,382.45,378,382.35,260
11/30/2018 2:32:00 PM,386.8,386.8,377,378,100
11/30/2018 2:31:00 PM,394.95,396.4,384.1,386.8,220
11/30/2018 2:30:00 PM,395.95,398.2,394.95,394.95,160
11/30/2018 2:29:00 PM,386,397.7,386,395.95,220
11/30/2018 2:28:00 PM,386,386,386,386,0
11/30/2018 2:27:00 PM,386,386,386,386,0
11/30/2018 2:26:00 PM,386.4,386.4,386,386,20
11/30/2018 2:25:00 PM,389.95,390,386.4,386.4,220
11/30/2018 2:24:00 PM,380.9,389.95,380.9,389.95,20
11/30/2018 2:23:00 PM,380.25,380.9,379.7,380.9,80
11/30/2018 2:22:00 PM,377.5,380.25,376.7,380.25,200
11/30/2018 2:21:00 PM,389,389,376.55,377.5,120
11/30/2018 2:20:00 PM,383,389,383,389,100
11/30/2018 2:19:00 PM,383.05,383.05,383,383,20
11/30/2018 2:18:00 PM,368.25,383.05,368.25,383.05,100
11/30/2018 2:17:00 PM,368.25,368.25,368.25,368.25,0
11/30/2018 2:16:00 PM,368.25,368.25,368.25,368.25,0
11/30/2018 2:15:00 PM,368.7,368.7,366.05,368.25,80
11/30/2018 2:14:00 PM,369.9,369.9,368.35,368.7,120
