Date,ZINC18NOVFUT O,ZINC18NOVFUT H,ZINC18NOVFUT L,ZINC18NOVFUT C,ZINC18NOVFUT V
11/29/2018 10:22:00 PM,178.75,178.75,178.75,178.75,2
11/29/2018 10:21:00 PM,178.75,178.75,178.7,178.75,3
11/29/2018 10:20:00 PM,178.8,178.8,178.75,178.75,4
11/29/2018 10:19:00 PM,178.7,178.8,178.7,178.8,4
11/29/2018 10:18:00 PM,178.85,178.85,178.7,178.7,29
11/29/2018 10:17:00 PM,178.8,178.85,178.8,178.85,2
11/29/2018 10:16:00 PM,178.9,178.9,178.8,178.8,13
11/29/2018 10:15:00 PM,178.9,178.9,178.9,178.9,8
11/29/2018 10:14:00 PM,178.85,178.95,178.85,178.9,4
11/29/2018 10:13:00 PM,178.9,179,178.85,178.85,39
11/29/2018 10:12:00 PM,178.85,178.9,178.8,178.9,4
11/29/2018 10:11:00 PM,178.85,178.9,178.75,178.85,31
11/29/2018 10:10:00 PM,178.65,178.9,178.65,178.85,67
11/29/2018 10:09:00 PM,178.7,178.75,178.65,178.75,6
11/29/2018 10:08:00 PM,178.65,178.8,178.65,178.7,12
11/29/2018 10:07:00 PM,178.7,178.7,178.6,178.65,17
11/29/2018 10:06:00 PM,178.6,178.7,178.6,178.6,9
11/29/2018 10:05:00 PM,178.6,178.65,178.6,178.6,12
11/29/2018 10:04:00 PM,178.65,178.75,178.6,178.6,17
11/29/2018 10:03:00 PM,178.65,178.7,178.6,178.65,22
11/29/2018 10:02:00 PM,178.45,178.65,178.45,178.6,156
11/29/2018 10:01:00 PM,178.7,178.7,178.45,178.5,125
11/29/2018 10:00:00 PM,178.8,178.8,178.7,178.7,20
11/29/2018 9:59:00 PM,178.65,178.9,178.65,178.8,14
11/29/2018 9:58:00 PM,178.6,178.65,178.55,178.65,32
11/29/2018 9:57:00 PM,178.8,178.8,178.6,178.6,29
11/29/2018 9:56:00 PM,178.7,178.9,178.7,178.8,45
11/29/2018 9:55:00 PM,179.2,179.2,178.55,178.7,92
11/29/2018 9:54:00 PM,179.05,179.25,178.95,179.25,93
11/29/2018 9:53:00 PM,178.9,179.15,178.9,179.05,73
11/29/2018 9:52:00 PM,179.35,179.35,178.75,178.9,95
11/29/2018 9:51:00 PM,178.6,179.35,178.6,179.35,155
11/29/2018 9:50:00 PM,178.35,178.55,178.25,178.55,69
11/29/2018 9:49:00 PM,178.35,178.4,178.3,178.35,22
11/29/2018 9:48:00 PM,178.4,178.5,178.3,178.35,47
11/29/2018 9:47:00 PM,178.55,178.6,178.4,178.4,29
11/29/2018 9:46:00 PM,178.5,178.55,178.45,178.55,14
11/29/2018 9:45:00 PM,178.55,178.6,178.5,178.5,22
11/29/2018 9:44:00 PM,178.55,178.65,178.5,178.55,14
11/29/2018 9:43:00 PM,178.4,178.55,178.35,178.55,25
11/29/2018 9:42:00 PM,178.4,178.45,178.35,178.4,65
11/29/2018 9:41:00 PM,178.65,178.65,178.35,178.4,80
11/29/2018 9:40:00 PM,178.75,178.75,178.65,178.65,53
11/29/2018 9:39:00 PM,178.75,178.75,178.7,178.7,11
11/29/2018 9:38:00 PM,178.75,178.75,178.75,178.75,5
11/29/2018 9:37:00 PM,178.8,178.8,178.75,178.75,3
11/29/2018 9:36:00 PM,178.8,178.8,178.7,178.8,21
11/29/2018 9:35:00 PM,178.9,178.9,178.8,178.8,2
11/29/2018 9:34:00 PM,178.7,178.95,178.7,178.9,20
11/29/2018 9:33:00 PM,178.8,178.8,178.7,178.7,23
11/29/2018 9:32:00 PM,178.75,178.8,178.7,178.8,53
11/29/2018 9:31:00 PM,178.8,178.9,178.7,178.75,28
11/29/2018 9:30:00 PM,178.75,178.95,178.75,178.8,27
11/29/2018 9:29:00 PM,178.85,178.85,178.75,178.75,8
11/29/2018 9:28:00 PM,178.9,178.9,178.75,178.85,16
11/29/2018 9:27:00 PM,179,179,178.9,178.9,21
11/29/2018 9:26:00 PM,179.15,179.15,179,179,9
11/29/2018 9:25:00 PM,179.15,179.2,179.1,179.15,12
11/29/2018 9:24:00 PM,178.9,179.2,178.9,179.15,27
11/29/2018 9:23:00 PM,178.85,178.9,178.85,178.9,17
11/29/2018 9:22:00 PM,178.9,178.9,178.85,178.85,9
11/29/2018 9:21:00 PM,178.75,178.9,178.75,178.9,12
11/29/2018 9:20:00 PM,178.8,178.8,178.75,178.75,21
11/29/2018 9:19:00 PM,178.7,178.9,178.7,178.8,30
11/29/2018 9:18:00 PM,178.7,178.75,178.7,178.7,12
11/29/2018 9:17:00 PM,178.85,178.9,178.65,178.7,59
11/29/2018 9:16:00 PM,178.85,178.95,178.85,178.85,21
11/29/2018 9:15:00 PM,178.9,178.9,178.8,178.85,15
11/29/2018 9:14:00 PM,178.9,178.95,178.8,178.9,26
11/29/2018 9:13:00 PM,179.15,179.15,178.9,178.9,53
11/29/2018 9:12:00 PM,179.15,179.2,179.1,179.15,6
11/29/2018 9:11:00 PM,179.15,179.15,179.1,179.15,12
11/29/2018 9:10:00 PM,179.25,179.25,179.1,179.15,70
11/29/2018 9:09:00 PM,179.35,179.35,179.25,179.3,16
11/29/2018 9:08:00 PM,179.3,179.4,179.2,179.35,27
11/29/2018 9:07:00 PM,179.35,179.4,179.3,179.3,19
11/29/2018 9:06:00 PM,179.4,179.45,179.35,179.35,23
11/29/2018 9:05:00 PM,179.4,179.45,179.35,179.45,28
11/29/2018 9:04:00 PM,179.65,179.65,179.35,179.4,57
11/29/2018 9:03:00 PM,179.55,179.8,179.5,179.65,145
