Date,HDFCBANK18DECFUT O,HDFCBANK18DECFUT H,HDFCBANK18DECFUT L,HDFCBANK18DECFUT C,HDFCBANK18DECFUT V
11/29/2018 12:00:00 PM,2109.1,2109.2,2108.1,2108.15,14750
11/29/2018 11:59:00 AM,2108.2,2109.25,2108.2,2109.1,10500
11/29/2018 11:58:00 AM,2109.6,2109.6,2108,2108,17750
11/29/2018 11:57:00 AM,2109.3,2109.75,2108.85,2109.6,11250
11/29/2018 11:56:00 AM,2110.4,2110.4,2109.15,2109.15,14250
11/29/2018 11:55:00 AM,2109,2110.75,2108.8,2110.4,13000
11/29/2018 11:54:00 AM,2108.45,2109,2108,2109,13750
11/29/2018 11:53:00 AM,2109,2109,2108.4,2108.45,6250
11/29/2018 11:52:00 AM,2108.95,2109.15,2108.5,2109,13000
11/29/2018 11:51:00 AM,2109.15,2109.15,2108.3,2108.8,18250
11/29/2018 11:50:00 AM,2109.3,2109.5,2108.6,2109.3,25500
11/29/2018 11:49:00 AM,2109.8,2109.85,2108.1,2109.3,32000
11/29/2018 11:48:00 AM,2110.15,2111.15,2109.95,2110.2,62750
11/29/2018 11:47:00 AM,2111.2,2111.55,2110.35,2110.35,12500
11/29/2018 11:46:00 AM,2110.5,2111.75,2110.5,2111.4,18750
11/29/2018 11:45:00 AM,2110.7,2110.95,2110.4,2110.55,70000
11/29/2018 11:44:00 AM,2111,2111.05,2110.05,2110.7,14250
11/29/2018 11:43:00 AM,2110,2111.35,2109.95,2111,38750
11/29/2018 11:42:00 AM,2110,2110.25,2109.6,2110,6750
11/29/2018 11:41:00 AM,2109.2,2110,2109.15,2110,9750
11/29/2018 11:40:00 AM,2109.25,2109.3,2108.65,2109.3,37250
11/29/2018 11:39:00 AM,2108.6,2109.45,2108.1,2109.45,5250
11/29/2018 11:38:00 AM,2108.5,2109.1,2108.25,2108.6,37500
11/29/2018 11:37:00 AM,2107.5,2108.7,2107.3,2108.5,34750
11/29/2018 11:36:00 AM,2107.75,2108.05,2107.3,2107.8,22750
11/29/2018 11:35:00 AM,2109.5,2110,2107.75,2107.75,29000
11/29/2018 11:34:00 AM,2108.05,2109.5,2107.95,2109.5,27250
11/29/2018 11:33:00 AM,2106.35,2109.05,2106.35,2108.05,32500
11/29/2018 11:32:00 AM,2105.45,2106.35,2105.45,2106.35,18250
11/29/2018 11:31:00 AM,2104.7,2106.1,2104.7,2105.45,27500
11/29/2018 11:30:00 AM,2104.25,2105.05,2104.15,2104.7,10500
11/29/2018 11:29:00 AM,2104.4,2104.65,2104.1,2104.25,13500
11/29/2018 11:28:00 AM,2103.4,2104.65,2103.4,2104.4,15250
11/29/2018 11:27:00 AM,2102.95,2103.5,2102.75,2103.2,48250
11/29/2018 11:26:00 AM,2102.55,2103.35,2102.55,2102.95,10750
11/29/2018 11:25:00 AM,2102.6,2103.15,2102.5,2103.15,7500
11/29/2018 11:24:00 AM,2102.4,2102.8,2102.2,2102.6,13000
11/29/2018 11:23:00 AM,2102.25,2103,2102.05,2102.15,29500
