Date,INDUSINDBK18DECFUT O,INDUSINDBK18DECFUT H,INDUSINDBK18DECFUT L,INDUSINDBK18DECFUT C,INDUSINDBK18DECFUT V
11/29/2018 1:37:00 PM,1649.7,1650,1649.35,1650,5700
11/29/2018 1:36:00 PM,1650,1650,1649.65,1649.7,1200
11/29/2018 1:35:00 PM,1650.15,1650.15,1649.35,1650,2700
11/29/2018 1:34:00 PM,1649.75,1650.45,1649.6,1650.15,4800
11/29/2018 1:33:00 PM,1650.6,1650.6,1649.45,1649.75,4500
11/29/2018 1:32:00 PM,1650.4,1650.6,1650.2,1650.6,3000
11/29/2018 1:31:00 PM,1650.35,1650.8,1650.15,1650.4,3600
11/29/2018 1:30:00 PM,1650.75,1650.75,1650.35,1650.35,2400
11/29/2018 1:29:00 PM,1650,1651,1650,1650.75,2100
11/29/2018 1:28:00 PM,1648.75,1650,1648.75,1650,4500
11/29/2018 1:27:00 PM,1649.75,1649.75,1648.7,1648.75,7500
11/29/2018 1:26:00 PM,1650.1,1650.1,1649.45,1649.45,1200
11/29/2018 1:25:00 PM,1650.7,1650.7,1649.4,1650.1,3300
11/29/2018 1:24:00 PM,1651.2,1651.3,1650.7,1650.7,5100
11/29/2018 1:23:00 PM,1650.25,1651.2,1649.95,1651.2,20100
11/29/2018 1:22:00 PM,1650.6,1650.6,1650.25,1650.25,1800
11/29/2018 1:21:00 PM,1649.75,1650.6,1649.75,1650.6,20100
11/29/2018 1:20:00 PM,1649.55,1650.55,1649.15,1649.9,13500
11/29/2018 1:19:00 PM,1650.55,1650.85,1649.45,1649.45,3600
11/29/2018 1:18:00 PM,1650.05,1650.55,1649.3,1650.55,4500
11/29/2018 1:17:00 PM,1650.25,1650.25,1649.7,1650.05,2700
11/29/2018 1:16:00 PM,1650.7,1651.15,1650,1650.25,8700
11/29/2018 1:15:00 PM,1651.15,1651.75,1650.35,1650.7,11400
11/29/2018 1:14:00 PM,1651.9,1652.85,1650.25,1651.15,11700
11/29/2018 1:13:00 PM,1651.4,1652.3,1651.35,1651.9,11400
11/29/2018 1:12:00 PM,1651.9,1651.9,1650.55,1651.4,5400
11/29/2018 1:11:00 PM,1650.5,1651.8,1650.2,1651.8,7500
11/29/2018 1:10:00 PM,1649.35,1650.8,1649,1650.5,8700
11/29/2018 1:09:00 PM,1650.95,1651,1649.05,1649.35,15000
11/29/2018 1:08:00 PM,1649.15,1650.95,1649.15,1650.95,5700
11/29/2018 1:07:00 PM,1648.95,1649.25,1648.7,1649.05,7200
11/29/2018 1:06:00 PM,1650.7,1650.7,1649.65,1649.65,5700
11/29/2018 1:05:00 PM,1650.45,1650.7,1650.2,1650.7,3900
11/29/2018 1:04:00 PM,1651.5,1651.85,1650.45,1650.45,7200
11/29/2018 1:03:00 PM,1651.2,1651.5,1650.95,1651.5,1200
11/29/2018 1:02:00 PM,1651.95,1652.25,1651.2,1651.2,9600
11/29/2018 1:01:00 PM,1651.65,1651.95,1651.55,1651.95,5400
11/29/2018 1:00:00 PM,1652.1,1652.1,1651.55,1651.75,5100
11/29/2018 12:59:00 PM,1652.6,1652.7,1652.1,1652.1,5700
11/29/2018 12:58:00 PM,1652.25,1653,1652.2,1652.6,13200
11/29/2018 12:57:00 PM,1651.7,1652.35,1651.7,1652.25,3300
11/29/2018 12:56:00 PM,1652.15,1652.25,1651.3,1651.7,5100
11/29/2018 12:55:00 PM,1652.65,1652.65,1651.7,1652.15,6000
11/29/2018 12:54:00 PM,1652,1652.85,1652,1652.65,6900
11/29/2018 12:53:00 PM,1650.65,1652.4,1650.65,1652,12000
11/29/2018 12:52:00 PM,1650.6,1650.9,1650.05,1650.65,4800
11/29/2018 12:51:00 PM,1651.25,1651.5,1650.6,1650.6,8700
11/29/2018 12:50:00 PM,1651.45,1652,1651.3,1651.3,4500
11/29/2018 12:49:00 PM,1649.55,1651.35,1649.55,1651.35,18300
11/29/2018 12:48:00 PM,1649.05,1650.2,1648.8,1649.55,9300
11/29/2018 12:47:00 PM,1649.6,1649.6,1648.65,1649.05,9900
11/29/2018 12:46:00 PM,1650.5,1650.9,1649.6,1649.6,18900
11/29/2018 12:45:00 PM,1649.05,1650.6,1649.05,1650.5,7500
11/29/2018 12:44:00 PM,1648.9,1649.5,1648.7,1648.9,18600
11/29/2018 12:43:00 PM,1648.75,1650.05,1648.2,1648.9,22800
11/29/2018 12:42:00 PM,1647.75,1649,1647.75,1648.75,6900
11/29/2018 12:41:00 PM,1648.45,1649.15,1647.75,1647.75,6000
11/29/2018 12:40:00 PM,1648.95,1649.7,1648.45,1648.45,6300
11/29/2018 12:39:00 PM,1648.55,1649.6,1648.5,1648.95,5400
11/29/2018 12:38:00 PM,1648.55,1649,1648.55,1648.55,1200
11/29/2018 12:37:00 PM,1648.9,1649,1648.45,1648.55,2100
11/29/2018 12:36:00 PM,1649.7,1649.7,1648.05,1648.9,3300
11/29/2018 12:35:00 PM,1649.2,1649.7,1649,1649.7,1200
11/29/2018 12:34:00 PM,1648.85,1649.7,1648.85,1649.2,2700
