Date,PNB18DECFUT O,PNB18DECFUT H,PNB18DECFUT L,PNB18DECFUT C,PNB18DECFUT V
11/29/2018 2:44:00 PM,69.95,70.05,69.9,69.9,220000
11/29/2018 2:43:00 PM,69.9,70,69.9,70,93500
11/29/2018 2:42:00 PM,69.95,70.05,69.9,69.9,126500
11/29/2018 2:41:00 PM,69.8,69.9,69.8,69.9,55000
11/29/2018 2:40:00 PM,69.75,69.85,69.75,69.8,44000
11/29/2018 2:39:00 PM,69.7,69.75,69.65,69.75,165000
11/29/2018 2:38:00 PM,69.75,69.75,69.7,69.7,93500
11/29/2018 2:37:00 PM,69.7,69.7,69.7,69.7,143000
11/29/2018 2:36:00 PM,69.7,69.7,69.7,69.7,49500
11/29/2018 2:35:00 PM,69.7,69.7,69.65,69.7,38500
11/29/2018 2:34:00 PM,69.7,69.75,69.65,69.65,192500
11/29/2018 2:33:00 PM,69.7,69.75,69.65,69.75,247500
11/29/2018 2:32:00 PM,69.7,69.8,69.7,69.7,66000
11/29/2018 2:31:00 PM,69.7,69.75,69.65,69.75,115500
11/29/2018 2:30:00 PM,69.7,69.7,69.7,69.7,154000
11/29/2018 2:29:00 PM,69.65,69.7,69.65,69.7,49500
11/29/2018 2:28:00 PM,69.75,69.75,69.6,69.6,132000
11/29/2018 2:27:00 PM,69.8,69.85,69.8,69.8,77000
11/29/2018 2:26:00 PM,69.9,69.9,69.85,69.85,115500
11/29/2018 2:25:00 PM,69.85,69.85,69.85,69.85,132000
11/29/2018 2:24:00 PM,69.95,69.95,69.9,69.9,104500
11/29/2018 2:23:00 PM,69.95,70,69.95,69.95,77000
11/29/2018 2:22:00 PM,70.1,70.1,70,70,132000
11/29/2018 2:21:00 PM,70.05,70.1,70.05,70.1,93500
11/29/2018 2:20:00 PM,70.1,70.1,70.05,70.1,93500
11/29/2018 2:19:00 PM,70.1,70.1,70.05,70.1,137500
11/29/2018 2:18:00 PM,70.1,70.1,70.1,70.1,38500
