Date,FEDERALBNK18DECFUT O,FEDERALBNK18DECFUT H,FEDERALBNK18DECFUT L,FEDERALBNK18DECFUT C,FEDERALBNK18DECFUT V
11/29/2018 3:29:00 PM,85.45,85.45,85.35,85.4,198000
11/29/2018 3:28:00 PM,85.5,85.5,85.5,85.5,154000
11/29/2018 3:27:00 PM,85.45,85.5,85.45,85.45,115500
11/29/2018 3:26:00 PM,85.45,85.5,85.45,85.5,77000
11/29/2018 3:25:00 PM,85.45,85.5,85.45,85.45,165000
11/29/2018 3:24:00 PM,85.45,85.5,85.45,85.5,247500
11/29/2018 3:23:00 PM,85.45,85.45,85.4,85.4,390500
11/29/2018 3:22:00 PM,85.3,85.3,85.3,85.3,181500
11/29/2018 3:21:00 PM,85.35,85.35,85.3,85.3,121000
11/29/2018 3:20:00 PM,85.4,85.4,85.35,85.4,181500
11/29/2018 3:19:00 PM,85.25,85.35,85.25,85.35,137500
11/29/2018 3:18:00 PM,85.3,85.3,85.25,85.25,253000
11/29/2018 3:17:00 PM,85.4,85.4,85.35,85.35,247500
11/29/2018 3:16:00 PM,85.35,85.35,85.35,85.35,121000
11/29/2018 3:15:00 PM,85.5,85.55,85.5,85.5,99000
11/29/2018 3:14:00 PM,85.45,85.45,85.45,85.45,115500
11/29/2018 3:13:00 PM,85.5,85.5,85.5,85.5,170500
11/29/2018 3:12:00 PM,85.45,85.5,85.45,85.5,82500
11/29/2018 3:11:00 PM,85.4,85.4,85.4,85.4,148500
11/29/2018 3:10:00 PM,85.35,85.4,85.35,85.4,99000
11/29/2018 3:09:00 PM,85.25,85.3,85.25,85.3,181500
11/29/2018 3:08:00 PM,85.2,85.2,85.2,85.2,33000
11/29/2018 3:07:00 PM,85.1,85.15,85.1,85.15,110000
11/29/2018 3:06:00 PM,85.1,85.15,85.1,85.15,60500
11/29/2018 3:05:00 PM,85.05,85.1,85.05,85.1,104500
11/29/2018 3:04:00 PM,85.1,85.15,85.1,85.15,170500
11/29/2018 3:03:00 PM,85.15,85.15,85.15,85.15,176000
11/29/2018 3:02:00 PM,85.2,85.2,85.2,85.2,22000
11/29/2018 3:01:00 PM,85.1,85.15,85.05,85.15,434500
11/29/2018 3:00:00 PM,84.6,84.7,84.6,84.7,110000
11/29/2018 2:59:00 PM,84.6,84.6,84.55,84.55,27500
11/29/2018 2:58:00 PM,84.7,84.7,84.6,84.6,93500
11/29/2018 2:57:00 PM,84.6,84.65,84.6,84.65,44000
11/29/2018 2:56:00 PM,84.45,84.6,84.45,84.6,44000
11/29/2018 2:55:00 PM,84.45,84.45,84.4,84.4,214500
11/29/2018 2:54:00 PM,84.5,84.5,84.5,84.5,16500
