Date,IDFCBANK18DECFUT O,IDFCBANK18DECFUT H,IDFCBANK18DECFUT L,IDFCBANK18DECFUT C,IDFCBANK18DECFUT V
11/29/2018 3:29:00 PM,38.55,38.65,38.55,38.65,429000
11/29/2018 3:28:00 PM,38.55,38.6,38.55,38.55,110000
11/29/2018 3:27:00 PM,38.55,38.55,38.5,38.55,253000
11/29/2018 3:26:00 PM,38.5,38.55,38.5,38.55,154000
11/29/2018 3:25:00 PM,38.55,38.55,38.5,38.5,55000
11/29/2018 3:24:00 PM,38.6,38.6,38.5,38.55,1045000
11/29/2018 3:23:00 PM,38.5,38.55,38.5,38.55,693000
11/29/2018 3:22:00 PM,38.5,38.5,38.45,38.5,121000
11/29/2018 3:21:00 PM,38.5,38.5,38.5,38.5,198000
11/29/2018 3:20:00 PM,38.45,38.5,38.45,38.45,352000
11/29/2018 3:19:00 PM,38.5,38.5,38.5,38.5,187000
11/29/2018 3:18:00 PM,38.4,38.5,38.4,38.5,506000
11/29/2018 3:17:00 PM,38.4,38.4,38.4,38.4,308000
11/29/2018 3:16:00 PM,38.3,38.35,38.3,38.35,88000
11/29/2018 3:15:00 PM,38.3,38.35,38.3,38.35,121000
11/29/2018 3:14:00 PM,38.3,38.35,38.3,38.35,231000
11/29/2018 3:13:00 PM,38.25,38.3,38.25,38.25,121000
11/29/2018 3:12:00 PM,38.35,38.35,38.3,38.3,44000
11/29/2018 3:11:00 PM,38.3,38.3,38.3,38.3,154000
11/29/2018 3:10:00 PM,38.35,38.35,38.3,38.3,66000
11/29/2018 3:09:00 PM,38.3,38.35,38.3,38.35,242000
11/29/2018 3:08:00 PM,38.4,38.4,38.3,38.3,55000
11/29/2018 3:07:00 PM,38.3,38.35,38.3,38.35,99000
11/29/2018 3:06:00 PM,38.3,38.3,38.25,38.3,407000
11/29/2018 3:05:00 PM,38.15,38.25,38.15,38.25,363000
11/29/2018 3:04:00 PM,38.4,38.4,38.25,38.25,363000
11/29/2018 3:03:00 PM,38.5,38.5,38.4,38.4,297000
11/29/2018 3:02:00 PM,38.5,38.55,38.5,38.5,88000
11/29/2018 3:01:00 PM,38.55,38.55,38.55,38.55,286000
11/29/2018 3:00:00 PM,38.5,38.6,38.5,38.6,286000
11/29/2018 2:59:00 PM,38.55,38.55,38.5,38.5,33000
11/29/2018 2:58:00 PM,38.6,38.6,38.5,38.5,99000
11/29/2018 2:57:00 PM,38.55,38.6,38.55,38.6,121000
11/29/2018 2:56:00 PM,38.6,38.6,38.55,38.6,154000
11/29/2018 2:55:00 PM,38.55,38.6,38.55,38.6,55000
11/29/2018 2:54:00 PM,38.5,38.55,38.5,38.55,187000
11/29/2018 2:53:00 PM,38.55,38.55,38.5,38.5,484000
11/29/2018 2:52:00 PM,38.55,38.6,38.55,38.6,110000
11/29/2018 2:51:00 PM,38.6,38.6,38.55,38.6,209000
11/29/2018 2:50:00 PM,38.55,38.7,38.55,38.6,748000
11/29/2018 2:49:00 PM,38.45,38.55,38.45,38.55,858000
11/29/2018 2:48:00 PM,38.45,38.5,38.4,38.5,187000
11/29/2018 2:47:00 PM,38.35,38.45,38.35,38.45,286000
11/29/2018 2:46:00 PM,38.35,38.35,38.35,38.35,55000
11/29/2018 2:45:00 PM,38.35,38.35,38.35,38.35,99000
11/29/2018 2:44:00 PM,38.3,38.35,38.3,38.35,352000
11/29/2018 2:43:00 PM,38.3,38.3,38.3,38.3,0
11/29/2018 2:42:00 PM,38.3,38.3,38.3,38.3,33000
11/29/2018 2:41:00 PM,38.35,38.35,38.3,38.3,44000
11/29/2018 2:40:00 PM,38.25,38.35,38.25,38.35,55000
11/29/2018 2:39:00 PM,38.25,38.25,38.25,38.25,44000
11/29/2018 2:38:00 PM,38.2,38.25,38.2,38.25,66000
11/29/2018 2:37:00 PM,38.25,38.25,38.2,38.2,11000
11/29/2018 2:36:00 PM,38.2,38.25,38.2,38.25,11000
11/29/2018 2:35:00 PM,38.2,38.2,38.2,38.2,110000
11/29/2018 2:34:00 PM,38.25,38.25,38.2,38.2,11000
11/29/2018 2:33:00 PM,38.3,38.3,38.25,38.25,143000
11/29/2018 2:32:00 PM,38.25,38.3,38.25,38.3,319000
11/29/2018 2:31:00 PM,38.25,38.25,38.25,38.25,11000
11/29/2018 2:30:00 PM,38.2,38.25,38.2,38.25,44000
11/29/2018 2:29:00 PM,38.25,38.25,38.2,38.2,143000
11/29/2018 2:28:00 PM,38.25,38.25,38.2,38.25,55000
11/29/2018 2:27:00 PM,38.25,38.25,38.25,38.25,165000
11/29/2018 2:26:00 PM,38.3,38.3,38.3,38.3,154000
11/29/2018 2:25:00 PM,38.3,38.3,38.3,38.3,44000
11/29/2018 2:24:00 PM,38.3,38.3,38.25,38.3,88000
11/29/2018 2:23:00 PM,38.35,38.35,38.3,38.3,2728000
11/29/2018 2:22:00 PM,38.4,38.4,38.35,38.35,176000
11/29/2018 2:21:00 PM,38.45,38.45,38.35,38.35,242000
11/29/2018 2:20:00 PM,38.45,38.45,38.45,38.45,1969000
11/29/2018 2:19:00 PM,38.45,38.45,38.45,38.45,517000
11/29/2018 2:18:00 PM,38.5,38.5,38.45,38.45,1298000
11/29/2018 2:17:00 PM,38.45,38.5,38.45,38.5,121000
11/29/2018 2:16:00 PM,38.45,38.45,38.45,38.45,33000
11/29/2018 2:15:00 PM,38.45,38.45,38.45,38.45,594000
11/29/2018 2:14:00 PM,38.45,38.45,38.45,38.45,253000
11/29/2018 2:13:00 PM,38.5,38.5,38.45,38.45,561000
11/29/2018 2:12:00 PM,38.45,38.5,38.45,38.5,66000
11/29/2018 2:11:00 PM,38.4,38.45,38.4,38.45,154000
11/29/2018 2:10:00 PM,38.45,38.45,38.4,38.45,33000
11/29/2018 2:09:00 PM,38.45,38.45,38.45,38.45,11000
11/29/2018 2:08:00 PM,38.45,38.45,38.45,38.45,11000
11/29/2018 2:07:00 PM,38.45,38.45,38.45,38.45,22000
11/29/2018 2:06:00 PM,38.45,38.5,38.45,38.45,66000
11/29/2018 2:05:00 PM,38.45,38.5,38.45,38.5,44000
11/29/2018 2:04:00 PM,38.45,38.45,38.45,38.45,0
11/29/2018 2:03:00 PM,38.45,38.45,38.45,38.45,33000
11/29/2018 2:02:00 PM,38.45,38.45,38.45,38.45,88000
11/29/2018 2:01:00 PM,38.45,38.45,38.45,38.45,121000
11/29/2018 2:00:00 PM,38.4,38.4,38.4,38.4,22000
11/29/2018 1:59:00 PM,38.4,38.4,38.4,38.4,11000
11/29/2018 1:58:00 PM,38.4,38.4,38.4,38.4,11000
11/29/2018 1:57:00 PM,38.4,38.4,38.4,38.4,22000
11/29/2018 1:56:00 PM,38.35,38.4,38.35,38.4,88000
11/29/2018 1:55:00 PM,38.35,38.4,38.35,38.4,550000
11/29/2018 1:54:00 PM,38.35,38.35,38.35,38.35,22000
11/29/2018 1:53:00 PM,38.4,38.4,38.4,38.4,55000
11/29/2018 1:52:00 PM,38.4,38.4,38.4,38.4,11000
11/29/2018 1:51:00 PM,38.4,38.4,38.4,38.4,242000
11/29/2018 1:50:00 PM,38.45,38.45,38.45,38.45,110000
11/29/2018 1:49:00 PM,38.4,38.4,38.4,38.4,33000
11/29/2018 1:48:00 PM,38.4,38.4,38.4,38.4,11000
11/29/2018 1:47:00 PM,38.4,38.4,38.4,38.4,11000
11/29/2018 1:46:00 PM,38.4,38.4,38.4,38.4,11000
11/29/2018 1:45:00 PM,38.45,38.45,38.4,38.4,88000
11/29/2018 1:44:00 PM,38.45,38.45,38.45,38.45,22000
11/29/2018 1:43:00 PM,38.45,38.45,38.4,38.4,88000
11/29/2018 1:42:00 PM,38.45,38.45,38.45,38.45,132000
11/29/2018 1:41:00 PM,38.4,38.4,38.4,38.4,88000
11/29/2018 1:40:00 PM,38.4,38.4,38.4,38.4,22000
11/29/2018 1:39:00 PM,38.4,38.4,38.4,38.4,33000
11/29/2018 1:38:00 PM,38.45,38.45,38.4,38.4,11000
11/29/2018 1:37:00 PM,38.45,38.45,38.45,38.45,66000
11/29/2018 1:36:00 PM,38.4,38.4,38.4,38.4,22000
11/29/2018 1:35:00 PM,38.35,38.4,38.35,38.4,22000
11/29/2018 1:34:00 PM,38.4,38.4,38.35,38.35,66000
11/29/2018 1:33:00 PM,38.4,38.4,38.35,38.35,88000
11/29/2018 1:32:00 PM,38.35,38.35,38.35,38.35,0
11/29/2018 1:31:00 PM,38.35,38.4,38.3,38.35,132000
11/29/2018 1:30:00 PM,38.35,38.35,38.35,38.35,22000
11/29/2018 1:29:00 PM,38.35,38.35,38.35,38.35,33000
11/29/2018 1:28:00 PM,38.35,38.35,38.35,38.35,22000
11/29/2018 1:27:00 PM,38.3,38.35,38.3,38.35,66000
11/29/2018 1:26:00 PM,38.45,38.45,38.35,38.4,176000
11/29/2018 1:25:00 PM,38.4,38.45,38.4,38.45,11000
11/29/2018 1:24:00 PM,38.4,38.4,38.4,38.4,11000
11/29/2018 1:23:00 PM,38.5,38.5,38.4,38.4,33000
11/29/2018 1:22:00 PM,38.45,38.5,38.45,38.5,33000
11/29/2018 1:21:00 PM,38.5,38.5,38.45,38.45,77000
11/29/2018 1:20:00 PM,38.5,38.5,38.5,38.5,11000
11/29/2018 1:19:00 PM,38.5,38.5,38.5,38.5,11000
11/29/2018 1:18:00 PM,38.5,38.5,38.5,38.5,77000
11/29/2018 1:17:00 PM,38.45,38.5,38.45,38.5,44000
11/29/2018 1:16:00 PM,38.5,38.5,38.45,38.45,1265000
11/29/2018 1:15:00 PM,38.55,38.55,38.45,38.45,88000
11/29/2018 1:14:00 PM,38.5,38.55,38.5,38.55,33000
11/29/2018 1:13:00 PM,38.5,38.5,38.5,38.5,66000
11/29/2018 1:12:00 PM,38.5,38.5,38.5,38.5,11000
11/29/2018 1:11:00 PM,38.55,38.55,38.5,38.5,33000
11/29/2018 1:10:00 PM,38.45,38.55,38.45,38.55,55000
11/29/2018 1:09:00 PM,38.5,38.5,38.45,38.5,44000
11/29/2018 1:08:00 PM,38.45,38.5,38.45,38.5,55000
11/29/2018 1:07:00 PM,38.5,38.5,38.45,38.45,44000
11/29/2018 1:06:00 PM,38.5,38.5,38.5,38.5,55000
11/29/2018 1:05:00 PM,38.5,38.5,38.45,38.45,55000
11/29/2018 1:04:00 PM,38.5,38.5,38.5,38.5,0
11/29/2018 1:03:00 PM,38.5,38.5,38.5,38.5,33000
11/29/2018 1:02:00 PM,38.5,38.5,38.5,38.5,33000
11/29/2018 1:01:00 PM,38.5,38.5,38.5,38.5,44000
11/29/2018 1:00:00 PM,38.5,38.5,38.5,38.5,66000
11/29/2018 12:59:00 PM,38.5,38.55,38.5,38.5,55000
11/29/2018 12:58:00 PM,38.5,38.5,38.5,38.5,66000
11/29/2018 12:57:00 PM,38.55,38.55,38.5,38.5,121000
11/29/2018 12:56:00 PM,38.5,38.55,38.5,38.55,121000
11/29/2018 12:55:00 PM,38.55,38.55,38.5,38.55,88000
11/29/2018 12:54:00 PM,38.5,38.55,38.5,38.55,99000
11/29/2018 12:53:00 PM,38.5,38.5,38.45,38.5,176000
11/29/2018 12:52:00 PM,38.55,38.55,38.5,38.5,99000
11/29/2018 12:51:00 PM,38.5,38.5,38.45,38.5,110000
11/29/2018 12:50:00 PM,38.45,38.5,38.45,38.5,517000
11/29/2018 12:49:00 PM,38.45,38.45,38.45,38.45,22000
11/29/2018 12:48:00 PM,38.4,38.45,38.4,38.45,22000
11/29/2018 12:47:00 PM,38.4,38.4,38.4,38.4,55000
11/29/2018 12:46:00 PM,38.45,38.45,38.4,38.4,33000
11/29/2018 12:45:00 PM,38.45,38.45,38.45,38.45,44000
11/29/2018 12:44:00 PM,38.45,38.45,38.4,38.45,55000
11/29/2018 12:43:00 PM,38.4,38.4,38.4,38.4,44000
11/29/2018 12:42:00 PM,38.4,38.4,38.35,38.4,121000
11/29/2018 12:41:00 PM,38.35,38.4,38.35,38.4,583000
11/29/2018 12:40:00 PM,38.3,38.35,38.3,38.35,1584000
11/29/2018 12:39:00 PM,38.3,38.3,38.3,38.3,22000
11/29/2018 12:38:00 PM,38.3,38.3,38.3,38.3,33000
11/29/2018 12:37:00 PM,38.3,38.35,38.3,38.35,1012000
11/29/2018 12:36:00 PM,38.3,38.35,38.3,38.3,77000
11/29/2018 12:35:00 PM,38.35,38.35,38.3,38.3,187000
11/29/2018 12:34:00 PM,38.35,38.35,38.35,38.35,33000
11/29/2018 12:33:00 PM,38.3,38.3,38.3,38.3,0
11/29/2018 12:32:00 PM,38.3,38.3,38.3,38.3,33000
11/29/2018 12:31:00 PM,38.35,38.35,38.3,38.3,44000
11/29/2018 12:30:00 PM,38.35,38.35,38.35,38.35,121000
11/29/2018 12:29:00 PM,38.4,38.4,38.35,38.35,77000
11/29/2018 12:28:00 PM,38.45,38.45,38.4,38.4,44000
11/29/2018 12:27:00 PM,38.45,38.45,38.45,38.45,1551000
11/29/2018 12:26:00 PM,38.45,38.45,38.4,38.45,55000
11/29/2018 12:25:00 PM,38.45,38.45,38.45,38.45,44000
11/29/2018 12:24:00 PM,38.45,38.45,38.45,38.45,55000
11/29/2018 12:23:00 PM,38.45,38.45,38.45,38.45,22000
11/29/2018 12:22:00 PM,38.45,38.45,38.45,38.45,22000
11/29/2018 12:21:00 PM,38.45,38.45,38.45,38.45,1232000
11/29/2018 12:20:00 PM,38.45,38.45,38.4,38.45,33000
11/29/2018 12:19:00 PM,38.4,38.45,38.4,38.45,99000
11/29/2018 12:18:00 PM,38.4,38.4,38.4,38.4,11000
11/29/2018 12:17:00 PM,38.4,38.4,38.4,38.4,33000
11/29/2018 12:16:00 PM,38.4,38.4,38.4,38.4,22000
11/29/2018 12:15:00 PM,38.4,38.4,38.4,38.4,33000
11/29/2018 12:14:00 PM,38.35,38.4,38.35,38.4,44000
11/29/2018 12:13:00 PM,38.3,38.3,38.3,38.3,11000
11/29/2018 12:12:00 PM,38.25,38.3,38.25,38.3,44000
11/29/2018 12:11:00 PM,38.25,38.25,38.25,38.25,55000
11/29/2018 12:10:00 PM,38.3,38.3,38.2,38.2,374000
11/29/2018 12:09:00 PM,38.3,38.35,38.3,38.3,187000
11/29/2018 12:08:00 PM,38.3,38.3,38.3,38.3,88000
11/29/2018 12:07:00 PM,38.3,38.3,38.3,38.3,11000
11/29/2018 12:06:00 PM,38.3,38.3,38.3,38.3,176000
11/29/2018 12:05:00 PM,38.3,38.3,38.3,38.3,22000
11/29/2018 12:04:00 PM,38.25,38.3,38.25,38.3,22000
11/29/2018 12:03:00 PM,38.25,38.25,38.25,38.25,22000
11/29/2018 12:02:00 PM,38.3,38.3,38.2,38.25,308000
11/29/2018 12:01:00 PM,38.25,38.3,38.25,38.25,264000
11/29/2018 12:00:00 PM,38.25,38.25,38.25,38.25,231000
11/29/2018 11:59:00 AM,38.25,38.25,38.25,38.25,110000
11/29/2018 11:58:00 AM,38.25,38.25,38.2,38.2,55000
11/29/2018 11:57:00 AM,38.2,38.25,38.2,38.25,44000
11/29/2018 11:56:00 AM,38.3,38.3,38.2,38.2,121000
11/29/2018 11:55:00 AM,38.25,38.3,38.2,38.3,198000
11/29/2018 11:54:00 AM,38.25,38.25,38.25,38.25,209000
11/29/2018 11:53:00 AM,38.25,38.25,38.25,38.25,11000
11/29/2018 11:52:00 AM,38.25,38.25,38.2,38.25,231000
11/29/2018 11:51:00 AM,38.2,38.25,38.2,38.25,33000
11/29/2018 11:50:00 AM,38.25,38.25,38.2,38.2,44000
11/29/2018 11:49:00 AM,38.25,38.25,38.25,38.25,88000
11/29/2018 11:48:00 AM,38.2,38.25,38.2,38.2,319000
11/29/2018 11:47:00 AM,38.25,38.25,38.2,38.2,165000
11/29/2018 11:46:00 AM,38.25,38.3,38.25,38.25,198000
11/29/2018 11:45:00 AM,38.25,38.25,38.25,38.25,77000
11/29/2018 11:44:00 AM,38.25,38.3,38.25,38.25,66000
11/29/2018 11:43:00 AM,38.2,38.25,38.2,38.25,121000
11/29/2018 11:42:00 AM,38.2,38.2,38.2,38.2,121000
11/29/2018 11:41:00 AM,38.2,38.2,38.15,38.2,198000
11/29/2018 11:40:00 AM,38.2,38.2,38.2,38.2,22000
11/29/2018 11:39:00 AM,38.15,38.2,38.15,38.2,143000
11/29/2018 11:38:00 AM,38.15,38.15,38.15,38.15,22000
11/29/2018 11:37:00 AM,38.15,38.15,38.15,38.15,55000
11/29/2018 11:36:00 AM,38.15,38.15,38.15,38.15,33000
11/29/2018 11:35:00 AM,38.15,38.15,38.15,38.15,44000
11/29/2018 11:34:00 AM,38.2,38.2,38.15,38.15,187000
11/29/2018 11:33:00 AM,38.15,38.2,38.15,38.2,44000
11/29/2018 11:32:00 AM,38.2,38.2,38.15,38.15,55000
11/29/2018 11:31:00 AM,38.2,38.2,38.15,38.2,110000
11/29/2018 11:30:00 AM,38.2,38.25,38.2,38.2,352000
11/29/2018 11:29:00 AM,38.2,38.2,38.2,38.2,99000
11/29/2018 11:28:00 AM,38.2,38.3,38.2,38.3,99000
11/29/2018 11:27:00 AM,38.3,38.3,38.3,38.3,11000
11/29/2018 11:26:00 AM,38.3,38.3,38.3,38.3,55000
11/29/2018 11:25:00 AM,38.25,38.25,38.25,38.25,198000
11/29/2018 11:24:00 AM,38.3,38.3,38.25,38.25,33000
11/29/2018 11:23:00 AM,38.25,38.3,38.25,38.3,330000
11/29/2018 11:22:00 AM,38.25,38.25,38.25,38.25,11000
11/29/2018 11:21:00 AM,38.3,38.3,38.25,38.25,22000
11/29/2018 11:20:00 AM,38.3,38.3,38.3,38.3,66000
11/29/2018 11:19:00 AM,38.35,38.35,38.3,38.3,528000
11/29/2018 11:18:00 AM,38.35,38.35,38.35,38.35,99000
11/29/2018 11:17:00 AM,38.35,38.35,38.35,38.35,44000
11/29/2018 11:16:00 AM,38.3,38.35,38.3,38.35,44000
11/29/2018 11:15:00 AM,38.25,38.3,38.25,38.25,77000
11/29/2018 11:14:00 AM,38.3,38.3,38.25,38.25,88000
11/29/2018 11:13:00 AM,38.3,38.3,38.3,38.3,11000
11/29/2018 11:12:00 AM,38.3,38.35,38.3,38.3,44000
11/29/2018 11:11:00 AM,38.3,38.3,38.3,38.3,33000
11/29/2018 11:10:00 AM,38.25,38.3,38.25,38.3,286000
11/29/2018 11:09:00 AM,38.35,38.35,38.25,38.25,110000
11/29/2018 11:08:00 AM,38.35,38.35,38.35,38.35,11000
11/29/2018 11:07:00 AM,38.35,38.35,38.35,38.35,0
11/29/2018 11:06:00 AM,38.35,38.35,38.35,38.35,143000
11/29/2018 11:05:00 AM,38.3,38.35,38.3,38.35,154000
11/29/2018 11:04:00 AM,38.35,38.35,38.3,38.3,330000
11/29/2018 11:03:00 AM,38.4,38.4,38.35,38.35,88000
11/29/2018 11:02:00 AM,38.4,38.4,38.35,38.4,33000
11/29/2018 11:01:00 AM,38.4,38.4,38.4,38.4,33000
11/29/2018 11:00:00 AM,38.4,38.4,38.35,38.4,44000
11/29/2018 10:59:00 AM,38.45,38.45,38.4,38.4,297000
11/29/2018 10:58:00 AM,38.45,38.45,38.4,38.45,484000
11/29/2018 10:57:00 AM,38.45,38.5,38.4,38.45,77000
11/29/2018 10:56:00 AM,38.4,38.45,38.4,38.45,66000
11/29/2018 10:55:00 AM,38.35,38.4,38.35,38.4,209000
11/29/2018 10:54:00 AM,38.35,38.35,38.3,38.35,77000
11/29/2018 10:53:00 AM,38.3,38.3,38.3,38.3,44000
11/29/2018 10:52:00 AM,38.4,38.4,38.25,38.3,517000
11/29/2018 10:51:00 AM,38.45,38.45,38.4,38.4,33000
11/29/2018 10:50:00 AM,38.45,38.45,38.45,38.45,0
11/29/2018 10:49:00 AM,38.45,38.45,38.45,38.45,44000
11/29/2018 10:48:00 AM,38.5,38.5,38.45,38.5,55000
11/29/2018 10:47:00 AM,38.45,38.45,38.45,38.45,264000
11/29/2018 10:46:00 AM,38.45,38.45,38.45,38.45,55000
11/29/2018 10:45:00 AM,38.5,38.5,38.45,38.45,55000
11/29/2018 10:44:00 AM,38.5,38.5,38.5,38.5,44000
