Date,AXISBANK18DECFUT O,AXISBANK18DECFUT H,AXISBANK18DECFUT L,AXISBANK18DECFUT C,AXISBANK18DECFUT V
11/29/2018 3:29:00 PM,632.25,632.35,631.7,631.7,67200
11/29/2018 3:28:00 PM,632.1,632.5,632.05,632.25,80400
11/29/2018 3:27:00 PM,632.5,632.5,632.05,632.1,64800
11/29/2018 3:26:00 PM,632.3,632.5,632.25,632.45,139200
11/29/2018 3:25:00 PM,632.5,632.5,632.2,632.35,50400
11/29/2018 3:24:00 PM,632.05,632.5,632.05,632.5,62400
11/29/2018 3:23:00 PM,632.9,632.9,632.05,632.2,105600
11/29/2018 3:22:00 PM,632.5,632.85,632.45,632.8,43200
11/29/2018 3:21:00 PM,632,632.55,632,632.5,66000
11/29/2018 3:20:00 PM,631.75,632.15,631.75,632,49200
11/29/2018 3:19:00 PM,631.55,631.85,631.4,631.75,99600
11/29/2018 3:18:00 PM,631.8,631.8,631.25,631.4,91200
11/29/2018 3:17:00 PM,632.05,632.45,631.8,631.8,70800
11/29/2018 3:16:00 PM,632.1,632.35,631.9,632.15,58800
11/29/2018 3:15:00 PM,631.6,632.2,631.6,632.1,68400
11/29/2018 3:14:00 PM,631.9,632,631.45,631.85,49200
11/29/2018 3:13:00 PM,631.85,631.95,631.5,631.9,44400
11/29/2018 3:12:00 PM,631.95,632.1,631.7,631.85,82800
11/29/2018 3:11:00 PM,632.1,632.2,631.4,631.7,76800
11/29/2018 3:10:00 PM,632.3,632.65,632,632.1,118800
11/29/2018 3:09:00 PM,632.6,632.7,632.3,632.3,62400
11/29/2018 3:08:00 PM,633.4,633.7,632.55,632.6,79200
11/29/2018 3:07:00 PM,631.65,633.9,631.5,633.4,295200
11/29/2018 3:06:00 PM,631.25,631.7,631.05,631.65,54000
11/29/2018 3:05:00 PM,631.45,631.9,631.25,631.25,63600
11/29/2018 3:04:00 PM,630.25,631.45,630.2,631.45,84000
11/29/2018 3:03:00 PM,631.6,631.8,630.05,630.25,58800
11/29/2018 3:02:00 PM,632.3,632.4,631.6,631.6,69600
11/29/2018 3:01:00 PM,631.75,632.4,631.75,632.3,157200
11/29/2018 3:00:00 PM,631,631.65,630.65,631.55,73200
11/29/2018 2:59:00 PM,630.65,631.15,630.65,631,34800
11/29/2018 2:58:00 PM,631.45,631.45,630.9,630.9,43200
11/29/2018 2:57:00 PM,630.65,631.45,630.65,631.45,33600
11/29/2018 2:56:00 PM,630.3,630.65,630.1,630.65,61200
11/29/2018 2:55:00 PM,630.55,630.85,630.1,630.3,33600
11/29/2018 2:54:00 PM,630.65,631.2,630.55,630.55,64800
11/29/2018 2:53:00 PM,630.25,630.9,630.25,630.65,86400
11/29/2018 2:52:00 PM,630,630.25,629.6,630.25,38400
11/29/2018 2:51:00 PM,629.75,630.2,629.7,630.2,48000
11/29/2018 2:50:00 PM,629.4,630.2,629.4,629.75,34800
11/29/2018 2:49:00 PM,629.45,629.8,629.4,629.4,34800
11/29/2018 2:48:00 PM,629.15,629.45,629.05,629.45,13200
11/29/2018 2:47:00 PM,629.55,629.65,629.15,629.15,24000
11/29/2018 2:46:00 PM,629.55,630,629.35,629.75,38400
11/29/2018 2:45:00 PM,629.2,629.9,628.7,629.55,39600
11/29/2018 2:44:00 PM,628.85,629.3,628.7,629.2,37200
11/29/2018 2:43:00 PM,628.7,628.95,628.6,628.85,51600
11/29/2018 2:42:00 PM,629,629.15,628.4,628.4,21600
11/29/2018 2:41:00 PM,629.75,629.85,629,629,97200
11/29/2018 2:40:00 PM,629,630.1,629,629.75,73200
11/29/2018 2:39:00 PM,628.1,629.1,628.1,629,100800
11/29/2018 2:38:00 PM,628.75,628.75,628.1,628.1,18000
11/29/2018 2:37:00 PM,628.65,628.7,628.25,628.4,39600
11/29/2018 2:36:00 PM,628.35,628.75,628.35,628.75,18000
11/29/2018 2:35:00 PM,628,628.55,628,628.35,86400
11/29/2018 2:34:00 PM,628.25,628.5,627.55,628,60000
11/29/2018 2:33:00 PM,628.15,628.45,628.1,628.3,37200
11/29/2018 2:32:00 PM,628.15,628.4,627.85,628.15,106800
11/29/2018 2:31:00 PM,627.25,628.15,626.95,628.15,55200
11/29/2018 2:30:00 PM,626.75,627.35,626.15,627.25,134400
11/29/2018 2:29:00 PM,625.9,626.8,625.9,626.7,55200
11/29/2018 2:28:00 PM,626.45,626.45,625.9,625.9,28800
11/29/2018 2:27:00 PM,626.1,626.45,625.9,626.45,31200
11/29/2018 2:26:00 PM,626.05,626.4,625.75,626,57600
11/29/2018 2:25:00 PM,626.15,626.3,625.75,626.05,96000
11/29/2018 2:24:00 PM,627.65,627.65,626.15,626.15,112800
11/29/2018 2:23:00 PM,627.9,628.35,627.5,627.5,46800
11/29/2018 2:22:00 PM,627.85,628.3,627.85,627.9,19200
11/29/2018 2:21:00 PM,627.85,628.5,627.75,627.85,49200
11/29/2018 2:20:00 PM,628.05,628.2,627.5,627.85,36000
11/29/2018 2:19:00 PM,629.25,629.45,628,628.05,84000
11/29/2018 2:18:00 PM,630.35,630.4,629.15,629.35,78000
11/29/2018 2:17:00 PM,630.25,630.4,629.75,630.35,115200
11/29/2018 2:16:00 PM,629.65,630.4,629.65,630.2,108000
11/29/2018 2:15:00 PM,630.3,630.3,629.6,629.7,94800
11/29/2018 2:14:00 PM,630.55,630.8,629.75,630.3,133200
11/29/2018 2:13:00 PM,629.3,630.95,629.3,630.6,169200
11/29/2018 2:12:00 PM,628.65,629.45,628.25,629.3,106800
11/29/2018 2:11:00 PM,628.35,628.8,628.05,628.65,64800
11/29/2018 2:10:00 PM,627.85,628.5,627.85,628.2,38400
11/29/2018 2:09:00 PM,627.75,628.05,627.75,627.85,16800
11/29/2018 2:08:00 PM,628.25,628.3,627.5,628.15,49200
11/29/2018 2:07:00 PM,628.45,628.65,627.95,627.95,39600
11/29/2018 2:06:00 PM,628.2,628.45,627.85,628.45,40800
11/29/2018 2:05:00 PM,628.6,628.65,628,628.2,58800
11/29/2018 2:04:00 PM,628.25,628.55,628,628.55,36000
11/29/2018 2:03:00 PM,627.4,628.4,627.1,628.4,73200
11/29/2018 2:02:00 PM,627.2,627.4,626.75,627.4,44400
11/29/2018 2:01:00 PM,626.45,627.25,626.45,627.2,63600
11/29/2018 2:00:00 PM,626.7,626.7,626.3,626.45,58800
11/29/2018 1:59:00 PM,627,627,626.5,626.7,26400
11/29/2018 1:58:00 PM,627.1,627.35,627,627,25200
11/29/2018 1:57:00 PM,627.1,627.3,627.1,627.1,22800
11/29/2018 1:56:00 PM,627.65,627.65,626.9,626.95,31200
11/29/2018 1:55:00 PM,628.3,628.65,627.25,627.65,133200
11/29/2018 1:54:00 PM,628.45,628.75,628.2,628.3,27600
11/29/2018 1:53:00 PM,628.35,628.75,628.2,628.45,28800
11/29/2018 1:52:00 PM,628.45,628.5,628.05,628.35,54000
11/29/2018 1:51:00 PM,629.25,629.25,628.3,628.45,39600
11/29/2018 1:50:00 PM,629.05,629.65,628.85,629.4,75600
11/29/2018 1:49:00 PM,628.75,629.25,628.45,629.25,76800
11/29/2018 1:48:00 PM,628.95,629.6,628.8,628.8,34800
11/29/2018 1:47:00 PM,627.65,630.1,627.65,628.95,385200
11/29/2018 1:46:00 PM,627.2,627.65,626.95,627.65,36000
11/29/2018 1:45:00 PM,627.05,627.2,626.65,627.15,39600
11/29/2018 1:44:00 PM,626.5,627.05,626.35,627.05,28800
11/29/2018 1:43:00 PM,626.75,626.75,626.5,626.5,6000
11/29/2018 1:42:00 PM,627,627.15,626.6,626.75,31200
11/29/2018 1:41:00 PM,627.05,627.45,627,627,20400
11/29/2018 1:40:00 PM,627,627.35,626.85,627.05,12000
11/29/2018 1:39:00 PM,627,627.5,626.9,627,38400
11/29/2018 1:38:00 PM,627.25,627.25,626.8,627,14400
11/29/2018 1:37:00 PM,627,627.4,627,627.25,22800
11/29/2018 1:36:00 PM,627.1,627.35,627,627,16800
11/29/2018 1:35:00 PM,626.95,627.35,626.95,627.1,27600
11/29/2018 1:34:00 PM,627.15,627.4,626.95,626.95,13200
11/29/2018 1:33:00 PM,626.85,627.15,626.7,627.15,15600
11/29/2018 1:32:00 PM,627.1,627.1,626.5,626.85,25200
11/29/2018 1:31:00 PM,627,627.4,626.95,627.1,14400
11/29/2018 1:30:00 PM,627.25,627.6,627,627,63600
