Date,NIFTY18NOV10950PE O,NIFTY18NOV10950PE H,NIFTY18NOV10950PE L,NIFTY18NOV10950PE C,NIFTY18NOV10950PE V
11/29/2018 3:29:00 PM,90.8,90.8,83.85,89.8,2400
11/29/2018 3:28:00 PM,90.05,91.05,90.05,91,525
11/29/2018 3:27:00 PM,90.05,90.05,90.05,90.05,0
11/29/2018 3:26:00 PM,87.75,90.05,87.75,90.05,75
11/29/2018 3:25:00 PM,87.05,87.75,86.2,87.75,1500
11/29/2018 3:24:00 PM,86.35,87.05,86.35,87.05,750
11/29/2018 3:23:00 PM,86.5,86.55,86.35,86.35,150
11/29/2018 3:22:00 PM,86.55,86.55,86.5,86.5,600
11/29/2018 3:21:00 PM,84.85,86,84.85,85.75,1200
11/29/2018 3:20:00 PM,85.95,86.4,85,85,5625
11/29/2018 3:19:00 PM,85.05,85.6,84.7,85.6,1800
11/29/2018 3:18:00 PM,86.4,86.8,85.05,85.05,2100
11/29/2018 3:17:00 PM,86.45,86.45,86.35,86.4,225
11/29/2018 3:16:00 PM,86.45,86.45,86.45,86.45,0
11/29/2018 3:15:00 PM,86.4,86.6,86.35,86.45,1650
11/29/2018 3:14:00 PM,87.7,87.7,86.4,86.4,75
11/29/2018 3:13:00 PM,88.3,88.3,87.7,87.7,150
11/29/2018 3:12:00 PM,88.3,88.3,88.3,88.3,75
11/29/2018 3:11:00 PM,88.75,89.55,87.8,88.05,1200
11/29/2018 3:10:00 PM,88,88.75,87.25,88.75,1200
11/29/2018 3:09:00 PM,90.7,92.95,88,88,750
11/29/2018 3:08:00 PM,90.5,90.9,86,90.7,1500
11/29/2018 3:07:00 PM,86,91.95,84,91.95,9075
11/29/2018 3:06:00 PM,88.85,88.85,85.45,86,375
11/29/2018 3:05:00 PM,82.95,88.85,82.95,88.85,1800
11/29/2018 3:04:00 PM,85,85,82.9,82.95,300
11/29/2018 3:03:00 PM,86,87.1,85,85,450
11/29/2018 3:02:00 PM,81,86,81,86,3600
11/29/2018 3:01:00 PM,79.6,85.95,79.6,80.95,3900
11/29/2018 3:00:00 PM,60.3,80.3,59.7,79.6,22650
11/29/2018 2:59:00 PM,70.5,70.5,68,68,1875
11/29/2018 2:58:00 PM,70.15,71.8,70.15,71.8,900
11/29/2018 2:57:00 PM,72,72,69.6,70.15,1350
11/29/2018 2:56:00 PM,73.8,74.1,71.9,72,6450
11/29/2018 2:55:00 PM,71.5,76,71.4,73.8,2400
11/29/2018 2:54:00 PM,75.1,76,70.45,71.5,5025
11/29/2018 2:53:00 PM,72.25,75.55,72.25,75.1,1050
11/29/2018 2:52:00 PM,70.3,72.85,70.3,72.25,225
11/29/2018 2:51:00 PM,78.3,78.3,70.3,70.3,375
11/29/2018 2:50:00 PM,77.65,79.45,76.25,78.3,2925
11/29/2018 2:49:00 PM,78.65,78.65,77.65,77.65,2400
11/29/2018 2:48:00 PM,78.85,80,78.85,79.55,2325
11/29/2018 2:47:00 PM,78.85,78.85,78.85,78.85,0
11/29/2018 2:46:00 PM,75.5,78.85,75.5,78.85,150
11/29/2018 2:45:00 PM,77.8,77.8,75.5,75.5,525
11/29/2018 2:44:00 PM,81.35,82.55,77.7,77.8,675
11/29/2018 2:43:00 PM,75.25,81.35,75.25,81.35,2775
11/29/2018 2:42:00 PM,75.25,75.25,75.25,75.25,0
11/29/2018 2:41:00 PM,75.2,77,75,75.25,1350
11/29/2018 2:40:00 PM,78.65,78.65,75.2,75.2,1875
11/29/2018 2:39:00 PM,75.9,79.7,75.9,78.65,1575
11/29/2018 2:38:00 PM,78.7,78.7,75.9,75.9,375
11/29/2018 2:37:00 PM,77.3,79.4,77.25,78.7,1725
11/29/2018 2:36:00 PM,79.35,79.35,76,77.2,2175
11/29/2018 2:35:00 PM,82,82.75,78.3,79.35,5700
11/29/2018 2:34:00 PM,76,80.4,75.8,80.4,5475
11/29/2018 2:33:00 PM,75.3,76.25,73.05,76,2550
11/29/2018 2:32:00 PM,77.75,77.75,73,75.3,3300
11/29/2018 2:31:00 PM,76,77.75,76,77.75,75
11/29/2018 2:30:00 PM,72.4,76,72.4,76,1425
11/29/2018 2:29:00 PM,77.55,77.55,72.4,72.4,300
11/29/2018 2:28:00 PM,77,77.55,74.55,77.55,825
11/29/2018 2:27:00 PM,79.75,79.75,76.45,77,2250
11/29/2018 2:26:00 PM,75.5,80.75,74.1,79.75,2925
11/29/2018 2:25:00 PM,72.05,77.75,72.05,75.5,1875
11/29/2018 2:24:00 PM,69.25,72.5,68.55,72.05,4125
11/29/2018 2:23:00 PM,74.65,74.65,69.25,69.25,3075
11/29/2018 2:22:00 PM,72.5,74.65,71.4,74.65,2475
11/29/2018 2:21:00 PM,65,72.5,65,72.5,1125
11/29/2018 2:20:00 PM,71.8,71.8,65,65,3000
11/29/2018 2:19:00 PM,74,74,70.3,71.8,4350
11/29/2018 2:18:00 PM,68.25,73.3,68.25,73.2,2850
11/29/2018 2:17:00 PM,68.05,70.75,68.05,68.05,5175
11/29/2018 2:16:00 PM,73.3,73.3,68.05,68.05,4125
11/29/2018 2:15:00 PM,68.8,74.5,68.8,72.5,1950
11/29/2018 2:14:00 PM,65.55,69,64.1,68.8,3675
11/29/2018 2:13:00 PM,74.2,75.8,63.9,65.55,13575
11/29/2018 2:12:00 PM,82.75,82.75,75.35,75.35,375
11/29/2018 2:11:00 PM,84,84,82.75,82.75,3900
11/29/2018 2:10:00 PM,85,86.35,83.55,84,3675
11/29/2018 2:09:00 PM,87.05,89,86.25,86.25,1950
11/29/2018 2:08:00 PM,88,88.95,87,87.05,2850
11/29/2018 2:07:00 PM,85,88,85,88,375
11/29/2018 2:06:00 PM,85.95,85.95,84.05,85,675
11/29/2018 2:05:00 PM,85.45,86.75,83,85,7425
11/29/2018 2:04:00 PM,80.7,85.45,79.05,85.45,5175
11/29/2018 2:03:00 PM,89.8,89.8,75.5,80.7,4125
11/29/2018 2:02:00 PM,89.6,89.8,89.6,89.8,300
11/29/2018 2:01:00 PM,103.95,103.95,86.25,89.6,4500
11/29/2018 2:00:00 PM,106.15,106.15,103.7,103.95,375
11/29/2018 1:59:00 PM,110.3,110.3,106.15,106.15,225
11/29/2018 1:58:00 PM,109.9,110.3,107.05,110.3,750
11/29/2018 1:57:00 PM,112.15,112.15,109.9,109.9,150
11/29/2018 1:56:00 PM,113.95,113.95,112.15,112.15,75
11/29/2018 1:55:00 PM,109.95,113.95,109.95,113.95,150
11/29/2018 1:54:00 PM,110.05,110.05,107.05,109.95,225
11/29/2018 1:53:00 PM,110.05,110.05,110.05,110.05,0
11/29/2018 1:52:00 PM,112,112,110.05,110.05,300
11/29/2018 1:51:00 PM,107.5,112,107.5,112,1200
11/29/2018 1:50:00 PM,114.5,114.5,107.5,107.5,150
11/29/2018 1:49:00 PM,114.5,114.5,114.5,114.5,0
11/29/2018 1:48:00 PM,108,114.5,108,114.5,525
11/29/2018 1:47:00 PM,119,119,108,108,75
11/29/2018 1:46:00 PM,119,119,119,119,0
11/29/2018 1:45:00 PM,119,119,119,119,0
11/29/2018 1:44:00 PM,119,119,119,119,0
11/29/2018 1:43:00 PM,119,119,119,119,0
11/29/2018 1:42:00 PM,119,119,119,119,0
11/29/2018 1:41:00 PM,119,119,119,119,0
11/29/2018 1:40:00 PM,123.2,123.2,119,119,525
11/29/2018 1:39:00 PM,123.2,123.2,123.2,123.2,0
11/29/2018 1:38:00 PM,112,123.2,112,123.2,150
11/29/2018 1:37:00 PM,112,112,112,112,0
11/29/2018 1:36:00 PM,112,112,112,112,0
11/29/2018 1:35:00 PM,112,112,112,112,0
11/29/2018 1:34:00 PM,112,112,112,112,0
11/29/2018 1:33:00 PM,112,112,112,112,0
11/29/2018 1:32:00 PM,113,113,112,112,600
11/29/2018 1:31:00 PM,124.4,124.4,113,113,525
11/29/2018 1:30:00 PM,124.4,124.4,124.4,124.4,0
11/29/2018 1:29:00 PM,124.4,124.4,124.4,124.4,0
11/29/2018 1:28:00 PM,110,124.4,110,124.4,525
11/29/2018 1:27:00 PM,110,110,110,110,0
11/29/2018 1:26:00 PM,110,110,110,110,0
11/29/2018 1:25:00 PM,110,110,110,110,0
11/29/2018 1:24:00 PM,110,110,110,110,0
11/29/2018 1:23:00 PM,112,112,110,110,225
11/29/2018 1:22:00 PM,112,112,112,112,0
11/29/2018 1:21:00 PM,117,117,112,112,75
11/29/2018 1:20:00 PM,117,117,117,117,0
