Date,BANKNIFTY18NOV26800CE O,BANKNIFTY18NOV26800CE H,BANKNIFTY18NOV26800CE L,BANKNIFTY18NOV26800CE C,BANKNIFTY18NOV26800CE V
11/29/2018 3:29:00 PM,104.85,107.85,101,101,25740
11/29/2018 3:28:00 PM,123.7,124.85,105,105,23300
11/29/2018 3:27:00 PM,123,125.8,123,123,26420
11/29/2018 3:26:00 PM,117.9,123.1,116.75,123.1,17760
11/29/2018 3:25:00 PM,114.55,119.7,114.55,117.9,37960
11/29/2018 3:24:00 PM,113.95,116.75,110,115.55,31480
11/29/2018 3:23:00 PM,104.95,116.75,103.7,112,52100
11/29/2018 3:22:00 PM,111.05,112,104,104.95,39600
11/29/2018 3:21:00 PM,108.25,113.6,108,111.85,29480
11/29/2018 3:20:00 PM,110.15,111.25,107.15,108.1,32760
11/29/2018 3:19:00 PM,104,114,103.35,109.25,66160
11/29/2018 3:18:00 PM,100.05,104.85,98.55,103.7,56420
11/29/2018 3:17:00 PM,93.9,100.25,93.15,100,49440
11/29/2018 3:16:00 PM,97.75,98.25,94.05,94.45,41080
11/29/2018 3:15:00 PM,102,103.9,96,98.2,48600
11/29/2018 3:14:00 PM,93.25,102.45,93.05,102,64720
11/29/2018 3:13:00 PM,89.8,94.8,87.15,92.25,61240
11/29/2018 3:12:00 PM,86.75,91.7,86.75,88.25,71240
11/29/2018 3:11:00 PM,88,88.75,84.2,87.05,41480
11/29/2018 3:10:00 PM,91,92.2,84,87.95,62480
11/29/2018 3:09:00 PM,80.6,92.1,79.5,92.1,74640
11/29/2018 3:08:00 PM,75.1,83.65,75.1,78,85100
11/29/2018 3:07:00 PM,91,92.8,76.15,76.7,78160
11/29/2018 3:06:00 PM,104,104.25,90.3,91.2,84660
11/29/2018 3:05:00 PM,107.55,108,96.35,103.55,60980
11/29/2018 3:04:00 PM,106.15,116.2,104.35,108.35,68400
11/29/2018 3:03:00 PM,115.95,116.7,105.45,105.65,73000
11/29/2018 3:02:00 PM,132.15,135.1,116.15,116.15,49820
11/29/2018 3:01:00 PM,134.55,140.75,125,132.3,56120
11/29/2018 3:00:00 PM,151.3,151.3,126.5,134.3,54340
11/29/2018 2:59:00 PM,127.7,154.65,127.7,150.65,50780
11/29/2018 2:58:00 PM,134.1,135.55,122.3,126.55,17840
11/29/2018 2:57:00 PM,132.4,139,132.05,134.2,31680
11/29/2018 2:56:00 PM,123.8,132,121.25,132,22360
11/29/2018 2:55:00 PM,129.55,130,114.5,123.55,27460
11/29/2018 2:54:00 PM,127.6,132.7,126.75,129.55,17800
11/29/2018 2:53:00 PM,139,139.6,124.4,130.75,36760
