Date,NIFTY18NOV10500CE O,NIFTY18NOV10500CE H,NIFTY18NOV10500CE L,NIFTY18NOV10500CE C,NIFTY18NOV10500CE V
11/29/2018 3:29:00 PM,359,359.1,357.1,357.7,23400
11/29/2018 3:28:00 PM,355,359,355,359,10575
11/29/2018 3:27:00 PM,353.65,355,353,355,2925
11/29/2018 3:26:00 PM,354.5,354.5,353,353.3,5325
11/29/2018 3:25:00 PM,355,356,353.25,354.5,3825
11/29/2018 3:24:00 PM,355,357,353.95,355,1575
11/29/2018 3:23:00 PM,353,355,350.9,355,4500
11/29/2018 3:22:00 PM,353.9,357,353,353,5475
11/29/2018 3:21:00 PM,349,353.9,349,353.9,15600
11/29/2018 3:20:00 PM,349,349,348,349,3375
11/29/2018 3:19:00 PM,345,349.7,345,349,2850
11/29/2018 3:18:00 PM,345,346,344.1,345,3375
11/29/2018 3:17:00 PM,345.9,346.8,345,345,5250
11/29/2018 3:16:00 PM,342.4,345.95,341.5,345.9,1575
11/29/2018 3:15:00 PM,345,345.55,342.15,342.4,13650
11/29/2018 3:14:00 PM,345.5,346,344.5,345,10275
11/29/2018 3:13:00 PM,345,346,344,345.5,11700
11/29/2018 3:12:00 PM,345,345.05,344,344,10650
11/29/2018 3:11:00 PM,344.75,345.5,342.15,345,1875
11/29/2018 3:10:00 PM,344.85,345.75,342.55,344.75,3675
11/29/2018 3:09:00 PM,340,345.95,340,344.85,15150
11/29/2018 3:08:00 PM,342.9,347.05,341,342.6,10725
11/29/2018 3:07:00 PM,350.15,350.2,342.9,342.9,28575
11/29/2018 3:06:00 PM,349.95,350.25,348.45,348.45,13875
11/29/2018 3:05:00 PM,349.05,351.65,349.05,349.95,7800
11/29/2018 3:04:00 PM,349.85,351.55,348,349.05,5925
11/29/2018 3:03:00 PM,345,350,345,349.85,6600
11/29/2018 3:02:00 PM,350,350,345,345,8400
11/29/2018 3:01:00 PM,353,354.25,349.75,350,19050
11/29/2018 3:00:00 PM,368,368,353,353,9375
11/29/2018 2:59:00 PM,364.75,368,363.6,368,8325
11/29/2018 2:58:00 PM,365.8,365.8,362.15,364.45,450
11/29/2018 2:57:00 PM,361,365.8,361,365.8,1050
11/29/2018 2:56:00 PM,361.55,363,360.45,361,1500
11/29/2018 2:55:00 PM,364.05,364.05,361.55,361.55,1350
11/29/2018 2:54:00 PM,362.45,364.05,361,364.05,5850
11/29/2018 2:53:00 PM,360,362.45,360,362.45,4350
11/29/2018 2:52:00 PM,363,363,360,360,2775
11/29/2018 2:51:00 PM,357,363.3,356.2,363.1,5400
11/29/2018 2:50:00 PM,355.05,357,355.05,357,1350
11/29/2018 2:49:00 PM,355.85,356.4,355,355.1,1050
11/29/2018 2:48:00 PM,356.05,356.05,352.45,355.05,4800
11/29/2018 2:47:00 PM,355,356.15,355,356.05,375
11/29/2018 2:46:00 PM,359.7,359.7,353.9,355,3525
11/29/2018 2:45:00 PM,357.35,361.85,357.35,359.7,525
11/29/2018 2:44:00 PM,355,358.3,355,357.35,2400
11/29/2018 2:43:00 PM,357.55,359.9,355,355,1800
11/29/2018 2:42:00 PM,357.2,358.15,357.05,357.55,750
11/29/2018 2:41:00 PM,360.15,360.15,357.2,357.2,225
11/29/2018 2:40:00 PM,356.2,360.15,356.2,360.15,600
11/29/2018 2:39:00 PM,359.1,359.1,356.2,356.2,75
11/29/2018 2:38:00 PM,359.3,359.5,359.1,359.1,1200
11/29/2018 2:37:00 PM,358.9,359.3,358,359.3,750
11/29/2018 2:36:00 PM,355,358.9,355,358.9,1200
11/29/2018 2:35:00 PM,355,355,354.45,355,2475
11/29/2018 2:34:00 PM,361.4,361.4,355,355,3375
11/29/2018 2:33:00 PM,361.4,361.4,361.4,361.4,0
11/29/2018 2:32:00 PM,361.45,363,361.4,361.4,375
11/29/2018 2:31:00 PM,360,362.5,359.55,361.45,3900
11/29/2018 2:30:00 PM,362.75,363.5,360.8,360.8,1050
11/29/2018 2:29:00 PM,359,363,359,362.75,825
11/29/2018 2:28:00 PM,357.7,360.45,357.7,360.45,375
11/29/2018 2:27:00 PM,357.9,360.8,357.7,357.7,450
11/29/2018 2:26:00 PM,360,362.7,357.9,357.9,975
11/29/2018 2:25:00 PM,364.45,364.45,360,360,3000
11/29/2018 2:24:00 PM,365,367,362,364.45,1725
11/29/2018 2:23:00 PM,365,365,363,365,7725
11/29/2018 2:22:00 PM,364.9,367.65,364.85,365,5475
11/29/2018 2:21:00 PM,372,372.9,365,365,3225
11/29/2018 2:20:00 PM,366.6,372,365.25,372,2625
11/29/2018 2:19:00 PM,364,367,363.35,366.6,3900
11/29/2018 2:18:00 PM,368,369.55,364,364,3750
11/29/2018 2:17:00 PM,369,369.95,366.35,368,2400
11/29/2018 2:16:00 PM,364,369,364,369,1725
11/29/2018 2:15:00 PM,369.05,369.05,365,365.35,600
11/29/2018 2:14:00 PM,371.5,373,367.15,369.05,2325
11/29/2018 2:13:00 PM,362.45,373,361.8,371.5,9750
11/29/2018 2:12:00 PM,355.4,362.05,354.65,362.05,1200
11/29/2018 2:11:00 PM,353,355.4,353,355.4,300
11/29/2018 2:10:00 PM,351.55,355.05,350.1,353,3825
11/29/2018 2:09:00 PM,349.85,351.55,349.5,351.55,975
11/29/2018 2:08:00 PM,347.6,349.85,347.15,349.85,1050
11/29/2018 2:07:00 PM,351,351,348.05,348.05,600
11/29/2018 2:06:00 PM,351.65,351.95,351,351,825
11/29/2018 2:05:00 PM,355.75,355.75,351.05,351.65,3300
11/29/2018 2:04:00 PM,358.45,359,353.3,355.75,5700
