Date,BANKNIFTY18NOV26700CE O,BANKNIFTY18NOV26700CE H,BANKNIFTY18NOV26700CE L,BANKNIFTY18NOV26700CE C,BANKNIFTY18NOV26700CE V
11/29/2018 3:29:00 PM,235.05,240.55,235,239,22760
11/29/2018 3:28:00 PM,232.4,237.5,231.25,235.05,14740
11/29/2018 3:27:00 PM,229,232.4,228,232.4,19140
11/29/2018 3:26:00 PM,232.7,232.7,229,230,29200
11/29/2018 3:25:00 PM,233.2,236,230.65,232.75,14160
11/29/2018 3:24:00 PM,230.95,232,229,232,10980
11/29/2018 3:23:00 PM,218.8,232.75,218.8,230.6,16620
11/29/2018 3:22:00 PM,218.9,220.45,218.4,218.8,10660
11/29/2018 3:21:00 PM,218.7,220,217.1,219,9260
11/29/2018 3:20:00 PM,218.95,221.85,216.6,218.7,12620
11/29/2018 3:19:00 PM,208.9,220.55,207.15,218,22880
11/29/2018 3:18:00 PM,200.45,208,200.05,207,22920
11/29/2018 3:17:00 PM,198.25,202,197.25,200,17240
11/29/2018 3:16:00 PM,202.15,202.7,198.25,198.6,14640
11/29/2018 3:15:00 PM,206.6,206.85,201.2,203,11420
11/29/2018 3:14:00 PM,197,205.85,197,205.85,12260
11/29/2018 3:13:00 PM,195,199.75,192.95,198.7,11540
11/29/2018 3:12:00 PM,191.85,197.95,191.25,194.6,9600
11/29/2018 3:11:00 PM,192.9,194,188.55,192.95,10280
11/29/2018 3:10:00 PM,192.7,196,187.55,192,15460
11/29/2018 3:09:00 PM,183.8,195.45,181.15,193.85,13080
11/29/2018 3:08:00 PM,177.3,185.45,177.3,181.35,18740
11/29/2018 3:07:00 PM,194.9,197,176.3,178.75,28340
11/29/2018 3:06:00 PM,210.35,210.35,194,194.9,14060
11/29/2018 3:05:00 PM,213.35,213.35,201.6,210.35,14920
11/29/2018 3:04:00 PM,209.35,220,208.9,213.6,12680
11/29/2018 3:03:00 PM,220.5,220.5,207.55,209.35,21140
11/29/2018 3:02:00 PM,239.25,239.25,221.2,221.65,10660
11/29/2018 3:01:00 PM,241,245,229,239.25,12960
11/29/2018 3:00:00 PM,255.75,255.75,230.6,241,13340
11/29/2018 2:59:00 PM,231,258,231,255,15700
