Date,BANKNIFTY06DEC1826500CE O,BANKNIFTY06DEC1826500CE H,BANKNIFTY06DEC1826500CE L,BANKNIFTY06DEC1826500CE C,BANKNIFTY06DEC1826500CE V
12/3/2018 3:29:00 PM,433.6,437.4,431.95,436.65,5320
12/3/2018 3:28:00 PM,435.7,437.35,434.65,437,3980
12/3/2018 3:27:00 PM,432.3,436.55,432.3,435.7,4640
12/3/2018 3:26:00 PM,432,432.3,431.55,432.3,6520
12/3/2018 3:25:00 PM,433.45,433.45,430.7,432,2980
12/3/2018 3:24:00 PM,432.2,434,431.1,433.45,580
12/3/2018 3:23:00 PM,433.8,435.35,431.05,432.2,1420
12/3/2018 3:22:00 PM,436.75,437.95,431.45,433.8,760
12/3/2018 3:21:00 PM,438.75,438.75,434.9,436.75,1620
12/3/2018 3:20:00 PM,438.2,440,436,438.75,1800
12/3/2018 3:19:00 PM,438.95,438.95,436,438.05,980
12/3/2018 3:18:00 PM,439.4,439.8,437.05,438.95,240
12/3/2018 3:17:00 PM,441.85,441.85,437.8,439.4,520
12/3/2018 3:16:00 PM,438.85,442.9,438.85,441.85,460
12/3/2018 3:15:00 PM,439.5,443.95,438.85,438.85,760
12/3/2018 3:14:00 PM,435.35,440,435.35,439.5,440
12/3/2018 3:13:00 PM,433,435.35,433,435.35,300
12/3/2018 3:12:00 PM,434.65,434.65,433,433,120
12/3/2018 3:11:00 PM,434.2,436,432,434.65,380
12/3/2018 3:10:00 PM,435,435,431.1,434.2,240
12/3/2018 3:09:00 PM,437.7,437.7,435,435,80
12/3/2018 3:08:00 PM,440.15,441.05,440,440,380
12/3/2018 3:07:00 PM,435,440.85,435,440.15,80
12/3/2018 3:06:00 PM,434.25,438.15,434.25,435,880
12/3/2018 3:05:00 PM,429.6,434.25,429.6,434.25,100
12/3/2018 3:04:00 PM,435,439.15,429.6,429.6,320
12/3/2018 3:03:00 PM,429.55,435,428,435,340
12/3/2018 3:02:00 PM,442.65,442.65,429.55,429.55,40
12/3/2018 3:01:00 PM,442.65,442.65,442.65,442.65,40
12/3/2018 3:00:00 PM,448.75,448.75,446.05,446.05,60
12/3/2018 2:59:00 PM,430,448.75,430,448.75,180
12/3/2018 2:58:00 PM,430,430,430,430,0
12/3/2018 2:57:00 PM,429,430,429,430,300
12/3/2018 2:56:00 PM,433.45,433.45,429,429,80
12/3/2018 2:55:00 PM,433.45,433.45,433.45,433.45,0
12/3/2018 2:54:00 PM,427.85,433.45,427.85,433.45,40
12/3/2018 2:53:00 PM,430.6,430.6,426.6,427.85,40
12/3/2018 2:52:00 PM,438,438,430.6,430.6,160
12/3/2018 2:51:00 PM,440.3,440.3,438,438,120
12/3/2018 2:50:00 PM,435.65,442,435.65,440.3,60
12/3/2018 2:49:00 PM,426.25,435.65,426.25,435.65,200
12/3/2018 2:48:00 PM,426.25,426.25,426.25,426.25,0
12/3/2018 2:47:00 PM,429.85,429.85,426.25,426.25,60
12/3/2018 2:46:00 PM,430,430,429.85,429.85,40
12/3/2018 2:45:00 PM,426.65,432,426.65,430,1600
12/3/2018 2:44:00 PM,426.65,426.65,426.65,426.65,0
12/3/2018 2:43:00 PM,424.45,426.65,420,426.65,1560
12/3/2018 2:42:00 PM,435.95,435.95,420,424.45,80
12/3/2018 2:41:00 PM,435.95,435.95,435.95,435.95,0
12/3/2018 2:40:00 PM,435.95,435.95,435.95,435.95,0
12/3/2018 2:39:00 PM,430,435.95,430,435.95,140
12/3/2018 2:38:00 PM,430,430,429.7,430,60
12/3/2018 2:37:00 PM,433.6,433.6,424.85,430,100
12/3/2018 2:36:00 PM,442.6,442.6,433.6,433.6,40
12/3/2018 2:35:00 PM,438,442.6,438,442.6,180
12/3/2018 2:34:00 PM,434.2,438,434.2,438,780
12/3/2018 2:33:00 PM,435.8,438,434.2,434.2,320
12/3/2018 2:32:00 PM,435.3,435.8,430.6,435.8,80
12/3/2018 2:31:00 PM,428.95,435.3,428.95,435.3,40
12/3/2018 2:30:00 PM,415.5,430.9,415.5,428.95,360
12/3/2018 2:29:00 PM,424.05,424.05,412.85,415.5,340
12/3/2018 2:28:00 PM,427.15,427.2,417.45,424.05,1180
12/3/2018 2:27:00 PM,431.35,431.35,425.5,427.15,60
12/3/2018 2:26:00 PM,432.45,432.45,429.9,431.35,120
12/3/2018 2:25:00 PM,441.2,441.2,431.35,432.45,520
12/3/2018 2:24:00 PM,441.2,441.2,441.2,441.2,0
12/3/2018 2:23:00 PM,444.75,444.75,441.2,441.2,80
12/3/2018 2:22:00 PM,448.95,448.95,442.7,444.75,60
12/3/2018 2:21:00 PM,449.75,449.95,448.1,448.95,120
12/3/2018 2:20:00 PM,450.8,450.8,449.75,449.75,20
12/3/2018 2:19:00 PM,450.8,450.8,450.8,450.8,0
12/3/2018 2:18:00 PM,445.05,456.4,445.05,450.8,340
12/3/2018 2:17:00 PM,447.2,447.2,445.05,445.05,160
12/3/2018 2:16:00 PM,443.95,447.1,443.95,447.1,380
12/3/2018 2:15:00 PM,443,446,432.55,443.95,220
12/3/2018 2:14:00 PM,431.35,443,431.35,443,20
12/3/2018 2:13:00 PM,436.5,436.5,431.35,431.35,40
12/3/2018 2:12:00 PM,438.6,438.6,436.5,436.5,80
12/3/2018 2:11:00 PM,450,450,438.6,438.6,80
12/3/2018 2:10:00 PM,449.15,450,443.9,450,320
12/3/2018 2:09:00 PM,437,449.15,437,449.15,120
12/3/2018 2:08:00 PM,435.55,437,435.55,437,100
12/3/2018 2:07:00 PM,436.75,436.75,429.4,435.55,180
12/3/2018 2:06:00 PM,440.1,440.1,436.75,436.75,80
12/3/2018 2:05:00 PM,430,441.8,430,440.1,300
12/3/2018 2:04:00 PM,429.85,430,429.55,430,80
12/3/2018 2:03:00 PM,439,439,429.85,429.85,1100
12/3/2018 2:02:00 PM,439.15,439.15,439,439,220
12/3/2018 2:01:00 PM,436.05,441.15,433.6,438.9,720
12/3/2018 2:00:00 PM,454.15,454.6,436.05,436.05,600
12/3/2018 1:59:00 PM,458,458,454.15,454.15,20
12/3/2018 1:58:00 PM,457.7,458,457.35,458,40
12/3/2018 1:57:00 PM,465,468,457.7,457.7,760
12/3/2018 1:56:00 PM,465.2,465.2,464.4,465,1200
12/3/2018 1:55:00 PM,457.8,465.2,457.8,465.2,80
12/3/2018 1:54:00 PM,457.8,457.8,457.8,457.8,0
12/3/2018 1:53:00 PM,457.95,457.95,457.8,457.8,20
12/3/2018 1:52:00 PM,459.7,459.7,456.2,457.95,460
