Date,USDINR18DEC70CE O,USDINR18DEC70CE H,USDINR18DEC70CE L,USDINR18DEC70CE C,USDINR18DEC70CE V
12/3/2018 4:59:00 PM,0.96,0.9825,0.9575,0.9825,1631
12/3/2018 4:58:00 PM,0.96,0.96,0.96,0.96,2928
12/3/2018 4:57:00 PM,0.9575,0.96,0.9575,0.96,1092
12/3/2018 4:56:00 PM,0.96,0.96,0.9575,0.9575,37
12/3/2018 4:55:00 PM,0.9525,0.96,0.945,0.96,413
12/3/2018 4:54:00 PM,0.9475,0.96,0.94,0.955,1236
12/3/2018 4:53:00 PM,0.96,0.96,0.9425,0.9475,762
12/3/2018 4:52:00 PM,0.96,0.96,0.96,0.96,0
12/3/2018 4:51:00 PM,0.965,0.965,0.955,0.96,116
12/3/2018 4:50:00 PM,0.9675,0.97,0.965,0.965,144
12/3/2018 4:49:00 PM,0.9525,0.9675,0.9525,0.9675,154
12/3/2018 4:48:00 PM,0.95,0.9525,0.95,0.9525,1
12/3/2018 4:47:00 PM,0.97,0.97,0.95,0.95,17
12/3/2018 4:46:00 PM,0.97,0.97,0.97,0.97,0
12/3/2018 4:45:00 PM,0.96,0.9725,0.96,0.97,13
12/3/2018 4:44:00 PM,0.96,0.96,0.96,0.96,0
12/3/2018 4:43:00 PM,0.965,0.965,0.96,0.96,24
12/3/2018 4:42:00 PM,0.9525,0.965,0.9525,0.965,4
12/3/2018 4:41:00 PM,0.99,0.99,0.9525,0.9525,161
12/3/2018 4:40:00 PM,0.9675,0.995,0.9675,0.99,150
12/3/2018 4:39:00 PM,0.9625,0.9825,0.9625,0.9675,2206
12/3/2018 4:38:00 PM,0.95,0.9625,0.95,0.9625,31
12/3/2018 4:37:00 PM,0.955,0.955,0.95,0.95,10
12/3/2018 4:36:00 PM,0.9675,0.9675,0.9525,0.955,98
12/3/2018 4:35:00 PM,0.96,0.9675,0.955,0.9675,146
12/3/2018 4:34:00 PM,0.9525,0.9675,0.9525,0.96,455
12/3/2018 4:33:00 PM,0.95,0.9575,0.95,0.9525,211
12/3/2018 4:32:00 PM,0.9375,0.95,0.9325,0.95,674
12/3/2018 4:31:00 PM,0.925,0.9375,0.925,0.9375,10
12/3/2018 4:30:00 PM,0.92,0.9325,0.92,0.925,56
12/3/2018 4:29:00 PM,0.92,0.92,0.92,0.92,0
12/3/2018 4:28:00 PM,0.915,0.92,0.91,0.92,82
12/3/2018 4:27:00 PM,0.9275,0.9275,0.91,0.915,556
12/3/2018 4:26:00 PM,0.9275,0.9275,0.9275,0.9275,0
12/3/2018 4:25:00 PM,0.915,0.9275,0.915,0.9275,15
12/3/2018 4:24:00 PM,0.915,0.915,0.915,0.915,500
12/3/2018 4:23:00 PM,0.91,0.9125,0.91,0.9125,5
12/3/2018 4:22:00 PM,0.9075,0.91,0.905,0.91,1005
12/3/2018 4:21:00 PM,0.9075,0.9075,0.9075,0.9075,30
12/3/2018 4:20:00 PM,0.895,0.9075,0.895,0.9075,545
12/3/2018 4:19:00 PM,0.895,0.895,0.895,0.895,0
12/3/2018 4:18:00 PM,0.895,0.895,0.895,0.895,0
12/3/2018 4:17:00 PM,0.9025,0.9025,0.895,0.895,281
12/3/2018 4:16:00 PM,0.9175,0.9175,0.9025,0.9025,197
12/3/2018 4:15:00 PM,0.9125,0.9175,0.9125,0.9175,8
12/3/2018 4:14:00 PM,0.9125,0.9125,0.9125,0.9125,1
12/3/2018 4:13:00 PM,0.9225,0.9225,0.9075,0.9125,162
12/3/2018 4:12:00 PM,0.9225,0.9225,0.9225,0.9225,0
12/3/2018 4:11:00 PM,0.9225,0.9225,0.9225,0.9225,0
12/3/2018 4:10:00 PM,0.9275,0.9275,0.9225,0.9225,189
12/3/2018 4:09:00 PM,0.9275,0.9275,0.9275,0.9275,0
12/3/2018 4:08:00 PM,0.9275,0.9275,0.9275,0.9275,0
12/3/2018 4:07:00 PM,0.935,0.935,0.9275,0.9275,88
12/3/2018 4:06:00 PM,0.94,0.94,0.9325,0.935,35
12/3/2018 4:05:00 PM,0.93,0.94,0.93,0.94,459
12/3/2018 4:04:00 PM,0.9225,0.94,0.9225,0.93,927
12/3/2018 4:03:00 PM,0.92,0.93,0.92,0.9225,174
12/3/2018 4:02:00 PM,0.905,0.92,0.9,0.92,63
12/3/2018 4:01:00 PM,0.905,0.91,0.905,0.905,7
12/3/2018 4:00:00 PM,0.9,0.905,0.9,0.905,30
12/3/2018 3:59:00 PM,0.9,0.9,0.9,0.9,1
12/3/2018 3:58:00 PM,0.89,0.905,0.89,0.905,320
12/3/2018 3:57:00 PM,0.875,0.89,0.875,0.89,3
12/3/2018 3:56:00 PM,0.875,0.875,0.875,0.875,4
12/3/2018 3:55:00 PM,0.88,0.88,0.875,0.875,99
12/3/2018 3:54:00 PM,0.88,0.88,0.88,0.88,45
12/3/2018 3:53:00 PM,0.88,0.88,0.88,0.88,0
12/3/2018 3:52:00 PM,0.89,0.89,0.88,0.88,276
12/3/2018 3:51:00 PM,0.865,0.89,0.865,0.89,2316
12/3/2018 3:50:00 PM,0.865,0.865,0.865,0.865,0
12/3/2018 3:49:00 PM,0.88,0.88,0.8625,0.865,21
12/3/2018 3:48:00 PM,0.88,0.88,0.88,0.88,0
12/3/2018 3:47:00 PM,0.88,0.88,0.88,0.88,50
12/3/2018 3:46:00 PM,0.8725,0.88,0.8725,0.88,14
12/3/2018 3:45:00 PM,0.865,0.8725,0.865,0.8725,18
12/3/2018 3:44:00 PM,0.85,0.875,0.85,0.875,546
12/3/2018 3:43:00 PM,0.8375,0.85,0.8375,0.85,673
12/3/2018 3:42:00 PM,0.83,0.8375,0.83,0.8375,576
12/3/2018 3:41:00 PM,0.83,0.83,0.83,0.83,4
12/3/2018 3:40:00 PM,0.83,0.83,0.83,0.83,0
12/3/2018 3:39:00 PM,0.835,0.835,0.83,0.83,126
12/3/2018 3:38:00 PM,0.82,0.835,0.82,0.835,789
12/3/2018 3:37:00 PM,0.8275,0.8275,0.82,0.82,40
12/3/2018 3:36:00 PM,0.8225,0.83,0.8225,0.8275,1172
12/3/2018 3:35:00 PM,0.8225,0.8225,0.8225,0.8225,0
12/3/2018 3:34:00 PM,0.825,0.825,0.8225,0.8225,375
12/3/2018 3:33:00 PM,0.795,0.825,0.795,0.825,282
12/3/2018 3:32:00 PM,0.7975,0.8,0.7925,0.795,213
12/3/2018 3:31:00 PM,0.8075,0.8075,0.7975,0.7975,1306
12/3/2018 3:30:00 PM,0.805,0.8075,0.805,0.8075,577
12/3/2018 3:29:00 PM,0.7925,0.8075,0.7925,0.805,1020
12/3/2018 3:28:00 PM,0.795,0.795,0.7925,0.7925,10
12/3/2018 3:27:00 PM,0.7975,0.7975,0.795,0.795,17
12/3/2018 3:26:00 PM,0.7875,0.7975,0.7875,0.7975,10
12/3/2018 3:25:00 PM,0.7875,0.7875,0.7875,0.7875,0
12/3/2018 3:24:00 PM,0.8025,0.8025,0.7875,0.7875,15
12/3/2018 3:23:00 PM,0.8025,0.8025,0.8025,0.8025,0
12/3/2018 3:22:00 PM,0.8025,0.8025,0.7975,0.8025,130
12/3/2018 3:21:00 PM,0.7925,0.8025,0.7925,0.8025,1
12/3/2018 3:20:00 PM,0.7975,0.7975,0.7925,0.7925,36
12/3/2018 3:19:00 PM,0.7975,0.7975,0.7975,0.7975,0
12/3/2018 3:18:00 PM,0.8125,0.8125,0.7975,0.7975,93
12/3/2018 3:17:00 PM,0.81,0.8125,0.81,0.8125,95
12/3/2018 3:16:00 PM,0.83,0.83,0.81,0.81,5
12/3/2018 3:15:00 PM,0.83,0.83,0.83,0.83,0
12/3/2018 3:14:00 PM,0.83,0.83,0.83,0.83,0
12/3/2018 3:13:00 PM,0.83,0.83,0.83,0.83,0
12/3/2018 3:12:00 PM,0.8325,0.8325,0.83,0.83,50
12/3/2018 3:11:00 PM,0.835,0.8375,0.8325,0.8325,86
12/3/2018 3:10:00 PM,0.835,0.835,0.835,0.835,7
12/3/2018 3:09:00 PM,0.8375,0.8375,0.835,0.835,80
12/3/2018 3:08:00 PM,0.8225,0.8425,0.82,0.8375,154
12/3/2018 3:07:00 PM,0.8325,0.8325,0.82,0.8225,25
12/3/2018 3:06:00 PM,0.8325,0.8325,0.8325,0.8325,0
12/3/2018 3:05:00 PM,0.8325,0.8325,0.8325,0.8325,0
12/3/2018 3:04:00 PM,0.8225,0.8325,0.8225,0.8325,20
12/3/2018 3:03:00 PM,0.8225,0.8225,0.8225,0.8225,20
12/3/2018 3:02:00 PM,0.8275,0.8325,0.8275,0.83,70
12/3/2018 3:01:00 PM,0.8325,0.8325,0.8225,0.8275,420
12/3/2018 3:00:00 PM,0.825,0.84,0.825,0.8325,476
12/3/2018 2:59:00 PM,0.815,0.825,0.815,0.825,174
12/3/2018 2:58:00 PM,0.815,0.815,0.815,0.815,19
12/3/2018 2:57:00 PM,0.82,0.82,0.815,0.815,41
12/3/2018 2:56:00 PM,0.8225,0.8225,0.82,0.82,67
12/3/2018 2:55:00 PM,0.81,0.8225,0.81,0.8225,231
12/3/2018 2:54:00 PM,0.8025,0.81,0.8025,0.81,20
12/3/2018 2:53:00 PM,0.79,0.8025,0.79,0.8025,80
12/3/2018 2:52:00 PM,0.7925,0.7925,0.79,0.79,91
12/3/2018 2:51:00 PM,0.7825,0.7975,0.7825,0.7925,468
12/3/2018 2:50:00 PM,0.78,0.7825,0.78,0.7825,1
12/3/2018 2:49:00 PM,0.77,0.78,0.77,0.78,67
12/3/2018 2:48:00 PM,0.77,0.77,0.77,0.77,0
12/3/2018 2:47:00 PM,0.77,0.77,0.77,0.77,0
12/3/2018 2:46:00 PM,0.77,0.77,0.77,0.77,0
12/3/2018 2:45:00 PM,0.77,0.77,0.77,0.77,2
12/3/2018 2:44:00 PM,0.7725,0.7725,0.77,0.77,50
12/3/2018 2:43:00 PM,0.7725,0.7725,0.7725,0.7725,101
12/3/2018 2:42:00 PM,0.77,0.7725,0.77,0.7725,550
12/3/2018 2:41:00 PM,0.77,0.77,0.77,0.77,0
12/3/2018 2:40:00 PM,0.77,0.77,0.77,0.77,0
