Date,NIFTY18DEC11000CE O,NIFTY18DEC11000CE H,NIFTY18DEC11000CE L,NIFTY18DEC11000CE C,NIFTY18DEC11000CE V
12/3/2018 3:29:00 PM,152.85,154,152.6,154,49125
12/3/2018 3:28:00 PM,153,153,152.3,153,37125
12/3/2018 3:27:00 PM,152.9,153.5,152.65,153,57450
12/3/2018 3:26:00 PM,152.5,153,152.35,152.95,34425
12/3/2018 3:25:00 PM,152.3,152.7,152.05,152.6,32325
12/3/2018 3:24:00 PM,152.7,153,152.4,152.5,10425
12/3/2018 3:23:00 PM,152.7,153.25,152.2,152.7,40575
12/3/2018 3:22:00 PM,153.2,153.6,152.65,153,35100
12/3/2018 3:21:00 PM,153,153.6,152.65,152.85,26775
12/3/2018 3:20:00 PM,152.6,153,151.25,152.6,70050
12/3/2018 3:19:00 PM,153.5,153.5,152.5,153,19500
12/3/2018 3:18:00 PM,153.6,153.9,152.9,153.35,38550
12/3/2018 3:17:00 PM,153.5,153.9,153.05,153.5,18000
12/3/2018 3:16:00 PM,151.55,153.85,151.55,153.55,40800
12/3/2018 3:15:00 PM,151.8,152.25,151.4,151.5,32475
12/3/2018 3:14:00 PM,150.95,152,150.95,151.8,41175
12/3/2018 3:13:00 PM,149.15,151,149.15,151,34125
12/3/2018 3:12:00 PM,149.1,149.6,148.65,149.15,7575
12/3/2018 3:11:00 PM,148.9,149,147.7,149,19200
12/3/2018 3:10:00 PM,148.15,149.65,148.1,149,21075
12/3/2018 3:09:00 PM,149.25,149.9,148.15,148.15,12000
12/3/2018 3:08:00 PM,149.25,149.8,149,149.25,19800
12/3/2018 3:07:00 PM,149.9,150.45,149.1,149.25,8100
12/3/2018 3:06:00 PM,150.8,150.8,148.75,149.75,10650
12/3/2018 3:05:00 PM,149.5,150.8,149,150.8,10800
12/3/2018 3:04:00 PM,148.5,149.9,147.95,149.25,12750
12/3/2018 3:03:00 PM,147,148.7,147,148.5,3750
12/3/2018 3:02:00 PM,148.35,149.35,146.7,146.7,19500
12/3/2018 3:01:00 PM,150.8,150.8,147.9,148.35,31050
12/3/2018 3:00:00 PM,150.2,150.95,149.75,150.5,29550
12/3/2018 2:59:00 PM,147.8,150.65,147.7,150.5,36150
12/3/2018 2:58:00 PM,146.8,147.9,146.15,147.55,22575
12/3/2018 2:57:00 PM,146.35,146.8,145.6,146.8,7125
12/3/2018 2:56:00 PM,147.2,147.25,145.35,146.95,8625
12/3/2018 2:55:00 PM,147.5,147.75,146.5,147.2,7650
12/3/2018 2:54:00 PM,145.9,148,145.45,147.5,5925
12/3/2018 2:53:00 PM,146.25,146.55,145.15,145.9,10125
12/3/2018 2:52:00 PM,148.5,148.6,146.15,146.25,39075
12/3/2018 2:51:00 PM,148.75,149,148.25,148.5,41325
12/3/2018 2:50:00 PM,147.75,149.25,147.7,148.75,54150
12/3/2018 2:49:00 PM,144.8,148,144.8,148,28350
