Date,USDINR18DECFUT O,USDINR18DECFUT H,USDINR18DECFUT L,USDINR18DECFUT C,USDINR18DECFUT V
12/3/2018 4:59:00 PM,70.65,70.67,70.65,70.67,7393
12/3/2018 4:58:00 PM,70.6425,70.655,70.63,70.6525,6314
12/3/2018 4:57:00 PM,70.62,70.6425,70.62,70.6425,4013
12/3/2018 4:56:00 PM,70.6275,70.6325,70.62,70.62,2969
12/3/2018 4:55:00 PM,70.62,70.6275,70.605,70.6275,3662
12/3/2018 4:54:00 PM,70.6075,70.6275,70.6025,70.6225,9504
12/3/2018 4:53:00 PM,70.6175,70.6225,70.605,70.605,9124
12/3/2018 4:52:00 PM,70.6225,70.63,70.6175,70.6175,8400
12/3/2018 4:51:00 PM,70.6275,70.6275,70.62,70.625,6787
12/3/2018 4:50:00 PM,70.635,70.6475,70.6275,70.6275,6372
12/3/2018 4:49:00 PM,70.625,70.635,70.625,70.635,1909
12/3/2018 4:48:00 PM,70.62,70.6275,70.615,70.625,2457
12/3/2018 4:47:00 PM,70.6225,70.6225,70.615,70.62,2377
12/3/2018 4:46:00 PM,70.64,70.64,70.6225,70.6225,3252
12/3/2018 4:45:00 PM,70.635,70.6525,70.635,70.6375,5424
12/3/2018 4:44:00 PM,70.63,70.635,70.6225,70.635,1307
12/3/2018 4:43:00 PM,70.635,70.6375,70.625,70.6275,3801
12/3/2018 4:42:00 PM,70.63,70.6375,70.63,70.6325,3247
12/3/2018 4:41:00 PM,70.67,70.67,70.62,70.625,10842
12/3/2018 4:40:00 PM,70.645,70.675,70.645,70.67,14557
12/3/2018 4:39:00 PM,70.6375,70.6625,70.6325,70.645,12163
12/3/2018 4:38:00 PM,70.62,70.6375,70.62,70.6375,4588
12/3/2018 4:37:00 PM,70.6225,70.6225,70.61,70.62,2165
12/3/2018 4:36:00 PM,70.6375,70.64,70.6175,70.6225,4971
12/3/2018 4:35:00 PM,70.6275,70.6425,70.62,70.64,7079
12/3/2018 4:34:00 PM,70.6275,70.645,70.6275,70.6275,7684
12/3/2018 4:33:00 PM,70.625,70.64,70.62,70.625,14394
12/3/2018 4:32:00 PM,70.5975,70.625,70.5875,70.625,13477
12/3/2018 4:31:00 PM,70.5825,70.6025,70.5825,70.5975,7888
12/3/2018 4:30:00 PM,70.585,70.5975,70.58,70.5825,6617
12/3/2018 4:29:00 PM,70.575,70.5875,70.575,70.5825,4544
12/3/2018 4:28:00 PM,70.5575,70.5775,70.5575,70.575,7492
12/3/2018 4:27:00 PM,70.5675,70.57,70.5575,70.5575,7305
12/3/2018 4:26:00 PM,70.58,70.58,70.5675,70.5675,2249
12/3/2018 4:25:00 PM,70.58,70.59,70.575,70.5775,2584
12/3/2018 4:24:00 PM,70.5675,70.58,70.565,70.58,2241
12/3/2018 4:23:00 PM,70.565,70.5675,70.56,70.5675,6684
12/3/2018 4:22:00 PM,70.56,70.565,70.55,70.56,8216
12/3/2018 4:21:00 PM,70.5575,70.5625,70.5475,70.5625,4550
12/3/2018 4:20:00 PM,70.545,70.5675,70.545,70.5575,7165
12/3/2018 4:19:00 PM,70.5475,70.5475,70.5375,70.5475,1257
12/3/2018 4:18:00 PM,70.5425,70.5475,70.5375,70.5475,6645
12/3/2018 4:17:00 PM,70.545,70.55,70.535,70.5425,8401
12/3/2018 4:16:00 PM,70.5475,70.5625,70.545,70.545,8614
12/3/2018 4:15:00 PM,70.5675,70.5725,70.5475,70.5475,4204
12/3/2018 4:14:00 PM,70.5625,70.5725,70.5625,70.5725,2350
12/3/2018 4:13:00 PM,70.565,70.565,70.55,70.5625,10546
12/3/2018 4:12:00 PM,70.5675,70.575,70.5625,70.565,1756
12/3/2018 4:11:00 PM,70.5775,70.5775,70.565,70.565,4285
12/3/2018 4:10:00 PM,70.58,70.58,70.57,70.5775,7209
12/3/2018 4:09:00 PM,70.6,70.605,70.58,70.58,8061
12/3/2018 4:08:00 PM,70.5875,70.6,70.585,70.5975,1944
12/3/2018 4:07:00 PM,70.5875,70.59,70.58,70.5875,2098
12/3/2018 4:06:00 PM,70.59,70.6,70.5825,70.585,3422
12/3/2018 4:05:00 PM,70.6,70.6075,70.5925,70.5925,12039
12/3/2018 4:04:00 PM,70.5825,70.6025,70.5825,70.6,16764
12/3/2018 4:03:00 PM,70.5725,70.585,70.57,70.5825,8835
12/3/2018 4:02:00 PM,70.545,70.5725,70.5425,70.5725,4023
12/3/2018 4:01:00 PM,70.5475,70.56,70.5425,70.545,9119
12/3/2018 4:00:00 PM,70.555,70.555,70.53,70.5475,5426
12/3/2018 3:59:00 PM,70.545,70.5525,70.525,70.5525,7614
12/3/2018 3:58:00 PM,70.5325,70.55,70.5275,70.545,8418
12/3/2018 3:57:00 PM,70.5125,70.535,70.51,70.5325,2390
12/3/2018 3:56:00 PM,70.5075,70.5175,70.5075,70.515,2439
12/3/2018 3:55:00 PM,70.505,70.5125,70.5,70.5075,3289
12/3/2018 3:54:00 PM,70.5225,70.5225,70.505,70.505,2432
12/3/2018 3:53:00 PM,70.51,70.525,70.505,70.5225,1510
12/3/2018 3:52:00 PM,70.5275,70.5275,70.51,70.51,2417
12/3/2018 3:51:00 PM,70.5125,70.53,70.5125,70.5275,5188
12/3/2018 3:50:00 PM,70.495,70.515,70.495,70.5125,4115
12/3/2018 3:49:00 PM,70.4975,70.5,70.4875,70.4925,6639
12/3/2018 3:48:00 PM,70.5075,70.51,70.4975,70.4975,6372
12/3/2018 3:47:00 PM,70.51,70.52,70.505,70.5075,5908
12/3/2018 3:46:00 PM,70.5175,70.525,70.5025,70.51,9305
12/3/2018 3:45:00 PM,70.495,70.515,70.495,70.5125,10325
12/3/2018 3:44:00 PM,70.47,70.5175,70.4675,70.5075,29020
12/3/2018 3:43:00 PM,70.45,70.475,70.45,70.47,6078
12/3/2018 3:42:00 PM,70.4325,70.455,70.4325,70.455,4437
12/3/2018 3:41:00 PM,70.4375,70.4375,70.43,70.43,2469
12/3/2018 3:40:00 PM,70.44,70.445,70.435,70.4375,4393
12/3/2018 3:39:00 PM,70.44,70.445,70.4275,70.44,1690
12/3/2018 3:38:00 PM,70.43,70.445,70.4275,70.44,1768
12/3/2018 3:37:00 PM,70.42,70.43,70.42,70.43,1362
12/3/2018 3:36:00 PM,70.4225,70.44,70.42,70.4275,3468
12/3/2018 3:35:00 PM,70.4175,70.4275,70.415,70.4225,1705
12/3/2018 3:34:00 PM,70.425,70.4275,70.41,70.4175,3670
12/3/2018 3:33:00 PM,70.3825,70.4275,70.3825,70.425,6511
12/3/2018 3:32:00 PM,70.385,70.3875,70.3775,70.38,6177
12/3/2018 3:31:00 PM,70.395,70.4025,70.3775,70.385,7992
12/3/2018 3:30:00 PM,70.395,70.4,70.39,70.395,1946
12/3/2018 3:29:00 PM,70.3775,70.4,70.3775,70.395,7842
12/3/2018 3:28:00 PM,70.38,70.3825,70.3725,70.3775,899
12/3/2018 3:27:00 PM,70.385,70.385,70.375,70.375,1667
12/3/2018 3:26:00 PM,70.375,70.385,70.37,70.385,1358
12/3/2018 3:25:00 PM,70.3625,70.3775,70.36,70.3775,1969
12/3/2018 3:24:00 PM,70.3775,70.3775,70.3625,70.3625,3087
12/3/2018 3:23:00 PM,70.3825,70.3875,70.3725,70.3775,1641
12/3/2018 3:22:00 PM,70.395,70.395,70.38,70.3825,4579
12/3/2018 3:21:00 PM,70.3825,70.395,70.3825,70.395,2276
12/3/2018 3:20:00 PM,70.385,70.3925,70.37,70.3825,6324
12/3/2018 3:19:00 PM,70.385,70.39,70.385,70.3875,1164
12/3/2018 3:18:00 PM,70.405,70.4075,70.3825,70.3875,3936
12/3/2018 3:17:00 PM,70.41,70.415,70.4025,70.4075,721
12/3/2018 3:16:00 PM,70.4075,70.41,70.4025,70.41,767
12/3/2018 3:15:00 PM,70.41,70.41,70.4025,70.4075,2041
12/3/2018 3:14:00 PM,70.42,70.425,70.41,70.41,4828
12/3/2018 3:13:00 PM,70.4275,70.4325,70.415,70.415,5318
12/3/2018 3:12:00 PM,70.4425,70.4475,70.42,70.43,6920
12/3/2018 3:11:00 PM,70.445,70.46,70.435,70.4425,3722
12/3/2018 3:10:00 PM,70.4475,70.45,70.4375,70.445,1147
12/3/2018 3:09:00 PM,70.4425,70.45,70.44,70.4425,1745
12/3/2018 3:08:00 PM,70.4225,70.46,70.4225,70.4425,10734
12/3/2018 3:07:00 PM,70.425,70.4275,70.4175,70.4225,1621
12/3/2018 3:06:00 PM,70.43,70.4325,70.425,70.425,307
12/3/2018 3:05:00 PM,70.425,70.4325,70.425,70.43,293
12/3/2018 3:04:00 PM,70.4225,70.44,70.4225,70.425,2477
12/3/2018 3:03:00 PM,70.425,70.4275,70.4225,70.4225,1734
12/3/2018 3:02:00 PM,70.44,70.4425,70.43,70.43,995
12/3/2018 3:01:00 PM,70.44,70.44,70.4275,70.44,4091
12/3/2018 3:00:00 PM,70.44,70.4575,70.43,70.4425,15839
12/3/2018 2:59:00 PM,70.41,70.4375,70.41,70.4375,6953
