Date,USDINR18DEC71CE O,USDINR18DEC71CE H,USDINR18DEC71CE L,USDINR18DEC71CE C,USDINR18DEC71CE V
12/3/2018 4:59:00 PM,0.455,0.4625,0.455,0.46,103
12/3/2018 4:58:00 PM,0.45,0.4575,0.45,0.455,1729
12/3/2018 4:57:00 PM,0.445,0.4525,0.4425,0.45,1642
12/3/2018 4:56:00 PM,0.45,0.45,0.445,0.445,101
12/3/2018 4:55:00 PM,0.45,0.45,0.445,0.45,229
12/3/2018 4:54:00 PM,0.4425,0.4525,0.4375,0.4525,1219
12/3/2018 4:53:00 PM,0.4525,0.4525,0.4425,0.4425,1191
12/3/2018 4:52:00 PM,0.4525,0.4525,0.4525,0.4525,6
12/3/2018 4:51:00 PM,0.4575,0.4575,0.4525,0.4525,294
12/3/2018 4:50:00 PM,0.46,0.4625,0.4575,0.4575,312
12/3/2018 4:49:00 PM,0.45,0.46,0.45,0.46,752
12/3/2018 4:48:00 PM,0.45,0.455,0.4475,0.45,202
12/3/2018 4:47:00 PM,0.4525,0.4525,0.45,0.45,329
12/3/2018 4:46:00 PM,0.4625,0.4625,0.4525,0.4525,241
12/3/2018 4:45:00 PM,0.455,0.4625,0.455,0.4625,1295
12/3/2018 4:44:00 PM,0.455,0.455,0.4525,0.455,101
12/3/2018 4:43:00 PM,0.455,0.4575,0.4525,0.455,268
12/3/2018 4:42:00 PM,0.455,0.4575,0.455,0.455,265
12/3/2018 4:41:00 PM,0.475,0.475,0.45,0.4525,1906
12/3/2018 4:40:00 PM,0.4625,0.4775,0.4625,0.475,1624
12/3/2018 4:39:00 PM,0.4625,0.4725,0.46,0.4625,1830
12/3/2018 4:38:00 PM,0.455,0.4625,0.455,0.4625,414
12/3/2018 4:37:00 PM,0.455,0.455,0.45,0.455,1158
12/3/2018 4:36:00 PM,0.4625,0.4625,0.455,0.455,766
12/3/2018 4:35:00 PM,0.4575,0.4625,0.455,0.46,550
12/3/2018 4:34:00 PM,0.46,0.465,0.4575,0.4575,598
12/3/2018 4:33:00 PM,0.45,0.46,0.45,0.46,6054
12/3/2018 4:32:00 PM,0.44,0.45,0.4375,0.45,963
12/3/2018 4:31:00 PM,0.435,0.44,0.435,0.44,175
12/3/2018 4:30:00 PM,0.435,0.44,0.4325,0.435,453
12/3/2018 4:29:00 PM,0.43,0.435,0.43,0.435,665
12/3/2018 4:28:00 PM,0.4275,0.43,0.425,0.43,195
