Date,NIFTY18DEC10950PE O,NIFTY18DEC10950PE H,NIFTY18DEC10950PE L,NIFTY18DEC10950PE C,NIFTY18DEC10950PE V
12/3/2018 3:29:00 PM,202,202.35,200.35,200.35,1500
12/3/2018 3:28:00 PM,202.4,202.4,202,202,1500
12/3/2018 3:27:00 PM,202.9,202.9,202.25,202.4,1200
12/3/2018 3:26:00 PM,203.6,203.6,202.95,202.95,300
12/3/2018 3:25:00 PM,203.7,203.95,203.6,203.6,900
12/3/2018 3:24:00 PM,203.7,203.7,203.7,203.7,0
12/3/2018 3:23:00 PM,203.9,204,203.7,203.7,525
12/3/2018 3:22:00 PM,204.3,204.3,203.9,203.9,225
12/3/2018 3:21:00 PM,205,205,204,204.3,225
12/3/2018 3:20:00 PM,205.55,205.8,205,205,1125
12/3/2018 3:19:00 PM,204,204.6,204,204.6,225
12/3/2018 3:18:00 PM,204,204,204,204,0
12/3/2018 3:17:00 PM,204.25,204.45,204,204,300
12/3/2018 3:16:00 PM,205.75,205.75,204,204.25,1950
12/3/2018 3:15:00 PM,205.85,205.85,205.05,205.75,150
12/3/2018 3:14:00 PM,210,210,205.85,205.85,975
12/3/2018 3:13:00 PM,210.5,210.5,210,210,150
12/3/2018 3:12:00 PM,211.75,211.75,210.5,210.5,75
12/3/2018 3:11:00 PM,211.75,211.75,211.75,211.75,0
12/3/2018 3:10:00 PM,211.75,211.75,211.75,211.75,0
12/3/2018 3:09:00 PM,210.2,211.75,209.8,211.75,150
12/3/2018 3:08:00 PM,210.2,210.2,210.2,210.2,0
12/3/2018 3:07:00 PM,210.2,210.2,210.2,210.2,0
12/3/2018 3:06:00 PM,210.2,210.2,210.2,210.2,0
12/3/2018 3:05:00 PM,212.3,212.3,210.2,210.2,1050
12/3/2018 3:04:00 PM,211.5,212.3,211.5,212.3,300
12/3/2018 3:03:00 PM,211.5,211.5,211.5,211.5,0
12/3/2018 3:02:00 PM,211.5,211.5,211.5,211.5,0
12/3/2018 3:01:00 PM,211.5,211.5,211.5,211.5,0
12/3/2018 3:00:00 PM,211.5,211.5,211.5,211.5,0
12/3/2018 2:59:00 PM,217.3,217.3,211.5,211.5,600
12/3/2018 2:58:00 PM,217.55,217.95,217.3,217.3,1125
12/3/2018 2:57:00 PM,217.25,217.55,217.25,217.55,225
12/3/2018 2:56:00 PM,216.25,217.25,216.25,217.25,300
12/3/2018 2:55:00 PM,215.85,216.25,215.85,216.25,150
12/3/2018 2:54:00 PM,214.7,218.5,214.7,215.85,150
12/3/2018 2:53:00 PM,214.7,214.7,214.7,214.7,0
