Date,USDINR18DEC70.5PE O,USDINR18DEC70.5PE H,USDINR18DEC70.5PE L,USDINR18DEC70.5PE C,USDINR18DEC70.5PE V
12/3/2018 4:59:00 PM,0.53,0.53,0.515,0.52,388
12/3/2018 4:58:00 PM,0.53,0.53,0.5225,0.53,396
12/3/2018 4:57:00 PM,0.5425,0.5425,0.53,0.53,551
12/3/2018 4:56:00 PM,0.535,0.5425,0.535,0.5425,547
12/3/2018 4:55:00 PM,0.5475,0.5475,0.54,0.54,281
12/3/2018 4:54:00 PM,0.55,0.5525,0.5425,0.5425,821
12/3/2018 4:53:00 PM,0.5425,0.55,0.5425,0.55,1063
12/3/2018 4:52:00 PM,0.545,0.545,0.5425,0.5425,67
12/3/2018 4:51:00 PM,0.535,0.5475,0.535,0.545,47
12/3/2018 4:50:00 PM,0.54,0.54,0.535,0.535,32
12/3/2018 4:49:00 PM,0.5475,0.5475,0.54,0.54,370
12/3/2018 4:48:00 PM,0.5475,0.5475,0.545,0.5475,145
12/3/2018 4:47:00 PM,0.5425,0.5475,0.5425,0.5475,1
12/3/2018 4:46:00 PM,0.5375,0.5425,0.5375,0.5425,85
12/3/2018 4:45:00 PM,0.5425,0.5425,0.5325,0.535,60
12/3/2018 4:44:00 PM,0.54,0.5425,0.54,0.5425,20
12/3/2018 4:43:00 PM,0.5375,0.545,0.5375,0.54,117
12/3/2018 4:42:00 PM,0.5425,0.5425,0.5375,0.5375,29
12/3/2018 4:41:00 PM,0.5225,0.5475,0.5225,0.5425,446
12/3/2018 4:40:00 PM,0.5325,0.5325,0.5225,0.5225,507
12/3/2018 4:39:00 PM,0.5375,0.5425,0.5275,0.5325,602
12/3/2018 4:38:00 PM,0.545,0.545,0.5375,0.5375,241
12/3/2018 4:37:00 PM,0.5425,0.55,0.5425,0.5475,250
12/3/2018 4:36:00 PM,0.5375,0.5425,0.5375,0.5425,475
12/3/2018 4:35:00 PM,0.54,0.5475,0.535,0.5375,166
12/3/2018 4:34:00 PM,0.5425,0.5425,0.535,0.54,528
12/3/2018 4:33:00 PM,0.5425,0.545,0.5375,0.5425,832
12/3/2018 4:32:00 PM,0.5575,0.5575,0.545,0.5475,862
12/3/2018 4:31:00 PM,0.56,0.56,0.5525,0.5575,408
12/3/2018 4:30:00 PM,0.5625,0.5625,0.555,0.56,894
12/3/2018 4:29:00 PM,0.565,0.565,0.5625,0.5625,30
12/3/2018 4:28:00 PM,0.5725,0.5725,0.565,0.565,309
