Date,BANKNIFTY06DEC1827400CE O,BANKNIFTY06DEC1827400CE H,BANKNIFTY06DEC1827400CE L,BANKNIFTY06DEC1827400CE C,BANKNIFTY06DEC1827400CE V
12/3/2018 3:29:00 PM,39.05,39.35,38.5,38.5,19780
12/3/2018 3:28:00 PM,38.7,39.4,38.5,39.3,22740
12/3/2018 3:27:00 PM,37.9,38.7,37.9,38.7,17100
12/3/2018 3:26:00 PM,37.8,38.2,37.55,38,10240
12/3/2018 3:25:00 PM,37.5,37.9,37.5,37.65,11780
12/3/2018 3:24:00 PM,37.75,37.9,37.5,37.7,9360
12/3/2018 3:23:00 PM,37.95,38.25,37.4,37.6,20340
12/3/2018 3:22:00 PM,38.95,38.95,37.95,37.95,14620
12/3/2018 3:21:00 PM,39.2,39.3,38.55,38.55,12920
12/3/2018 3:20:00 PM,38.9,39.25,38.6,39.25,23380
12/3/2018 3:19:00 PM,39.2,39.25,38.75,38.9,11220
12/3/2018 3:18:00 PM,39.25,39.55,38.8,39.3,11080
12/3/2018 3:17:00 PM,39.5,39.6,38.75,39.25,16440
12/3/2018 3:16:00 PM,39.2,40,39.15,39.5,23400
12/3/2018 3:15:00 PM,39.75,40,39.1,39.1,17660
12/3/2018 3:14:00 PM,39.1,39.75,38.95,39.75,13780
12/3/2018 3:13:00 PM,38.55,39.1,38.4,39.1,11860
12/3/2018 3:12:00 PM,39,39.1,38.25,38.6,16220
12/3/2018 3:11:00 PM,38.95,39.4,38.45,39,9800
12/3/2018 3:10:00 PM,38.05,39.35,37.75,39.1,8580
12/3/2018 3:09:00 PM,39.15,39.6,38.05,38.15,5240
12/3/2018 3:08:00 PM,39.75,39.95,39.05,39.25,8120
12/3/2018 3:07:00 PM,39.45,39.9,39.25,39.7,4740
12/3/2018 3:06:00 PM,40.1,40.2,38.8,39.55,2860
12/3/2018 3:05:00 PM,38.8,40.3,38.4,40.3,3440
12/3/2018 3:04:00 PM,38.95,39.55,38.35,38.8,5280
12/3/2018 3:03:00 PM,37.65,39,37.4,38.95,6420
12/3/2018 3:02:00 PM,39.05,39.2,37.6,37.85,6480
12/3/2018 3:01:00 PM,41,41.05,38.3,39.05,5180
12/3/2018 3:00:00 PM,41,41.35,40.3,41,8620
12/3/2018 2:59:00 PM,39.25,41.75,39.25,41.2,10780
12/3/2018 2:58:00 PM,38.8,39.5,38.5,39.25,2520
12/3/2018 2:57:00 PM,39.15,39.15,38.2,38.8,1580
12/3/2018 2:56:00 PM,38.75,39.3,38.3,39.15,3660
12/3/2018 2:55:00 PM,39.6,39.7,38.7,38.75,2760
12/3/2018 2:54:00 PM,39,39.9,38.2,39.6,4700
12/3/2018 2:53:00 PM,38.85,39,38,39,3820
12/3/2018 2:52:00 PM,39.8,40,38.6,38.85,6760
12/3/2018 2:51:00 PM,40.4,40.65,39.85,39.85,5220
12/3/2018 2:50:00 PM,40.5,41.1,39.9,40.4,6220
12/3/2018 2:49:00 PM,39.8,40.25,39.25,40.2,3040
12/3/2018 2:48:00 PM,38,39.8,37.9,39.8,1420
