Date,BANKNIFTY06DEC1826900PE O,BANKNIFTY06DEC1826900PE H,BANKNIFTY06DEC1826900PE L,BANKNIFTY06DEC1826900PE C,BANKNIFTY06DEC1826900PE V
12/3/2018 3:29:00 PM,196.75,197,194.7,195,17820
12/3/2018 3:28:00 PM,197.25,197.9,196,197.25,21380
12/3/2018 3:27:00 PM,198,198,196.35,197.15,15020
12/3/2018 3:26:00 PM,198.55,199.65,197.5,197.75,16480
12/3/2018 3:25:00 PM,198.15,198.9,197.5,198.05,17240
12/3/2018 3:24:00 PM,197.5,197.95,196.1,197.9,9900
12/3/2018 3:23:00 PM,197.8,198.6,196.05,197.8,18140
12/3/2018 3:22:00 PM,196.55,197.8,195.15,197.75,15580
12/3/2018 3:21:00 PM,196,197.5,194.75,196.7,17020
12/3/2018 3:20:00 PM,196.15,197.85,194.8,196.05,24220
12/3/2018 3:19:00 PM,195.6,197.45,195.5,196.8,13320
12/3/2018 3:18:00 PM,195.45,196.3,194.75,195.1,7800
12/3/2018 3:17:00 PM,192.75,196.85,192.75,195.15,7080
12/3/2018 3:16:00 PM,194.6,194.9,191.95,193.05,15320
12/3/2018 3:15:00 PM,192.3,194.7,189.5,194.55,18200
12/3/2018 3:14:00 PM,193.8,195,192,192.3,6880
12/3/2018 3:13:00 PM,196.95,197.85,193.8,194.75,11440
12/3/2018 3:12:00 PM,196.45,197.5,195.65,197.05,7480
12/3/2018 3:11:00 PM,198.25,198.95,195.3,197.15,7920
12/3/2018 3:10:00 PM,197.45,198.5,196,198.25,4360
12/3/2018 3:09:00 PM,194.75,198,193.6,198,5700
12/3/2018 3:08:00 PM,192.5,194,191.05,194,5460
12/3/2018 3:07:00 PM,195,195,192.45,193.25,5060
12/3/2018 3:06:00 PM,191,195.85,191,194.2,4900
12/3/2018 3:05:00 PM,196.8,198.4,191,191,3300
12/3/2018 3:04:00 PM,195.85,199,192.65,196.8,8600
12/3/2018 3:03:00 PM,200,201.05,195,195.2,9840
12/3/2018 3:02:00 PM,196.05,200,195.75,199.95,13040
12/3/2018 3:01:00 PM,190.4,198.75,189.65,197.1,6940
12/3/2018 3:00:00 PM,190.8,193,188.15,190.4,16680
12/3/2018 2:59:00 PM,199,199.65,187.2,189.7,19060
12/3/2018 2:58:00 PM,202,202.15,199.5,200.3,2900
12/3/2018 2:57:00 PM,200.6,203,200,202,4100
12/3/2018 2:56:00 PM,201.5,202.55,199.2,200.6,3900
12/3/2018 2:55:00 PM,199.35,200.8,197.3,200.6,8740
12/3/2018 2:54:00 PM,201.2,203.5,197.25,199.35,2680
12/3/2018 2:53:00 PM,202.1,204.95,201.2,202.1,2440
12/3/2018 2:52:00 PM,198,202.5,196.6,202.1,9020
12/3/2018 2:51:00 PM,196.45,199,195.9,198.5,2160
12/3/2018 2:50:00 PM,196.75,197.6,194.55,196,5880
12/3/2018 2:49:00 PM,203.95,204.15,197.05,197.05,5580
12/3/2018 2:48:00 PM,209,210.55,203.55,203.55,3160
12/3/2018 2:47:00 PM,205,210,205,208.65,6820
12/3/2018 2:46:00 PM,206,206,202.7,205,2540
12/3/2018 2:45:00 PM,205.15,206,202.1,206,3040
12/3/2018 2:44:00 PM,206.5,208.9,205,205.15,2480
12/3/2018 2:43:00 PM,208,210.9,205.5,206.5,6620
12/3/2018 2:42:00 PM,208,210.95,207.1,208.1,3760
12/3/2018 2:41:00 PM,204.1,207.95,203.8,207.1,8580
12/3/2018 2:40:00 PM,201,204.1,201,204.1,2960
12/3/2018 2:39:00 PM,203.8,203.8,196.55,201,5460
12/3/2018 2:38:00 PM,203,205.85,202.7,203.8,2700
12/3/2018 2:37:00 PM,202.85,206.05,201,202.25,9400
12/3/2018 2:36:00 PM,196.4,202.95,196.4,202.95,7460
12/3/2018 2:35:00 PM,200.75,200.75,193,196.4,7880
12/3/2018 2:34:00 PM,200,202,200,200.75,4300
12/3/2018 2:33:00 PM,202.3,202.6,200,200,3800
12/3/2018 2:32:00 PM,205.7,205.7,200.4,201.45,3960
12/3/2018 2:31:00 PM,204,207,203,204.9,7920
12/3/2018 2:30:00 PM,215,215.9,203.7,203.7,11120
12/3/2018 2:29:00 PM,209.45,216.45,209,213,15020
12/3/2018 2:28:00 PM,205.9,211.95,205.2,209.25,18040
12/3/2018 2:27:00 PM,206.55,207,203.1,205.7,7080
12/3/2018 2:26:00 PM,202.55,206,202.55,206,7780
12/3/2018 2:25:00 PM,200,204.05,199,202.55,5020
12/3/2018 2:24:00 PM,198.35,199.9,197.2,199.9,1760
12/3/2018 2:23:00 PM,196,198.35,195,197.7,3520
12/3/2018 2:22:00 PM,196.4,197.7,194.75,196,4240
12/3/2018 2:21:00 PM,193,196.4,193,195,3180
12/3/2018 2:20:00 PM,193,195.55,192.75,193,6600
12/3/2018 2:19:00 PM,189.25,194.95,188.75,193.45,4920
12/3/2018 2:18:00 PM,192.45,192.55,185.65,189.7,18100
12/3/2018 2:17:00 PM,195.05,195.85,192.05,192.05,7220
12/3/2018 2:16:00 PM,197.2,198.35,195,195,3020
12/3/2018 2:15:00 PM,196.65,202.55,195,197.45,4280
12/3/2018 2:14:00 PM,205,206.1,195.6,195.6,6320
12/3/2018 2:13:00 PM,203.35,206.25,203.15,205.6,3520
12/3/2018 2:12:00 PM,201.9,206.1,200.95,203.35,5700
12/3/2018 2:11:00 PM,196.1,202.25,196.1,201.9,2380
12/3/2018 2:10:00 PM,193.9,197.15,190.9,196.1,13420
12/3/2018 2:09:00 PM,200.5,201,192.25,193.15,5880
12/3/2018 2:08:00 PM,203.7,203.7,199.3,200.5,2060
12/3/2018 2:07:00 PM,204.75,208.8,200.15,203.7,7320
12/3/2018 2:06:00 PM,200.9,206.5,200,204.75,4820
12/3/2018 2:05:00 PM,206.05,206.7,199.6,200.2,10920
12/3/2018 2:04:00 PM,208.6,209,206,206.05,8760
12/3/2018 2:03:00 PM,205,209.2,205,207.9,16440
12/3/2018 2:02:00 PM,200.25,205,200.25,205,8640
12/3/2018 2:01:00 PM,204.95,206,200.2,200.25,10160
12/3/2018 2:00:00 PM,192.8,205,191.65,205,10020
12/3/2018 1:59:00 PM,193,195,192.75,192.8,2460
12/3/2018 1:58:00 PM,189.95,193.5,189.55,193,3820
12/3/2018 1:57:00 PM,185.5,190.65,184.35,189.95,7120
12/3/2018 1:56:00 PM,188,188.85,184.95,184.95,3180
12/3/2018 1:55:00 PM,191.3,191.7,187.1,187.35,3880
12/3/2018 1:54:00 PM,193.1,194.35,191.25,191.3,1220
12/3/2018 1:53:00 PM,192,194,191.05,193.95,2660
12/3/2018 1:52:00 PM,190.9,192.6,190.05,192.5,3180
12/3/2018 1:51:00 PM,192.1,192.1,189.6,190.95,5700
12/3/2018 1:50:00 PM,187.8,194.35,187.8,192.1,10060
12/3/2018 1:49:00 PM,182.8,190,180.6,189.2,9340
12/3/2018 1:48:00 PM,189.15,190,181.75,182.9,15840
12/3/2018 1:47:00 PM,190.9,191.35,187.25,189.95,9000
12/3/2018 1:46:00 PM,188.35,191.6,187.05,190.9,4500
12/3/2018 1:45:00 PM,195.4,195.65,187.05,187.6,6360
12/3/2018 1:44:00 PM,192.15,196,192,195.4,6900
12/3/2018 1:43:00 PM,191.5,194,187.6,192.15,6540
12/3/2018 1:42:00 PM,190,192.7,189,191.5,7200
12/3/2018 1:41:00 PM,186.6,190,185,190,19840
12/3/2018 1:40:00 PM,193.7,197.15,190.3,190.45,17980
12/3/2018 1:39:00 PM,203.3,204,192.05,193,13260
12/3/2018 1:38:00 PM,207,208,201.05,203,8300
12/3/2018 1:37:00 PM,207.85,208.65,206.2,207,1340
12/3/2018 1:36:00 PM,205.5,208.75,204.65,207.85,1740
12/3/2018 1:35:00 PM,210,211,204.6,205.5,3960
12/3/2018 1:34:00 PM,209,210,206.5,210,8620
12/3/2018 1:33:00 PM,207.4,209.4,204,209,5380
12/3/2018 1:32:00 PM,209.5,211.5,205.15,207.4,5780
12/3/2018 1:31:00 PM,208.5,211,207.9,210.95,10100
12/3/2018 1:30:00 PM,203.8,209.7,203.4,208.5,5840
12/3/2018 1:29:00 PM,207.7,209.9,203.4,203.75,6820
12/3/2018 1:28:00 PM,203.5,209.05,203.5,209.05,5040
12/3/2018 1:27:00 PM,200.7,208,198.45,205.4,10380
12/3/2018 1:26:00 PM,212.9,212.9,195.95,202.45,15420
12/3/2018 1:25:00 PM,216.9,216.9,211.95,212.9,2740
12/3/2018 1:24:00 PM,211.45,216.9,211,216.9,2040
12/3/2018 1:23:00 PM,212.2,215.9,209.35,211.45,2880
12/3/2018 1:22:00 PM,216.75,218.65,214.5,215.2,6320
12/3/2018 1:21:00 PM,213.8,220,212.95,219,4280
12/3/2018 1:20:00 PM,209.75,215,209.75,213.95,4100
12/3/2018 1:19:00 PM,208,211.8,206.1,209.75,4640
12/3/2018 1:18:00 PM,204.15,209.15,204.15,208,9260
12/3/2018 1:17:00 PM,212.5,212.5,203.4,203.75,8020
12/3/2018 1:16:00 PM,213,216.8,213,213.2,3560
12/3/2018 1:15:00 PM,215.15,215.15,211.1,212,2880
