Date,USDINR18DEC69.25PE O,USDINR18DEC69.25PE H,USDINR18DEC69.25PE L,USDINR18DEC69.25PE C,USDINR18DEC69.25PE V
12/3/2018 4:59:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 4:58:00 PM,0.145,0.145,0.14,0.14,132
12/3/2018 4:57:00 PM,0.145,0.145,0.145,0.145,0
12/3/2018 4:56:00 PM,0.14,0.145,0.14,0.145,259
12/3/2018 4:55:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 4:54:00 PM,0.1425,0.1425,0.14,0.14,50
12/3/2018 4:53:00 PM,0.1425,0.1425,0.1425,0.1425,0
12/3/2018 4:52:00 PM,0.1425,0.1425,0.1425,0.1425,100
12/3/2018 4:51:00 PM,0.1425,0.1425,0.1425,0.1425,0
12/3/2018 4:50:00 PM,0.1425,0.1425,0.1425,0.1425,0
12/3/2018 4:49:00 PM,0.1425,0.1425,0.1425,0.1425,0
12/3/2018 4:48:00 PM,0.1425,0.1425,0.1425,0.1425,0
12/3/2018 4:47:00 PM,0.1425,0.1425,0.1425,0.1425,0
12/3/2018 4:46:00 PM,0.1425,0.1425,0.1425,0.1425,102
12/3/2018 4:45:00 PM,0.1425,0.1425,0.1425,0.1425,0
12/3/2018 4:44:00 PM,0.1425,0.1425,0.1425,0.1425,1634
12/3/2018 4:43:00 PM,0.1425,0.1425,0.1425,0.1425,85
12/3/2018 4:42:00 PM,0.1425,0.1425,0.1425,0.1425,273
12/3/2018 4:41:00 PM,0.14,0.1425,0.14,0.1425,517
12/3/2018 4:40:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 4:39:00 PM,0.1425,0.1425,0.14,0.14,130
12/3/2018 4:38:00 PM,0.1425,0.1425,0.1425,0.1425,170
12/3/2018 4:37:00 PM,0.1425,0.1425,0.1425,0.1425,0
12/3/2018 4:36:00 PM,0.1425,0.1425,0.1425,0.1425,0
12/3/2018 4:35:00 PM,0.145,0.145,0.1425,0.1425,35
12/3/2018 4:34:00 PM,0.1425,0.145,0.1425,0.145,121
12/3/2018 4:33:00 PM,0.145,0.145,0.1425,0.1425,430
12/3/2018 4:32:00 PM,0.1475,0.1475,0.145,0.145,100
12/3/2018 4:31:00 PM,0.1475,0.1475,0.1475,0.1475,0
12/3/2018 4:30:00 PM,0.155,0.155,0.1475,0.1475,70
12/3/2018 4:29:00 PM,0.155,0.155,0.155,0.155,0
12/3/2018 4:28:00 PM,0.155,0.155,0.155,0.155,0
12/3/2018 4:27:00 PM,0.155,0.155,0.155,0.155,0
12/3/2018 4:26:00 PM,0.155,0.155,0.155,0.155,0
12/3/2018 4:25:00 PM,0.155,0.155,0.155,0.155,0
12/3/2018 4:24:00 PM,0.155,0.155,0.155,0.155,0
12/3/2018 4:23:00 PM,0.1525,0.155,0.1525,0.155,9
12/3/2018 4:22:00 PM,0.155,0.155,0.1525,0.1525,1
12/3/2018 4:21:00 PM,0.155,0.155,0.155,0.155,0
12/3/2018 4:20:00 PM,0.1575,0.1575,0.155,0.155,483
12/3/2018 4:19:00 PM,0.1575,0.1575,0.1575,0.1575,0
12/3/2018 4:18:00 PM,0.1575,0.1575,0.1575,0.1575,0
12/3/2018 4:17:00 PM,0.1575,0.1575,0.1575,0.1575,0
12/3/2018 4:16:00 PM,0.1525,0.1575,0.1525,0.1575,17
12/3/2018 4:15:00 PM,0.1525,0.1525,0.1525,0.1525,1
12/3/2018 4:14:00 PM,0.1575,0.1575,0.1525,0.1525,208
