Date,USDINR18DEC69.75CE O,USDINR18DEC69.75CE H,USDINR18DEC69.75CE L,USDINR18DEC69.75CE C,USDINR18DEC69.75CE V
12/3/2018 4:59:00 PM,1.13,1.155,1.13,1.155,5
12/3/2018 4:58:00 PM,1.13,1.13,1.13,1.13,0
12/3/2018 4:57:00 PM,1.13,1.13,1.13,1.13,0
12/3/2018 4:56:00 PM,1.1175,1.13,1.1175,1.13,8
12/3/2018 4:55:00 PM,1.1325,1.1325,1.1175,1.1175,60
12/3/2018 4:54:00 PM,1.1175,1.1325,1.1175,1.1325,20
12/3/2018 4:53:00 PM,1.1175,1.1175,1.1175,1.1175,0
12/3/2018 4:52:00 PM,1.1175,1.1175,1.1175,1.1175,0
12/3/2018 4:51:00 PM,1.1175,1.1175,1.1175,1.1175,0
12/3/2018 4:50:00 PM,1.1175,1.1175,1.1175,1.1175,0
12/3/2018 4:49:00 PM,1.1175,1.1175,1.1175,1.1175,0
12/3/2018 4:48:00 PM,1.1175,1.1175,1.1175,1.1175,0
12/3/2018 4:47:00 PM,1.1175,1.1175,1.1175,1.1175,0
12/3/2018 4:46:00 PM,1.1175,1.1175,1.1175,1.1175,0
12/3/2018 4:45:00 PM,1.1175,1.1175,1.1175,1.1175,0
12/3/2018 4:44:00 PM,1.1175,1.1175,1.1175,1.1175,0
12/3/2018 4:43:00 PM,1.14,1.14,1.1175,1.1175,10
12/3/2018 4:42:00 PM,1.14,1.14,1.14,1.14,0
12/3/2018 4:41:00 PM,1.14,1.14,1.14,1.14,0
12/3/2018 4:40:00 PM,1.14,1.14,1.14,1.14,0
12/3/2018 4:39:00 PM,1.1375,1.16,1.1375,1.14,943
12/3/2018 4:38:00 PM,1.1225,1.1375,1.1225,1.1375,412
12/3/2018 4:37:00 PM,1.135,1.135,1.1225,1.1225,204
12/3/2018 4:36:00 PM,1.1125,1.135,1.1125,1.135,100
12/3/2018 4:35:00 PM,1.1125,1.1125,1.1125,1.1125,0
12/3/2018 4:34:00 PM,1.1125,1.1125,1.1125,1.1125,0
12/3/2018 4:33:00 PM,1.1125,1.1125,1.1125,1.1125,0
12/3/2018 4:32:00 PM,1.1025,1.1125,1.1025,1.1125,14
12/3/2018 4:31:00 PM,1.09,1.1025,1.09,1.1025,100
12/3/2018 4:30:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:29:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:28:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:27:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:26:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:25:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:24:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:23:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:22:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:21:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:20:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:19:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:18:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:17:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:16:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:15:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:14:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:13:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:12:00 PM,1.09,1.09,1.09,1.09,0
12/3/2018 4:11:00 PM,1.105,1.105,1.09,1.09,15
12/3/2018 4:10:00 PM,1.105,1.105,1.105,1.105,0
12/3/2018 4:09:00 PM,1.105,1.105,1.105,1.105,0
12/3/2018 4:08:00 PM,1.105,1.105,1.105,1.105,0
12/3/2018 4:07:00 PM,1.105,1.105,1.105,1.105,0
12/3/2018 4:06:00 PM,1.11,1.11,1.105,1.105,54
12/3/2018 4:05:00 PM,1.11,1.11,1.11,1.11,0
12/3/2018 4:04:00 PM,1.055,1.11,1.055,1.11,54
12/3/2018 4:03:00 PM,1.055,1.055,1.055,1.055,0
12/3/2018 4:02:00 PM,1.055,1.055,1.055,1.055,0
12/3/2018 4:01:00 PM,1.055,1.055,1.055,1.055,0
12/3/2018 4:00:00 PM,1.055,1.055,1.055,1.055,0
12/3/2018 3:59:00 PM,1.0325,1.055,1.0325,1.055,25
12/3/2018 3:58:00 PM,1.0325,1.0325,1.0325,1.0325,0
12/3/2018 3:57:00 PM,1.0325,1.0325,1.0325,1.0325,0
12/3/2018 3:56:00 PM,1.0325,1.0325,1.0325,1.0325,0
12/3/2018 3:55:00 PM,1.0325,1.0325,1.0325,1.0325,0
12/3/2018 3:54:00 PM,1.0325,1.0325,1.0325,1.0325,0
12/3/2018 3:53:00 PM,1.0325,1.0325,1.0325,1.0325,0
12/3/2018 3:52:00 PM,1.0325,1.0325,1.0325,1.0325,0
12/3/2018 3:51:00 PM,1.0325,1.0325,1.0325,1.0325,0
12/3/2018 3:50:00 PM,1.0325,1.0325,1.0325,1.0325,0
12/3/2018 3:49:00 PM,1.0325,1.0325,1.0325,1.0325,0
12/3/2018 3:48:00 PM,1.0325,1.0325,1.0325,1.0325,0
12/3/2018 3:47:00 PM,0.9675,1.0325,0.9675,1.0325,2
12/3/2018 3:46:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:45:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:44:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:43:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:42:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:41:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:40:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:39:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:38:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:37:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:36:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:35:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:34:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:33:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:32:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:31:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:30:00 PM,0.9675,0.9675,0.9675,0.9675,0
12/3/2018 3:29:00 PM,0.94,0.9675,0.94,0.9675,75
12/3/2018 3:28:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:27:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:26:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:25:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:24:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:23:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:22:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:21:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:20:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:19:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:18:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:17:00 PM,0.94,0.94,0.94,0.94,0
12/3/2018 3:16:00 PM,0.94,0.94,0.94,0.94,0
