Date,USDINR18DEC70.25PE O,USDINR18DEC70.25PE H,USDINR18DEC70.25PE L,USDINR18DEC70.25PE C,USDINR18DEC70.25PE V
12/3/2018 4:59:00 PM,0.43,0.43,0.415,0.415,64
12/3/2018 4:58:00 PM,0.43,0.43,0.43,0.43,0
12/3/2018 4:57:00 PM,0.3925,0.43,0.3925,0.43,1
12/3/2018 4:56:00 PM,0.3925,0.3925,0.3925,0.3925,0
12/3/2018 4:55:00 PM,0.425,0.425,0.3925,0.3925,120
12/3/2018 4:54:00 PM,0.43,0.43,0.3925,0.4275,1263
12/3/2018 4:53:00 PM,0.4275,0.43,0.4,0.43,727
12/3/2018 4:52:00 PM,0.43,0.43,0.4275,0.4275,1021
12/3/2018 4:51:00 PM,0.425,0.43,0.425,0.43,53
12/3/2018 4:50:00 PM,0.425,0.4275,0.425,0.425,1001
12/3/2018 4:49:00 PM,0.435,0.435,0.425,0.425,50
12/3/2018 4:48:00 PM,0.435,0.435,0.435,0.435,0
12/3/2018 4:47:00 PM,0.42,0.435,0.42,0.435,1
12/3/2018 4:46:00 PM,0.42,0.42,0.42,0.42,0
12/3/2018 4:45:00 PM,0.4275,0.4275,0.42,0.42,1
12/3/2018 4:44:00 PM,0.4225,0.4275,0.4225,0.4275,50
12/3/2018 4:43:00 PM,0.4225,0.4225,0.4225,0.4225,0
12/3/2018 4:42:00 PM,0.4175,0.4225,0.4175,0.4225,25
12/3/2018 4:41:00 PM,0.41,0.42,0.41,0.4175,416
12/3/2018 4:40:00 PM,0.4175,0.42,0.41,0.41,109
12/3/2018 4:39:00 PM,0.43,0.43,0.415,0.4175,210
12/3/2018 4:38:00 PM,0.43,0.43,0.43,0.43,78
12/3/2018 4:37:00 PM,0.425,0.425,0.425,0.425,0
12/3/2018 4:36:00 PM,0.4225,0.425,0.4225,0.425,1
12/3/2018 4:35:00 PM,0.4525,0.4525,0.4225,0.4225,4
12/3/2018 4:34:00 PM,0.4525,0.4525,0.4525,0.4525,0
12/3/2018 4:33:00 PM,0.4525,0.4525,0.4525,0.4525,0
12/3/2018 4:32:00 PM,0.4525,0.4525,0.4525,0.4525,0
12/3/2018 4:31:00 PM,0.4525,0.4525,0.4525,0.4525,0
