Date,BANKNIFTY22NOV1826100CE O,BANKNIFTY22NOV1826100CE H,BANKNIFTY22NOV1826100CE L,BANKNIFTY22NOV1826100CE C,BANKNIFTY22NOV1826100CE V
11/22/2018 3:29:00 PM,0.05,0.05,0.05,0.05,3020
11/22/2018 3:28:00 PM,0.05,0.05,0.05,0.05,940
11/22/2018 3:27:00 PM,0.05,0.1,0.05,0.05,21260
11/22/2018 3:26:00 PM,0.05,0.1,0.05,0.05,19840
11/22/2018 3:25:00 PM,0.1,0.1,0.05,0.05,76960
11/22/2018 3:24:00 PM,0.1,0.1,0.05,0.1,92700
11/22/2018 3:23:00 PM,0.05,0.1,0.05,0.1,156380
11/22/2018 3:22:00 PM,0.1,0.15,0.05,0.05,106800
11/22/2018 3:21:00 PM,0.1,0.15,0.1,0.1,65040
11/22/2018 3:20:00 PM,0.1,0.15,0.1,0.1,83680
11/22/2018 3:19:00 PM,0.15,0.15,0.1,0.1,52980
11/22/2018 3:18:00 PM,0.15,0.15,0.1,0.15,94340
11/22/2018 3:17:00 PM,0.1,0.15,0.1,0.15,107040
11/22/2018 3:16:00 PM,0.15,0.15,0.1,0.1,125380
11/22/2018 3:15:00 PM,0.15,0.2,0.1,0.15,273060
11/22/2018 3:14:00 PM,0.15,0.2,0.1,0.15,384220
11/22/2018 3:13:00 PM,0.15,0.2,0.15,0.15,208520
11/22/2018 3:12:00 PM,0.15,0.25,0.15,0.2,271060
11/22/2018 3:11:00 PM,0.2,0.2,0.15,0.15,314540
11/22/2018 3:10:00 PM,0.2,0.3,0.2,0.2,489160
11/22/2018 3:09:00 PM,0.2,0.3,0.2,0.2,448500
11/22/2018 3:08:00 PM,0.35,0.35,0.2,0.2,432520
11/22/2018 3:07:00 PM,0.6,0.6,0.25,0.35,562420
11/22/2018 3:06:00 PM,0.65,0.8,0.45,0.6,578140
11/22/2018 3:05:00 PM,1.25,1.35,0.7,0.7,605060
11/22/2018 3:04:00 PM,1.35,2,1.25,1.4,450100
11/22/2018 3:03:00 PM,2.6,2.85,1.25,1.4,583480
11/22/2018 3:02:00 PM,2.4,3.2,2.2,2.65,506900
11/22/2018 3:01:00 PM,2.65,3,2.2,2.5,478280
11/22/2018 3:00:00 PM,2.6,3,1.9,2.85,515780
11/22/2018 2:59:00 PM,3.25,3.4,2.4,2.55,344100
11/22/2018 2:58:00 PM,3.35,4,2.95,3.3,315080
11/22/2018 2:57:00 PM,5.5,5.5,2.95,3.35,407400
11/22/2018 2:56:00 PM,4.6,5.85,4.5,5.55,377220
11/22/2018 2:55:00 PM,4.2,4.85,3.7,4.85,325100
11/22/2018 2:54:00 PM,3.8,4.65,3.65,4.65,303680
11/22/2018 2:53:00 PM,4.35,4.9,3.75,3.75,383400
11/22/2018 2:52:00 PM,3.6,5.15,3.55,4.25,631420
11/22/2018 2:51:00 PM,4.65,6.3,3.3,3.45,612260
11/22/2018 2:50:00 PM,7.15,7.15,4.4,4.55,623800
11/22/2018 2:49:00 PM,8.9,9.6,7.55,7.6,364020
11/22/2018 2:48:00 PM,10.7,10.95,7.25,8.4,462860
11/22/2018 2:47:00 PM,14.9,14.9,10.95,10.95,271980
11/22/2018 2:46:00 PM,15.1,16.85,14,14.4,333500
11/22/2018 2:45:00 PM,14.15,16.55,14.1,15.5,351040
11/22/2018 2:44:00 PM,11.55,15,11.55,14,336000
11/22/2018 2:43:00 PM,12.25,12.45,10.3,11.75,418360
11/22/2018 2:42:00 PM,16.25,16.25,12.15,12.15,398780
11/22/2018 2:41:00 PM,14.6,16.55,13.5,16.55,506420
11/22/2018 2:40:00 PM,20.8,21.95,14,14.2,485880
11/22/2018 2:39:00 PM,23.45,23.9,20.8,20.8,274740
11/22/2018 2:38:00 PM,19.8,24.5,19.8,22.95,358460
11/22/2018 2:37:00 PM,23.35,23.6,19.65,20.25,523120
11/22/2018 2:36:00 PM,34,36,23.4,23.4,309040
11/22/2018 2:35:00 PM,38,38.9,32,33.6,157280
11/22/2018 2:34:00 PM,36.65,41.5,35.05,37.45,114740
11/22/2018 2:33:00 PM,37.1,39.25,35,36.6,104420
11/22/2018 2:32:00 PM,32.65,37.7,30.75,36.4,250720
11/22/2018 2:31:00 PM,43.3,44.4,33.2,33.2,160100
11/22/2018 2:30:00 PM,48.85,48.85,39.85,43.5,173740
11/22/2018 2:29:00 PM,50.6,50.9,46.55,49,66760
11/22/2018 2:28:00 PM,55.05,55.05,43.9,51.95,102580
11/22/2018 2:27:00 PM,50.85,55.75,50,55.1,80460
11/22/2018 2:26:00 PM,46.85,53.1,45.7,51,75360
11/22/2018 2:25:00 PM,48.6,48.65,43.25,46.65,96360
