Date,Nifty Bank O,Nifty Bank H,Nifty Bank L,Nifty Bank C,Nifty Bank V
11/22/2018 2:16:00 PM,26122.95,26131.8,26121.55,26128.4,0
11/22/2018 2:15:00 PM,26136.05,26140.95,26117.6,26122.55,0
11/22/2018 2:14:00 PM,26143.5,26143.75,26137.4,26139.2,0
11/22/2018 2:13:00 PM,26145.85,26148.85,26140.05,26143.2,0
11/22/2018 2:12:00 PM,26138.8,26144.75,26138.8,26144.75,0
11/22/2018 2:11:00 PM,26138,26143.4,26133.85,26139.05,0
11/22/2018 2:10:00 PM,26153.65,26156.15,26136,26138.4,0
11/22/2018 2:09:00 PM,26167.6,26174.85,26137.65,26149.95,0
11/22/2018 2:08:00 PM,26155.5,26167.65,26155.5,26167.65,0
11/22/2018 2:07:00 PM,26149.8,26156.05,26149.8,26156.05,0
11/22/2018 2:06:00 PM,26147.8,26153.4,26147.35,26148.4,0
11/22/2018 2:05:00 PM,26147.3,26152.5,26141.25,26148.5,0
11/22/2018 2:04:00 PM,26147.7,26148.8,26143.55,26147.85,0
11/22/2018 2:03:00 PM,26147.2,26151.75,26145.6,26147.5,0
11/22/2018 2:02:00 PM,26138.75,26150.9,26138.75,26147.2,0
11/22/2018 2:01:00 PM,26137.6,26141.9,26133.15,26139.3,0
11/22/2018 2:00:00 PM,26128.75,26140.6,26127.65,26138.45,0
11/22/2018 1:59:00 PM,26149.4,26149.4,26131.6,26132.5,0
11/22/2018 1:58:00 PM,26153.45,26155.05,26148.3,26149.95,0
11/22/2018 1:57:00 PM,26161.45,26161.65,26152.1,26154.15,0
11/22/2018 1:56:00 PM,26152.85,26165.65,26152.85,26161.9,0
11/22/2018 1:55:00 PM,26151.35,26159.1,26144.85,26155.75,0
11/22/2018 1:54:00 PM,26152.55,26152.9,26144.1,26149.75,0
11/22/2018 1:53:00 PM,26168.6,26168.6,26149.45,26153.1,0
11/22/2018 1:52:00 PM,26157.55,26170.1,26157.55,26168.15,0
11/22/2018 1:51:00 PM,26140.9,26158.7,26138.45,26158.7,0
11/22/2018 1:50:00 PM,26141.05,26144.5,26134.3,26138.35,0
11/22/2018 1:49:00 PM,26140.5,26143.5,26139.15,26140.45,0
11/22/2018 1:48:00 PM,26130.7,26142.3,26128.65,26141.05,0
11/22/2018 1:47:00 PM,26124.85,26130.75,26120.75,26130.2,0
11/22/2018 1:46:00 PM,26110.75,26128.95,26107.95,26126.15,0
11/22/2018 1:45:00 PM,26105.8,26110.65,26096.65,26110.65,0
11/22/2018 1:44:00 PM,26099.75,26106.45,26097.15,26105,0
11/22/2018 1:43:00 PM,26119.15,26119.15,26095.4,26107.5,0
11/22/2018 1:42:00 PM,26131.75,26134.6,26113.95,26118.55,0
11/22/2018 1:41:00 PM,26136.4,26136.4,26126.15,26132.8,0
11/22/2018 1:40:00 PM,26138.05,26144,26133.85,26136.2,0
11/22/2018 1:39:00 PM,26135.85,26144.8,26133.05,26138.55,0
11/22/2018 1:38:00 PM,26139.15,26139.15,26127.7,26133.7,0
