Date,BANKNIFTY22NOV1825800CE O,BANKNIFTY22NOV1825800CE H,BANKNIFTY22NOV1825800CE L,BANKNIFTY22NOV1825800CE C,BANKNIFTY22NOV1825800CE V
11/22/2018 3:29:00 PM,180,184,166,166.15,580
11/22/2018 3:28:00 PM,184.1,184.1,170.95,180,1540
11/22/2018 3:27:00 PM,186.75,186.95,184.45,184.45,240
11/22/2018 3:26:00 PM,185,186.75,184,186.75,1980
11/22/2018 3:25:00 PM,186.45,186.45,181.3,185,1080
11/22/2018 3:24:00 PM,182.55,187.8,180.95,186.45,1140
11/22/2018 3:23:00 PM,186.85,188.4,176.85,182.55,1080
11/22/2018 3:22:00 PM,185.05,189,183.25,187.4,1800
11/22/2018 3:21:00 PM,185.6,187.7,184.8,187.4,3720
11/22/2018 3:20:00 PM,184.15,188.3,182.4,188.1,5480
11/22/2018 3:19:00 PM,183.95,186.65,182.85,183.1,3580
11/22/2018 3:18:00 PM,178.25,183.95,178.25,183.95,7980
11/22/2018 3:17:00 PM,180.9,181.8,174.5,178.25,12820
11/22/2018 3:16:00 PM,191.35,191.35,181.35,182.4,15720
11/22/2018 3:15:00 PM,201.05,201.05,191.35,191.35,11960
11/22/2018 3:14:00 PM,194.15,200.8,189.15,198.85,3580
11/22/2018 3:13:00 PM,196.6,199.65,192.85,193.9,3840
11/22/2018 3:12:00 PM,196.95,200.4,192.15,196.6,4500
11/22/2018 3:11:00 PM,198.3,198.3,194.1,196.95,4480
11/22/2018 3:10:00 PM,196.85,201.65,189.4,201.05,4500
11/22/2018 3:09:00 PM,198.65,204.55,195.85,197.7,3020
11/22/2018 3:08:00 PM,225.45,225.45,199.65,199.65,2440
11/22/2018 3:07:00 PM,229,230.65,222.7,225.45,380
11/22/2018 3:06:00 PM,232.6,232.6,223.25,229,540
11/22/2018 3:05:00 PM,251.85,251.85,232.6,232.6,820
11/22/2018 3:04:00 PM,247.35,251.85,246.05,251.85,340
11/22/2018 3:03:00 PM,251.55,257.75,242.8,245.35,1160
11/22/2018 3:02:00 PM,247.85,256.25,244.15,251.55,1640
11/22/2018 3:01:00 PM,243.45,255.75,242.35,247.85,580
