Date,USDINR O,USDINR H,USDINR L,USDINR C,USDINR V
11/22/2018 3:51:00 PM,71,71,70.955002,70.964996,-987654321
11/22/2018 3:50:00 PM,70.970001,70.985001,70.970001,70.982498,-987654321
11/22/2018 3:49:00 PM,70.967499,70.970001,70.959999,70.970001,-987654321
11/22/2018 3:48:00 PM,70.974998,70.974998,70.949997,70.959999,-987654321
11/22/2018 3:47:00 PM,70.989998,70.995003,70.974998,70.974998,-987654321
11/22/2018 3:46:00 PM,71.004997,71.017502,71,71,-987654321
11/22/2018 3:45:00 PM,71.014999,71.014999,70.995003,71.010002,-987654321
11/22/2018 3:44:00 PM,71.035004,71.035004,71.014999,71.014999,-987654321
11/22/2018 3:43:00 PM,71.040001,71.040001,71.032501,71.032501,-987654321
11/22/2018 3:42:00 PM,71.055,71.057503,71.032501,71.040001,-987654321
11/22/2018 3:41:00 PM,71.059998,71.059998,71.055,71.055,-987654321
11/22/2018 3:40:00 PM,71.055,71.0625,71.055,71.059998,-987654321
11/22/2018 3:39:00 PM,71.0625,71.0625,71.059998,71.059998,-987654321
11/22/2018 3:38:00 PM,71.065002,71.067497,71.065002,71.065002,-987654321
11/22/2018 3:37:00 PM,71.065002,71.065002,71.0625,71.065002,-987654321
11/22/2018 3:36:00 PM,71.065002,71.065002,71.059998,71.059998,-987654321
11/22/2018 3:35:00 PM,71.059998,71.059998,71.055,71.059998,-987654321
11/22/2018 3:34:00 PM,71.059998,71.059998,71.055,71.055,-987654321
11/22/2018 3:33:00 PM,71.07,71.07,71.057503,71.059998,-987654321
11/22/2018 3:32:00 PM,71.07,71.07,71.065002,71.065002,-987654321
11/22/2018 3:31:00 PM,71.065002,71.07,71.059998,71.07,-987654321
11/22/2018 3:30:00 PM,71.07,71.07,71.0625,71.0625,-987654321
11/22/2018 3:29:00 PM,71.07,71.07,71.07,71.07,-987654321
11/22/2018 3:28:00 PM,71.07,71.072502,71.067497,71.07,-987654321
11/22/2018 3:27:00 PM,71.07,71.07,71.065002,71.07,-987654321
11/22/2018 3:26:00 PM,71.050003,71.065002,71.050003,71.065002,-987654321
11/22/2018 3:25:00 PM,71.055,71.080002,71.050003,71.050003,-987654321
11/22/2018 3:24:00 PM,71.07,71.07,71.055,71.055,-987654321
