Date,BANKNIFTY22NOV1826000PE O,BANKNIFTY22NOV1826000PE H,BANKNIFTY22NOV1826000PE L,BANKNIFTY22NOV1826000PE C,BANKNIFTY22NOV1826000PE V
11/22/2018 3:29:00 PM,0.5,0.5,0.3,0.3,193540
11/22/2018 3:28:00 PM,0.4,0.5,0.25,0.45,218360
11/22/2018 3:27:00 PM,0.45,0.6,0.35,0.4,243860
11/22/2018 3:26:00 PM,0.8,0.95,0.5,0.5,448660
11/22/2018 3:25:00 PM,1.5,1.8,0.85,0.85,332660
11/22/2018 3:24:00 PM,2.7,2.7,1.3,1.5,272300
11/22/2018 3:23:00 PM,1.2,2.75,1.2,2.75,531360
11/22/2018 3:22:00 PM,1.75,2,0.85,1.25,364140
11/22/2018 3:21:00 PM,3.7,3.75,1.5,1.65,504000
11/22/2018 3:20:00 PM,4.4,10,3.5,3.55,878140
11/22/2018 3:19:00 PM,5.25,5.5,3.8,4.55,762360
11/22/2018 3:18:00 PM,5.65,6.75,5.25,5.35,557840
11/22/2018 3:17:00 PM,7.75,8.8,5.9,5.9,783400
11/22/2018 3:16:00 PM,5.1,7.35,4.6,7.35,901060
11/22/2018 3:15:00 PM,2.3,5,2.2,5,617400
11/22/2018 3:14:00 PM,4.5,5.45,1.8,2.3,749360
11/22/2018 3:13:00 PM,4.65,6,3.75,4.4,530000
11/22/2018 3:12:00 PM,4.35,6.5,3.45,4.45,589180
11/22/2018 3:11:00 PM,4.9,6.55,4.35,4.4,480500
11/22/2018 3:10:00 PM,6.1,9,3.3,4.4,896200
11/22/2018 3:09:00 PM,6,6.85,3.5,6.05,820360
11/22/2018 3:08:00 PM,1.75,6.5,1.75,5.5,779360
11/22/2018 3:07:00 PM,1.7,2.5,1.3,1.75,592980
11/22/2018 3:06:00 PM,1.9,2.75,1.25,1.75,507200
11/22/2018 3:05:00 PM,1.15,1.75,0.8,1.75,403060
11/22/2018 3:04:00 PM,1.25,1.3,0.85,1.05,387520
11/22/2018 3:03:00 PM,1.05,1.8,0.9,1.4,456600
11/22/2018 3:02:00 PM,1.6,1.8,1,1,660220
11/22/2018 3:01:00 PM,2.4,2.7,1.3,1.4,698780
11/22/2018 3:00:00 PM,4.5,5.35,2.2,2.4,502020
11/22/2018 2:59:00 PM,5.1,5.3,3.6,4.45,396220
11/22/2018 2:58:00 PM,4.7,6,4.4,5.15,330700
11/22/2018 2:57:00 PM,3.5,4.8,3.2,4.3,409240
11/22/2018 2:56:00 PM,4.6,5,3.4,3.5,511720
11/22/2018 2:55:00 PM,6.85,7.1,4.65,4.65,428080
11/22/2018 2:54:00 PM,6.75,8,6,6.65,398100
11/22/2018 2:53:00 PM,6.7,7.05,5.25,6.4,453080
