Date,BANKNIFTY22NOV1825900CE O,BANKNIFTY22NOV1825900CE H,BANKNIFTY22NOV1825900CE L,BANKNIFTY22NOV1825900CE C,BANKNIFTY22NOV1825900CE V
11/22/2018 3:29:00 PM,84,84.95,73,74,8020
11/22/2018 3:28:00 PM,89,89,85.1,85.1,4840
11/22/2018 3:27:00 PM,88,90,87.5,89,4560
11/22/2018 3:26:00 PM,86,91.2,86,88,15820
11/22/2018 3:25:00 PM,82.85,85,80.5,85,15020
11/22/2018 3:24:00 PM,80.6,84.9,80.4,83.9,19400
11/22/2018 3:23:00 PM,86.65,86.65,77.95,82,44040
11/22/2018 3:22:00 PM,84.25,92.05,84.15,86.7,45980
11/22/2018 3:21:00 PM,83.9,86.75,80.25,84.75,43320
11/22/2018 3:20:00 PM,78.9,85.25,76,85.25,48720
11/22/2018 3:19:00 PM,80.2,81.2,77.25,79.5,35160
11/22/2018 3:18:00 PM,81.85,81.85,75.2,80,54700
11/22/2018 3:17:00 PM,75.2,81.3,71.1,80.8,79980
11/22/2018 3:16:00 PM,87.4,87.4,73.95,74.5,89880
11/22/2018 3:15:00 PM,100.05,101.8,88.75,88.75,40620
11/22/2018 3:14:00 PM,94.65,102.75,89.05,101.55,45480
11/22/2018 3:13:00 PM,96.1,98.25,92.95,94.15,23400
11/22/2018 3:12:00 PM,98,100.3,91.6,97.75,29380
11/22/2018 3:11:00 PM,96.9,98.2,93.25,97.6,31000
11/22/2018 3:10:00 PM,96.2,100.75,88.25,99,35700
11/22/2018 3:09:00 PM,95.95,103.85,93.5,95.2,37680
11/22/2018 3:08:00 PM,124.4,124.55,98.35,98.35,23680
11/22/2018 3:07:00 PM,127.9,130.05,119.7,124.4,14800
11/22/2018 3:06:00 PM,129.85,131.7,121.35,129.4,8300
11/22/2018 3:05:00 PM,145.55,148,130,130,8200
11/22/2018 3:04:00 PM,141.1,149.05,141.1,144.75,4020
11/22/2018 3:03:00 PM,149.45,156.35,139.55,141.1,16080
11/22/2018 3:02:00 PM,146.7,153.4,142.05,149.45,12780
11/22/2018 3:01:00 PM,140.5,154.15,140.5,146.05,6740
11/22/2018 3:00:00 PM,136.55,143.5,129.5,143.5,7480
11/22/2018 2:59:00 PM,136.45,140,131.4,136.55,4740
11/22/2018 2:58:00 PM,136,140.15,130.9,136.9,8180
11/22/2018 2:57:00 PM,146.5,146.5,133.55,137.95,5100
11/22/2018 2:56:00 PM,142.2,147.3,136.05,147.3,8380
11/22/2018 2:55:00 PM,131.55,142.2,131.35,142.2,11880
11/22/2018 2:54:00 PM,132.45,135.5,125.9,134.2,4660
11/22/2018 2:53:00 PM,126.65,136.65,126.3,132.45,5200
11/22/2018 2:52:00 PM,124.3,134.8,114.95,126.65,17820
11/22/2018 2:51:00 PM,143.4,146.65,121.9,122.7,11600
11/22/2018 2:50:00 PM,156.15,156.15,138.6,143.4,12140
11/22/2018 2:49:00 PM,163.25,164.55,159.65,160,2160
11/22/2018 2:48:00 PM,173.85,173.85,159.2,163.25,7340
11/22/2018 2:47:00 PM,179.5,180.05,172.8,173.85,2920
11/22/2018 2:46:00 PM,182.2,182.65,179.7,179.85,1480
11/22/2018 2:45:00 PM,173.55,182.25,173.55,180.5,7200
11/22/2018 2:44:00 PM,160.3,176.05,160.3,173.55,2320
11/22/2018 2:43:00 PM,160,162.85,154,160.3,1380
11/22/2018 2:42:00 PM,171.75,171.75,159.1,160,4300
11/22/2018 2:41:00 PM,158.9,171.45,157.2,171.45,5680
11/22/2018 2:40:00 PM,183,183,152.75,158.1,6100
11/22/2018 2:39:00 PM,185.6,185.6,179.05,183,660
11/22/2018 2:38:00 PM,179.05,188.8,177.5,183.7,3320
11/22/2018 2:37:00 PM,188.2,188.2,175.95,179.05,5040
11/22/2018 2:36:00 PM,204,210.65,186.6,188.2,1280
11/22/2018 2:35:00 PM,212.3,214.25,203.9,204,2700
11/22/2018 2:34:00 PM,207.9,217.65,206.3,212.3,1900
11/22/2018 2:33:00 PM,208,213.35,205.65,207.9,3380
11/22/2018 2:32:00 PM,205.05,208,200,208,1420
11/22/2018 2:31:00 PM,219.65,221.2,206.5,206.5,2400
11/22/2018 2:30:00 PM,228.15,228.15,214.65,219.9,6240
11/22/2018 2:29:00 PM,227.65,231.2,226.4,228.15,3520
11/22/2018 2:28:00 PM,239.9,239.9,222.35,227.65,1840
11/22/2018 2:27:00 PM,236.75,240,232,240,1000
11/22/2018 2:26:00 PM,222.3,236.75,222.3,236.75,980
11/22/2018 2:25:00 PM,227.85,227.95,219.25,222.3,1480
11/22/2018 2:24:00 PM,237.85,237.85,228.75,229.3,1340
11/22/2018 2:23:00 PM,235.1,237.85,225.95,237.85,2380
11/22/2018 2:22:00 PM,240.35,242,235.1,235.1,1160
11/22/2018 2:21:00 PM,259.6,259.6,239,240.35,840
11/22/2018 2:20:00 PM,241.6,262.55,241.6,259.6,2480
11/22/2018 2:19:00 PM,226.05,244.55,226.05,244.55,940
11/22/2018 2:18:00 PM,217.55,226.05,215.8,226.05,960
11/22/2018 2:17:00 PM,215.65,216.05,213.35,215.55,1500
11/22/2018 2:16:00 PM,201.85,215,201.85,215,2720
11/22/2018 2:15:00 PM,220.15,220.15,198.8,201.85,2200
11/22/2018 2:14:00 PM,228.55,230.55,219.35,220.15,3020
11/22/2018 2:13:00 PM,231,237.25,225.4,228.55,800
11/22/2018 2:12:00 PM,230.6,233.9,229.35,231,1760
